Year,Stage,Technology,Demand
2020,cath,nmc,13.84789
2021,cath,nmc,30.65768745
2022,cath,nmc,48.12443236
2023,cath,nmc,60.45204926
2024,cath,nmc,74.1200028
2025,cath,nmc,85.00377841
2026,cath,nmc,93.95682292
2027,cath,nmc,103.7308915
2028,cath,nmc,114.3788752
2029,cath,nmc,125.9531968
2030,cath,nmc,134.4896319
2031,cath,nmc,146.2268069
2032,cath,nmc,158.7425186
2033,cath,nmc,172.0503832
2034,cath,nmc,186.1585113
2035,cath,nmc,201.0688683
2036,cath,nmc,216.7767065
2037,cath,nmc,233.2700975
2038,cath,nmc,250.529594
2039,cath,nmc,268.5280446
2040,cath,nmc,281.8770357
2041,cath,nmc,300.8803574
2042,cath,nmc,320.4844396
2043,cath,nmc,340.6342466
2044,cath,nmc,361.2690822
2045,cath,nmc,382.3235275
2046,cath,nmc,403.7285216
2047,cath,nmc,425.412548
2048,cath,nmc,447.3028855
2049,cath,nmc,469.3268777
2050,cath,nmc,491.4131752
2051,cath,nmc,513.4929072
2052,cath,nmc,535.5007447
2053,cath,nmc,557.3758219
2054,cath,nmc,579.062494
2055,cath,nmc,600.5109178
2056,cath,nmc,621.677449
2057,cath,nmc,642.5248613
2058,cath,nmc,663.0223981
2059,cath,nmc,683.1456722
2060,cath,nmc,713.6203628
2061,cath,nmc,729.8659167
2062,cath,nmc,745.8310489
2063,cath,nmc,761.5134774
2064,cath,nmc,776.9142667
2065,cath,nmc,792.0374321
2066,cath,nmc,806.8895425
2067,cath,nmc,821.479332
2068,cath,nmc,835.8173294
2069,cath,nmc,849.9155108
2070,cath,nmc,863.7869805
2071,cath,nmc,877.4456826
2072,cath,nmc,890.9061439
2073,cath,nmc,904.1832488
2074,cath,nmc,917.2920448
2075,cath,nmc,930.2475774
2076,cath,nmc,943.0647517
2077,cath,nmc,955.758219
2078,cath,nmc,968.3422857
2079,cath,nmc,980.8308421
2080,cath,nmc,993.2373082
2081,cath,nmc,1005.574595
2082,cath,nmc,1017.855078
2083,cath,nmc,1030.090583
2084,cath,nmc,1042.292379
2085,cath,nmc,1054.471178
2086,cath,nmc,1066.637146
2087,cath,nmc,1078.799913
2088,cath,nmc,1090.968588
2089,cath,nmc,1103.151778
2090,cath,nmc,1115.357611
2091,cath,nmc,1127.593755
2092,cath,nmc,1139.867442
2093,cath,nmc,1152.185494
2094,cath,nmc,1164.55434
2095,cath,nmc,1176.980047
2096,cath,nmc,1189.468337
2097,cath,nmc,1202.024611
2098,cath,nmc,1214.653972
2099,cath,nmc,1227.361241
2100,cath,nmc,1240.150983
2020,cath,lfp,8.5168601
2021,cath,lfp,13.80552733
2022,cath,lfp,20.92185528
2023,cath,lfp,27.26926089
2024,cath,lfp,31.50956584
2025,cath,lfp,35.381695
2026,cath,lfp,39.06668997
2027,cath,lfp,43.11190909
2028,cath,lfp,47.54836392
2029,cath,lfp,52.40912146
2030,cath,lfp,48.09376684
2031,cath,lfp,52.29100456
2032,cath,lfp,56.76664862
2033,cath,lfp,61.52556814
2034,cath,lfp,66.57066354
2035,cath,lfp,71.90263765
2036,cath,lfp,77.51979263
2037,cath,lfp,83.41786293
2038,cath,lfp,89.5898941
2039,cath,lfp,96.02617678
2040,cath,lfp,100.7998032
2041,cath,lfp,107.5954298
2042,cath,lfp,114.6058896
2043,cath,lfp,121.8115018
2044,cath,lfp,129.1905611
2045,cath,lfp,136.7196737
2046,cath,lfp,144.3741432
2047,cath,lfp,152.1283953
2048,cath,lfp,159.9564247
2049,cath,lfp,167.8322493
2050,cath,lfp,175.7303543
2051,cath,lfp,183.6261116
2052,cath,lfp,191.4961592
2053,cath,lfp,199.3187314
2054,cath,lfp,207.0739296
2055,cath,lfp,214.7439297
2056,cath,lfp,222.3131245
2057,cath,lfp,229.7682017
2058,cath,lfp,237.0981627
2059,cath,lfp,244.2942866
2060,cath,lfp,255.1920981
2061,cath,lfp,261.0015413
2062,cath,lfp,266.7107052
2063,cath,lfp,272.3187736
2064,cath,lfp,277.8261273
2065,cath,lfp,283.2342021
2066,cath,lfp,288.5453471
2067,cath,lfp,293.7626856
2068,cath,lfp,298.8899827
2069,cath,lfp,303.9315212
2070,cath,lfp,308.8919871
2071,cath,lfp,313.7763668
2072,cath,lfp,318.5898552
2073,cath,lfp,323.337775
2074,cath,lfp,328.0255073
2075,cath,lfp,332.6584322
2076,cath,lfp,337.2418798
2077,cath,lfp,341.7810896
2078,cath,lfp,346.2811776
2079,cath,lfp,350.7471108
2080,cath,lfp,355.1836884
2081,cath,lfp,359.5955274
2082,cath,lfp,363.9870532
2083,cath,lfp,368.3624948
2084,cath,lfp,372.7258817
2085,cath,lfp,377.0810452
2086,cath,lfp,381.4316203
2087,cath,lfp,385.7810505
2088,cath,lfp,390.1325934
2089,cath,lfp,394.4893271
2090,cath,lfp,398.8541579
2091,cath,lfp,403.2298279
2092,cath,lfp,407.6189237
2093,cath,lfp,412.023884
2094,cath,lfp,416.4470088
2095,cath,lfp,420.8904669
2096,cath,lfp,425.3563049
2097,cath,lfp,429.8464541
2098,cath,lfp,434.3627391
2099,cath,lfp,438.9068846
2100,cath,lfp,443.4805223
