Year,Stage,Input,Output,CO2
2020,cath,loh,nmc,0.010306101521283646
2020,cath,loh,lfp,0.010306101521283646
2020,cath,lce,nmc,0.010306101521283646
2020,cath,lce,lfp,0.010306101521283646
2021,cath,loh,nmc,0.01020304050607081
2021,cath,loh,lfp,0.01020304050607081
2021,cath,lce,nmc,0.01020304050607081
2021,cath,lce,lfp,0.01020304050607081
2022,cath,loh,nmc,0.010101010101010102
2022,cath,loh,lfp,0.010101010101010102
2022,cath,lce,nmc,0.010101010101010102
2022,cath,lce,lfp,0.010101010101010102
2023,cath,loh,nmc,0.01
2023,cath,loh,lfp,0.01
2023,cath,lce,nmc,0.01
2023,cath,lce,lfp,0.01
2024,cath,loh,nmc,0.0099
2024,cath,loh,lfp,0.0099
2024,cath,lce,nmc,0.0099
2024,cath,lce,lfp,0.0099
2025,cath,loh,nmc,0.009801
2025,cath,loh,lfp,0.009801
2025,cath,lce,nmc,0.009801
2025,cath,lce,lfp,0.009801
2026,cath,loh,nmc,0.00970299
2026,cath,loh,lfp,0.00970299
2026,cath,lce,nmc,0.00970299
2026,cath,lce,lfp,0.00970299
2027,cath,loh,nmc,0.0096059601
2027,cath,loh,lfp,0.0096059601
2027,cath,lce,nmc,0.0096059601
2027,cath,lce,lfp,0.0096059601
2028,cath,loh,nmc,0.009509900499
2028,cath,loh,lfp,0.009509900499
2028,cath,lce,nmc,0.009509900499
2028,cath,lce,lfp,0.009509900499
2029,cath,loh,nmc,0.009414801494009998
2029,cath,loh,lfp,0.009414801494009998
2029,cath,lce,nmc,0.009414801494009998
2029,cath,lce,lfp,0.009414801494009998
2030,cath,loh,nmc,0.0093206534790699
2030,cath,loh,lfp,0.0093206534790699
2030,cath,lce,nmc,0.0093206534790699
2030,cath,lce,lfp,0.0093206534790699
2031,cath,loh,nmc,0.0092274469442792
2031,cath,loh,lfp,0.0092274469442792
2031,cath,lce,nmc,0.0092274469442792
2031,cath,lce,lfp,0.0092274469442792
2032,cath,loh,nmc,0.009135172474836407
2032,cath,loh,lfp,0.009135172474836407
2032,cath,lce,nmc,0.009135172474836407
2032,cath,lce,lfp,0.009135172474836407
2033,cath,loh,nmc,0.009043820750088043
2033,cath,loh,lfp,0.009043820750088043
2033,cath,lce,nmc,0.009043820750088043
2033,cath,lce,lfp,0.009043820750088043
2034,cath,loh,nmc,0.008953382542587164
2034,cath,loh,lfp,0.008953382542587164
2034,cath,lce,nmc,0.008953382542587164
2034,cath,lce,lfp,0.008953382542587164
2035,cath,loh,nmc,0.008863848717161291
2035,cath,loh,lfp,0.008863848717161291
2035,cath,lce,nmc,0.008863848717161291
2035,cath,lce,lfp,0.008863848717161291
2036,cath,loh,nmc,0.008775210229989677
2036,cath,loh,lfp,0.008775210229989677
2036,cath,lce,nmc,0.008775210229989677
2036,cath,lce,lfp,0.008775210229989677
2037,cath,loh,nmc,0.008687458127689781
2037,cath,loh,lfp,0.008687458127689781
2037,cath,lce,nmc,0.008687458127689781
2037,cath,lce,lfp,0.008687458127689781
2038,cath,loh,nmc,0.008600583546412884
2038,cath,loh,lfp,0.008600583546412884
2038,cath,lce,nmc,0.008600583546412884
2038,cath,lce,lfp,0.008600583546412884
2039,cath,loh,nmc,0.008514577710948754
2039,cath,loh,lfp,0.008514577710948754
2039,cath,lce,nmc,0.008514577710948754
2039,cath,lce,lfp,0.008514577710948754
2040,cath,loh,nmc,0.008429431933839267
2040,cath,loh,lfp,0.008429431933839267
2040,cath,lce,nmc,0.008429431933839267
2040,cath,lce,lfp,0.008429431933839267
2041,cath,loh,nmc,0.008345137614500875
2041,cath,loh,lfp,0.008345137614500875
2041,cath,lce,nmc,0.008345137614500875
2041,cath,lce,lfp,0.008345137614500875
2042,cath,loh,nmc,0.008261686238355864
2042,cath,loh,lfp,0.008261686238355864
2042,cath,lce,nmc,0.008261686238355864
2042,cath,lce,lfp,0.008261686238355864
2043,cath,loh,nmc,0.008179069375972306
2043,cath,loh,lfp,0.008179069375972306
2043,cath,lce,nmc,0.008179069375972306
2043,cath,lce,lfp,0.008179069375972306
2044,cath,loh,nmc,0.008097278682212583
2044,cath,loh,lfp,0.008097278682212583
2044,cath,lce,nmc,0.008097278682212583
2044,cath,lce,lfp,0.008097278682212583
2045,cath,loh,nmc,0.008016305895390456
2045,cath,loh,lfp,0.008016305895390456
2045,cath,lce,nmc,0.008016305895390456
2045,cath,lce,lfp,0.008016305895390456
2046,cath,loh,nmc,0.007936142836436552
2046,cath,loh,lfp,0.007936142836436552
2046,cath,lce,nmc,0.007936142836436552
2046,cath,lce,lfp,0.007936142836436552
2047,cath,loh,nmc,0.007856781408072187
2047,cath,loh,lfp,0.007856781408072187
2047,cath,lce,nmc,0.007856781408072187
2047,cath,lce,lfp,0.007856781408072187
2048,cath,loh,nmc,0.0077782135939914645
2048,cath,loh,lfp,0.0077782135939914645
2048,cath,lce,nmc,0.0077782135939914645
2048,cath,lce,lfp,0.0077782135939914645
2049,cath,loh,nmc,0.00770043145805155
2049,cath,loh,lfp,0.00770043145805155
2049,cath,lce,nmc,0.00770043145805155
2049,cath,lce,lfp,0.00770043145805155
2050,cath,loh,nmc,0.007623427143471035
2050,cath,loh,lfp,0.007623427143471035
2050,cath,lce,nmc,0.007623427143471035
2050,cath,lce,lfp,0.007623427143471035
2051,cath,loh,nmc,0.007547192872036324
2051,cath,loh,lfp,0.007547192872036324
2051,cath,lce,nmc,0.007547192872036324
2051,cath,lce,lfp,0.007547192872036324
2052,cath,loh,nmc,0.0074717209433159595
2052,cath,loh,lfp,0.0074717209433159595
2052,cath,lce,nmc,0.0074717209433159595
2052,cath,lce,lfp,0.0074717209433159595
2053,cath,loh,nmc,0.007397003733882801
2053,cath,loh,lfp,0.007397003733882801
2053,cath,lce,nmc,0.007397003733882801
2053,cath,lce,lfp,0.007397003733882801
2054,cath,loh,nmc,0.007323033696543972
2054,cath,loh,lfp,0.007323033696543972
2054,cath,lce,nmc,0.007323033696543972
2054,cath,lce,lfp,0.007323033696543972
2055,cath,loh,nmc,0.007249803359578533
2055,cath,loh,lfp,0.007249803359578533
2055,cath,lce,nmc,0.007249803359578533
2055,cath,lce,lfp,0.007249803359578533
2056,cath,loh,nmc,0.007177305325982747
2056,cath,loh,lfp,0.007177305325982747
2056,cath,lce,nmc,0.007177305325982747
2056,cath,lce,lfp,0.007177305325982747
2057,cath,loh,nmc,0.00710553227272292
2057,cath,loh,lfp,0.00710553227272292
2057,cath,lce,nmc,0.00710553227272292
2057,cath,lce,lfp,0.00710553227272292
2058,cath,loh,nmc,0.007034476949995691
2058,cath,loh,lfp,0.007034476949995691
2058,cath,lce,nmc,0.007034476949995691
2058,cath,lce,lfp,0.007034476949995691
2059,cath,loh,nmc,0.006964132180495733
2059,cath,loh,lfp,0.006964132180495733
2059,cath,lce,nmc,0.006964132180495733
2059,cath,lce,lfp,0.006964132180495733
2060,cath,loh,nmc,0.006894490858690776
2060,cath,loh,lfp,0.006894490858690776
2060,cath,lce,nmc,0.006894490858690776
2060,cath,lce,lfp,0.006894490858690776
2061,cath,loh,nmc,0.0068255459501038685
2061,cath,loh,lfp,0.0068255459501038685
2061,cath,lce,nmc,0.0068255459501038685
2061,cath,lce,lfp,0.0068255459501038685
2062,cath,loh,nmc,0.00675729049060283
2062,cath,loh,lfp,0.00675729049060283
2062,cath,lce,nmc,0.00675729049060283
2062,cath,lce,lfp,0.00675729049060283
2063,cath,loh,nmc,0.0066897175856968005
2063,cath,loh,lfp,0.0066897175856968005
2063,cath,lce,nmc,0.0066897175856968005
2063,cath,lce,lfp,0.0066897175856968005
2064,cath,loh,nmc,0.006622820409839833
2064,cath,loh,lfp,0.006622820409839833
2064,cath,lce,nmc,0.006622820409839833
2064,cath,lce,lfp,0.006622820409839833
2065,cath,loh,nmc,0.006556592205741434
2065,cath,loh,lfp,0.006556592205741434
2065,cath,lce,nmc,0.006556592205741434
2065,cath,lce,lfp,0.006556592205741434
2066,cath,loh,nmc,0.006491026283684019
2066,cath,loh,lfp,0.006491026283684019
2066,cath,lce,nmc,0.006491026283684019
2066,cath,lce,lfp,0.006491026283684019
2067,cath,loh,nmc,0.006426116020847181
2067,cath,loh,lfp,0.006426116020847181
2067,cath,lce,nmc,0.006426116020847181
2067,cath,lce,lfp,0.006426116020847181
2068,cath,loh,nmc,0.006361854860638707
2068,cath,loh,lfp,0.006361854860638707
2068,cath,lce,nmc,0.006361854860638707
2068,cath,lce,lfp,0.006361854860638707
2069,cath,loh,nmc,0.006298236312032321
2069,cath,loh,lfp,0.006298236312032321
2069,cath,lce,nmc,0.006298236312032321
2069,cath,lce,lfp,0.006298236312032321
