Year,Stage,Input,Output,Cost
2020,cath,loh,nmc,578.8125000000001
2020,cath,loh,lfp,578.8125000000001
2020,cath,lce,nmc,578.8125000000001
2020,cath,lce,lfp,578.8125000000001
2021,cath,loh,nmc,551.25
2021,cath,loh,lfp,551.25
2021,cath,lce,nmc,551.25
2021,cath,lce,lfp,551.25
2022,cath,loh,nmc,525
2022,cath,loh,lfp,525
2022,cath,lce,nmc,525
2022,cath,lce,lfp,525
2023,cath,loh,nmc,500
2023,cath,loh,lfp,500
2023,cath,lce,nmc,500
2023,cath,lce,lfp,500
2024,cath,loh,nmc,476.19047619047615
2024,cath,loh,lfp,476.19047619047615
2024,cath,lce,nmc,476.19047619047615
2024,cath,lce,lfp,476.19047619047615
2025,cath,loh,nmc,453.51473922902494
2025,cath,loh,lfp,453.51473922902494
2025,cath,lce,nmc,453.51473922902494
2025,cath,lce,lfp,453.51473922902494
2026,cath,loh,nmc,431.918799265738
2026,cath,loh,lfp,431.918799265738
2026,cath,lce,nmc,431.918799265738
2026,cath,lce,lfp,431.918799265738
2027,cath,loh,nmc,411.351237395941
2027,cath,loh,lfp,411.351237395941
2027,cath,lce,nmc,411.351237395941
2027,cath,lce,lfp,411.351237395941
2028,cath,loh,nmc,391.7630832342295
2028,cath,loh,lfp,391.7630832342295
2028,cath,lce,nmc,391.7630832342295
2028,cath,lce,lfp,391.7630832342295
2029,cath,loh,nmc,373.10769831831385
2029,cath,loh,lfp,373.10769831831385
2029,cath,lce,nmc,373.10769831831385
2029,cath,lce,lfp,373.10769831831385
2030,cath,loh,nmc,355.3406650650607
2030,cath,loh,lfp,355.3406650650607
2030,cath,lce,nmc,355.3406650650607
2030,cath,lce,lfp,355.3406650650607
2031,cath,loh,nmc,338.4196810143436
2031,cath,loh,lfp,338.4196810143436
2031,cath,lce,nmc,338.4196810143436
2031,cath,lce,lfp,338.4196810143436
2032,cath,loh,nmc,322.30445810889864
2032,cath,loh,lfp,322.30445810889864
2032,cath,lce,nmc,322.30445810889864
2032,cath,lce,lfp,322.30445810889864
2033,cath,loh,nmc,306.95662677037967
2033,cath,loh,lfp,306.95662677037967
2033,cath,lce,nmc,306.95662677037967
2033,cath,lce,lfp,306.95662677037967
2034,cath,loh,nmc,292.3396445432187
2034,cath,loh,lfp,292.3396445432187
2034,cath,lce,nmc,292.3396445432187
2034,cath,lce,lfp,292.3396445432187
2035,cath,loh,nmc,278.41870908877974
2035,cath,loh,lfp,278.41870908877974
2035,cath,lce,nmc,278.41870908877974
2035,cath,lce,lfp,278.41870908877974
2036,cath,loh,nmc,265.16067532264736
2036,cath,loh,lfp,265.16067532264736
2036,cath,lce,nmc,265.16067532264736
2036,cath,lce,lfp,265.16067532264736
2037,cath,loh,nmc,252.53397649775943
2037,cath,loh,lfp,252.53397649775943
2037,cath,lce,nmc,252.53397649775943
2037,cath,lce,lfp,252.53397649775943
2038,cath,loh,nmc,240.5085490454851
2038,cath,loh,lfp,240.5085490454851
2038,cath,lce,nmc,240.5085490454851
2038,cath,lce,lfp,240.5085490454851
2039,cath,loh,nmc,229.0557609957001
2039,cath,loh,lfp,229.0557609957001
2039,cath,lce,nmc,229.0557609957001
2039,cath,lce,lfp,229.0557609957001
2040,cath,loh,nmc,218.14834380542865
2040,cath,loh,lfp,218.14834380542865
2040,cath,lce,nmc,218.14834380542865
2040,cath,lce,lfp,218.14834380542865
2041,cath,loh,nmc,207.76032743374157
2041,cath,loh,lfp,207.76032743374157
2041,cath,lce,nmc,207.76032743374157
2041,cath,lce,lfp,207.76032743374157
2042,cath,loh,nmc,197.8669785083253
2042,cath,loh,lfp,197.8669785083253
2042,cath,lce,nmc,197.8669785083253
2042,cath,lce,lfp,197.8669785083253
2043,cath,loh,nmc,188.4447414365003
2043,cath,loh,lfp,188.4447414365003
2043,cath,lce,nmc,188.4447414365003
2043,cath,lce,lfp,188.4447414365003
2044,cath,loh,nmc,179.4711823204765
2044,cath,loh,lfp,179.4711823204765
2044,cath,lce,nmc,179.4711823204765
2044,cath,lce,lfp,179.4711823204765
2045,cath,loh,nmc,170.92493554331094
2045,cath,loh,lfp,170.92493554331094
2045,cath,lce,nmc,170.92493554331094
2045,cath,lce,lfp,170.92493554331094
2046,cath,loh,nmc,162.78565289839133
2046,cath,loh,lfp,162.78565289839133
2046,cath,lce,nmc,162.78565289839133
2046,cath,lce,lfp,162.78565289839133
2047,cath,loh,nmc,155.0339551413251
2047,cath,loh,lfp,155.0339551413251
2047,cath,lce,nmc,155.0339551413251
2047,cath,lce,lfp,155.0339551413251
2048,cath,loh,nmc,147.65138584888106
2048,cath,loh,lfp,147.65138584888106
2048,cath,lce,nmc,147.65138584888106
2048,cath,lce,lfp,147.65138584888106
2049,cath,loh,nmc,140.6203674751248
2049,cath,loh,lfp,140.6203674751248
2049,cath,lce,nmc,140.6203674751248
2049,cath,lce,lfp,140.6203674751248
2050,cath,loh,nmc,133.92415950011886
2050,cath,loh,lfp,133.92415950011886
2050,cath,lce,nmc,133.92415950011886
2050,cath,lce,lfp,133.92415950011886
2051,cath,loh,nmc,127.54681857154178
2051,cath,loh,lfp,127.54681857154178
2051,cath,lce,nmc,127.54681857154178
2051,cath,lce,lfp,127.54681857154178
2052,cath,loh,nmc,121.47316054432548
2052,cath,loh,lfp,121.47316054432548
2052,cath,lce,nmc,121.47316054432548
2052,cath,lce,lfp,121.47316054432548
2053,cath,loh,nmc,115.68872432792907
2053,cath,loh,lfp,115.68872432792907
2053,cath,lce,nmc,115.68872432792907
2053,cath,lce,lfp,115.68872432792907
2054,cath,loh,nmc,110.1797374551705
2054,cath,loh,lfp,110.1797374551705
2054,cath,lce,nmc,110.1797374551705
2054,cath,lce,lfp,110.1797374551705
2055,cath,loh,nmc,104.93308329063858
2055,cath,loh,lfp,104.93308329063858
2055,cath,lce,nmc,104.93308329063858
2055,cath,lce,lfp,104.93308329063858
2056,cath,loh,nmc,99.93626980060817
2056,cath,loh,lfp,99.93626980060817
2056,cath,lce,nmc,99.93626980060817
2056,cath,lce,lfp,99.93626980060817
2057,cath,loh,nmc,95.17739981010303
2057,cath,loh,lfp,95.17739981010303
2057,cath,lce,nmc,95.17739981010303
2057,cath,lce,lfp,95.17739981010303
2058,cath,loh,nmc,90.64514267628857
2058,cath,loh,lfp,90.64514267628857
2058,cath,lce,nmc,90.64514267628857
2058,cath,lce,lfp,90.64514267628857
2059,cath,loh,nmc,86.32870731075104
2059,cath,loh,lfp,86.32870731075104
2059,cath,lce,nmc,86.32870731075104
2059,cath,lce,lfp,86.32870731075104
2060,cath,loh,nmc,82.21781648642956
2060,cath,loh,lfp,82.21781648642956
2060,cath,lce,nmc,82.21781648642956
2060,cath,lce,lfp,82.21781648642956
2061,cath,loh,nmc,78.30268236802816
2061,cath,loh,lfp,78.30268236802816
2061,cath,lce,nmc,78.30268236802816
2061,cath,lce,lfp,78.30268236802816
2062,cath,loh,nmc,74.57398320764585
2062,cath,loh,lfp,74.57398320764585
2062,cath,lce,nmc,74.57398320764585
2062,cath,lce,lfp,74.57398320764585
2063,cath,loh,nmc,71.02284115013892
2063,cath,loh,lfp,71.02284115013892
2063,cath,lce,nmc,71.02284115013892
2063,cath,lce,lfp,71.02284115013892
2064,cath,loh,nmc,67.64080109537039
2064,cath,loh,lfp,67.64080109537039
2064,cath,lce,nmc,67.64080109537039
2064,cath,lce,lfp,67.64080109537039
2065,cath,loh,nmc,64.41981056701943
2065,cath,loh,lfp,64.41981056701943
2065,cath,lce,nmc,64.41981056701943
2065,cath,lce,lfp,64.41981056701943
2066,cath,loh,nmc,61.35220054001849
2066,cath,loh,lfp,61.35220054001849
2066,cath,lce,nmc,61.35220054001849
2066,cath,lce,lfp,61.35220054001849
2067,cath,loh,nmc,58.43066718097
2067,cath,loh,lfp,58.43066718097
2067,cath,lce,nmc,58.43066718097
2067,cath,lce,lfp,58.43066718097
2068,cath,loh,nmc,55.64825445806665
2068,cath,loh,lfp,55.64825445806665
2068,cath,lce,nmc,55.64825445806665
2068,cath,lce,lfp,55.64825445806665
2069,cath,loh,nmc,52.99833757911111
2069,cath,loh,lfp,52.99833757911111
2069,cath,lce,nmc,52.99833757911111
2069,cath,lce,lfp,52.99833757911111
2070,cath,loh,nmc,50.474607218201044
2070,cath,loh,lfp,50.474607218201044
2070,cath,lce,nmc,50.474607218201044
