Year,Stage,Input,Output,CO2
2020,cath,lce,lfp,287.9367191796037
2020,cath,loh,nmc,287.9367191796037
2021,cath,lce,lfp,285.05735198780764
2021,cath,loh,nmc,285.05735198780764
2022,cath,lce,lfp,282.20677846792955
2022,cath,loh,nmc,282.20677846792955
2023,cath,lce,lfp,279.38471068325026
2023,cath,loh,nmc,279.38471068325026
2024,cath,lce,lfp,276.59086357641775
2024,cath,loh,nmc,276.59086357641775
2025,cath,lce,lfp,273.8249549406536
2025,cath,loh,nmc,273.8249549406536
2026,cath,lce,lfp,271.086705391247
2026,cath,loh,nmc,271.086705391247
2027,cath,lce,lfp,268.3758383373346
2027,cath,loh,nmc,268.3758383373346
2028,cath,lce,lfp,265.6920799539612
2028,cath,loh,nmc,265.6920799539612
2029,cath,lce,lfp,263.0351591544216
2029,cath,loh,nmc,263.0351591544216
2030,cath,lce,lfp,260.40480756287735
2030,cath,loh,nmc,260.40480756287735
2031,cath,lce,lfp,257.80075948724857
2031,cath,loh,nmc,257.80075948724857
2032,cath,lce,lfp,255.2227518923761
2032,cath,loh,nmc,255.2227518923761
2033,cath,lce,lfp,252.67052437345234
2033,cath,loh,nmc,252.67052437345234
2034,cath,lce,lfp,250.1438191297178
2034,cath,loh,nmc,250.1438191297178
2035,cath,lce,lfp,247.64238093842064
2035,cath,loh,nmc,247.64238093842064
2036,cath,lce,lfp,245.1659571290364
2036,cath,loh,nmc,245.1659571290364
2037,cath,lce,lfp,242.71429755774605
2037,cath,loh,nmc,242.71429755774605
2038,cath,lce,lfp,240.2871545821686
2038,cath,loh,nmc,240.2871545821686
2039,cath,lce,lfp,237.8842830363469
2039,cath,loh,nmc,237.8842830363469
2040,cath,lce,lfp,235.50544020598343
2040,cath,loh,nmc,235.50544020598343
2041,cath,lce,lfp,233.1503858039236
2041,cath,loh,nmc,233.1503858039236
2042,cath,lce,lfp,230.81888194588433
2042,cath,loh,nmc,230.81888194588433
2043,cath,lce,lfp,228.5106931264255
2043,cath,loh,nmc,228.5106931264255
2044,cath,lce,lfp,226.22558619516124
2044,cath,loh,nmc,226.22558619516124
2045,cath,lce,lfp,223.9633303332096
2045,cath,loh,nmc,223.9633303332096
2046,cath,lce,lfp,221.72369702987754
2046,cath,loh,nmc,221.72369702987754
2047,cath,lce,lfp,219.50646005957876
2047,cath,loh,nmc,219.50646005957876
2048,cath,lce,lfp,217.31139545898296
2048,cath,loh,nmc,217.31139545898296
2049,cath,lce,lfp,215.13828150439312
2049,cath,loh,nmc,215.13828150439312
2050,cath,lce,lfp,212.9868986893492
2050,cath,loh,nmc,212.9868986893492
2051,cath,lce,lfp,210.8570297024557
2051,cath,loh,nmc,210.8570297024557
2052,cath,lce,lfp,208.7484594054311
2052,cath,loh,nmc,208.7484594054311
2053,cath,lce,lfp,206.66097481137683
2053,cath,loh,nmc,206.66097481137683
2054,cath,lce,lfp,204.59436506326304
2054,cath,loh,nmc,204.59436506326304
2055,cath,lce,lfp,202.5484214126304
2055,cath,loh,nmc,202.5484214126304
2056,cath,lce,lfp,200.52293719850408
2056,cath,loh,nmc,200.52293719850408
2057,cath,lce,lfp,198.51770782651906
2057,cath,loh,nmc,198.51770782651906
2058,cath,lce,lfp,196.53253074825386
2058,cath,loh,nmc,196.53253074825386
2059,cath,lce,lfp,194.56720544077132
2059,cath,loh,nmc,194.56720544077132
2060,cath,lce,lfp,192.6215333863636
2060,cath,loh,nmc,192.6215333863636
2061,cath,lce,lfp,190.69531805249997
2061,cath,loh,nmc,190.69531805249997
