Year,Stage,Input,Output,Cost
2020,cath,lce,lfp,465.8179034844731
2020,cath,loh,nmc,337.54920542353125
2021,cath,lce,lfp,421.45429362880895
2021,cath,loh,nmc,305.40166204986156
2022,cath,lce,lfp,381.3157894736842
2022,cath,loh,nmc,276.3157894736842
2023,cath,lce,lfp,345
2023,cath,loh,nmc,250
2024,cath,lce,lfp,312.1428571428571
2024,cath,loh,nmc,226.19047619047618
2025,cath,lce,lfp,297.27891156462584
2025,cath,loh,nmc,215.41950113378684
2026,cath,lce,lfp,283.1227729186913
2026,cath,loh,nmc,205.16142965122555
2027,cath,lce,lfp,269.64073611303934
2027,cath,loh,nmc,195.39183776307198
2028,cath,lce,lfp,256.8007010600374
2028,cath,loh,nmc,186.087464536259
2029,cath,lce,lfp,244.5720962476547
2029,cath,loh,nmc,177.22615670119907
2030,cath,lce,lfp,232.9258059501473
2030,cath,loh,nmc,168.78681590590384
2031,cath,lce,lfp,221.83410090490221
2031,cath,loh,nmc,160.7493484818132
2032,cath,lce,lfp,211.27057229038306
2032,cath,loh,nmc,153.09461760172687
2033,cath,lce,lfp,201.21006884798388
2033,cath,loh,nmc,145.80439771593035
2034,cath,lce,lfp,191.62863699807986
2034,cath,loh,nmc,138.8613311580289
2035,cath,lce,lfp,182.50346380769514
2035,cath,loh,nmc,132.2488868171704
2036,cath,lce,lfp,173.81282267399533
2036,cath,loh,nmc,125.95132077825748
2037,cath,lce,lfp,165.5360215942813
2037,cath,loh,nmc,119.95363883643573
2038,cath,lce,lfp,157.65335389931548
2038,cath,loh,nmc,114.24156079660541
2039,cath,lce,lfp,150.14605133268142
2039,cath,loh,nmc,108.80148647295755
2040,cath,lce,lfp,142.9962393644585
2040,cath,loh,nmc,103.6204633075786
2041,cath,lce,lfp,136.1868946328176
2041,cath,loh,nmc,98.68615553102725
2042,cath,lce,lfp,129.70180441220722
2042,cath,loh,nmc,93.98681479145452
2043,cath,lce,lfp,123.52552801162595
2043,cath,loh,nmc,89.51125218233764
2044,cath,lce,lfp,117.64336001107233
2044,cath,loh,nmc,85.24881160222633
2045,cath,lce,lfp,112.04129524864032
2045,cath,loh,nmc,81.1893443830727
2046,cath,lce,lfp,106.70599547489553
2046,cath,loh,nmc,77.3231851267359
2047,cath,lce,lfp,101.6247575951386
2047,cath,loh,nmc,73.64112869212943
2048,cath,lce,lfp,96.78548342394153
2048,cath,loh,nmc,70.1344082782185
2049,cath,lce,lfp,92.1766508799443
2049,cath,loh,nmc,66.79467455068428
2050,cath,lce,lfp,87.78728655232791
2050,cath,loh,nmc,63.61397576255646
2051,cath,lce,lfp,83.60693957364563
2051,cath,loh,nmc,60.58473882148235
2052,cath,lce,lfp,79.62565673680535
2052,cath,loh,nmc,57.699751258554606
2053,cath,lce,lfp,75.8339587969575
2053,cath,loh,nmc,54.95214405576631
2054,cath,lce,lfp,72.22281790186426
2054,cath,loh,nmc,52.335375291205985
2055,cath,lce,lfp,68.78363609701358
2055,cath,loh,nmc,49.84321456305332
2056,cath,lce,lfp,65.50822485429866
2056,cath,loh,nmc,47.46972815528888
2057,cath,lce,lfp,62.38878557552253
2057,cath,loh,nmc,45.20926490979893
2058,cath,lce,lfp,59.41789102430716
2058,cath,loh,nmc,43.05644277123707
2059,cath,lce,lfp,56.58846764219731
2059,cath,loh,nmc,41.00613597260674
2060,cath,lce,lfp,53.89377870685457
2060,cath,loh,nmc,39.05346283105404
2061,cath,lce,lfp,51.32740829224246
2061,cath,loh,nmc,37.19377412481337
2062,cath,lce,lfp,48.883245992611855
2062,cath,loh,nmc,35.42264202363178
2063,cath,lce,lfp,46.55547237391606
2063,cath,loh,nmc,33.73584954631598
2064,cath,lce,lfp,44.33854511801529
2064,cath,loh,nmc,32.129380520300934
2065,cath,lce,lfp,42.22718582668123
2065,cath,loh,nmc,30.599410019334226
2066,cath,lce,lfp,40.216367453982116
2066,cath,loh,nmc,29.14229525650878
2067,cath,lce,lfp,38.30130233712583
2067,cath,loh,nmc,27.754566910960747
2068,cath,lce,lfp,36.47743079726269
2068,cath,loh,nmc,26.43292086758166
2069,cath,lce,lfp,34.74041028310733
2069,cath,loh,nmc,25.174210350077775
2070,cath,lce,lfp,33.086105031530785
2070,cath,loh,nmc,23.975438428645493
2071,cath,lce,lfp,31.51057622050551
2071,cath,loh,nmc,22.833750884424283
2072,cath,lce,lfp,30.010072590957627
2072,cath,loh,nmc,21.74642941373741
2073,cath,lce,lfp,28.58102151519774
2073,cath,loh,nmc,20.71088515594039
2074,cath,lce,lfp,27.220020490664513
2074,cath,loh,nmc,19.72465252946704
2075,cath,lce,lfp,25.92382903872811
2075,cath,loh,nmc,18.78538336139718
2076,cath,lce,lfp,24.689360989264866
2076,cath,loh,nmc,17.890841296568745
2077,cath,lce,lfp,23.51367713263321
2077,cath,loh,nmc,17.038896472922612
2078,cath,lce,lfp,22.393978221555432
2078,cath,loh,nmc,16.227520450402487
2079,cath,lce,lfp,21.32759830624327
2079,cath,loh,nmc,15.454781381335703
2080,cath,lce,lfp,20.311998386898352
2080,cath,loh,nmc,14.718839410795907
2081,cath,lce,lfp,19.344760368474617
2081,cath,loh,nmc,14.0179422959961
2082,cath,lce,lfp,18.42358130330916
2082,cath,loh,nmc,13.350421234282
2083,cath,lce,lfp,17.54626790791349
2083,cath,loh,nmc,12.714686889792382
2084,cath,lce,lfp,16.710731340869984
2084,cath,loh,nmc,12.109225609326076
2085,cath,lce,lfp,15.914982229399993
2085,cath,loh,nmc,11.532595818405792
2086,cath,lce,lfp,15.157125932761891
2086,cath,loh,nmc,10.983424588957892
2087,cath,lce,lfp,14.435358031201801
2087,cath,loh,nmc,10.460404370436088
2088,cath,lce,lfp,13.747960029716001
2088,cath,loh,nmc,9.962289876605798
2089,cath,lce,lfp,13.093295266396192
2089,cath,loh,nmc,9.487895120576951
2090,cath,lce,lfp,12.46980501561542
2090,cath,loh,nmc,9.036090591025665
2091,cath,lce,lfp,11.876004776776591
2091,cath,loh,nmc,8.605800562881587
2092,cath,lce,lfp,11.310480739787229
2092,cath,loh,nmc,8.196000536077703
2093,cath,lce,lfp,10.77188641884498
2093,cath,loh,nmc,7.805714796264479
2094,cath,lce,lfp,10.258939446519028
2094,cath,loh,nmc,7.434014091680456
2095,cath,lce,lfp,9.770418520494312
2095,cath,loh,nmc,7.0800134206480525
2096,cath,lce,lfp,9.30516049570887
2096,cath,loh,nmc,6.742869924426717
2097,cath,lce,lfp,8.862057614960829
2097,cath,loh,nmc,6.421780880406398
2098,cath,lce,lfp,8.440054871391265
2098,cath,loh,nmc,6.115981790863235
2099,cath,lce,lfp,8.038147496563111
