Year,Stage,Input,Output,CO2
2020,cath,loh,nmc,0.10306101521283648
2020,cath,loh,lfp,0.10306101521283648
2020,cath,lce,nmc,0.10306101521283648
2020,cath,lce,lfp,0.10306101521283648
2021,cath,loh,nmc,0.1020304050607081
2021,cath,loh,lfp,0.1020304050607081
2021,cath,lce,nmc,0.1020304050607081
2021,cath,lce,lfp,0.1020304050607081
2022,cath,loh,nmc,0.10101010101010102
2022,cath,loh,lfp,0.10101010101010102
2022,cath,lce,nmc,0.10101010101010102
2022,cath,lce,lfp,0.10101010101010102
2023,cath,loh,nmc,0.1
2023,cath,loh,lfp,0.1
2023,cath,lce,nmc,0.1
2023,cath,lce,lfp,0.1
2024,cath,loh,nmc,0.099
2024,cath,loh,lfp,0.099
2024,cath,lce,nmc,0.099
2024,cath,lce,lfp,0.099
2025,cath,loh,nmc,0.09801
2025,cath,loh,lfp,0.09801
2025,cath,lce,nmc,0.09801
2025,cath,lce,lfp,0.09801
2026,cath,loh,nmc,0.0970299
2026,cath,loh,lfp,0.0970299
2026,cath,lce,nmc,0.0970299
2026,cath,lce,lfp,0.0970299
2027,cath,loh,nmc,0.096059601
2027,cath,loh,lfp,0.096059601
2027,cath,lce,nmc,0.096059601
2027,cath,lce,lfp,0.096059601
2028,cath,loh,nmc,0.09509900499
2028,cath,loh,lfp,0.09509900499
2028,cath,lce,nmc,0.09509900499
2028,cath,lce,lfp,0.09509900499
2029,cath,loh,nmc,0.0941480149401
2029,cath,loh,lfp,0.0941480149401
2029,cath,lce,nmc,0.0941480149401
2029,cath,lce,lfp,0.0941480149401
2030,cath,loh,nmc,0.093206534790699
2030,cath,loh,lfp,0.093206534790699
2030,cath,lce,nmc,0.093206534790699
2030,cath,lce,lfp,0.093206534790699
2031,cath,loh,nmc,0.092274469442792
2031,cath,loh,lfp,0.092274469442792
2031,cath,lce,nmc,0.092274469442792
2031,cath,lce,lfp,0.092274469442792
2032,cath,loh,nmc,0.09135172474836407
2032,cath,loh,lfp,0.09135172474836407
2032,cath,lce,nmc,0.09135172474836407
2032,cath,lce,lfp,0.09135172474836407
2033,cath,loh,nmc,0.09043820750088044
2033,cath,loh,lfp,0.09043820750088044
2033,cath,lce,nmc,0.09043820750088044
2033,cath,lce,lfp,0.09043820750088044
2034,cath,loh,nmc,0.08953382542587163
2034,cath,loh,lfp,0.08953382542587163
2034,cath,lce,nmc,0.08953382542587163
2034,cath,lce,lfp,0.08953382542587163
2035,cath,loh,nmc,0.08863848717161292
2035,cath,loh,lfp,0.08863848717161292
2035,cath,lce,nmc,0.08863848717161292
2035,cath,lce,lfp,0.08863848717161292
2036,cath,loh,nmc,0.08775210229989677
2036,cath,loh,lfp,0.08775210229989677
2036,cath,lce,nmc,0.08775210229989677
2036,cath,lce,lfp,0.08775210229989677
2037,cath,loh,nmc,0.08687458127689782
2037,cath,loh,lfp,0.08687458127689782
2037,cath,lce,nmc,0.08687458127689782
2037,cath,lce,lfp,0.08687458127689782
2038,cath,loh,nmc,0.08600583546412884
2038,cath,loh,lfp,0.08600583546412884
2038,cath,lce,nmc,0.08600583546412884
2038,cath,lce,lfp,0.08600583546412884
2039,cath,loh,nmc,0.08514577710948755
2039,cath,loh,lfp,0.08514577710948755
2039,cath,lce,nmc,0.08514577710948755
2039,cath,lce,lfp,0.08514577710948755
2040,cath,loh,nmc,0.08429431933839267
2040,cath,loh,lfp,0.08429431933839267
2040,cath,lce,nmc,0.08429431933839267
2040,cath,lce,lfp,0.08429431933839267
2041,cath,loh,nmc,0.08345137614500875
2041,cath,loh,lfp,0.08345137614500875
2041,cath,lce,nmc,0.08345137614500875
2041,cath,lce,lfp,0.08345137614500875
2042,cath,loh,nmc,0.08261686238355864
