Year,Stage,Input,Output,Cost
2020,cath,loh,nmc,57.88125000000001
2020,cath,loh,lfp,57.88125000000001
2020,cath,lce,nmc,57.88125000000001
2020,cath,lce,lfp,57.88125000000001
2021,cath,loh,nmc,55.125
2021,cath,loh,lfp,55.125
2021,cath,lce,nmc,55.125
2021,cath,lce,lfp,55.125
2022,cath,loh,nmc,52.5
2022,cath,loh,lfp,52.5
2022,cath,lce,nmc,52.5
2022,cath,lce,lfp,52.5
2023,cath,loh,nmc,50
2023,cath,loh,lfp,50
2023,cath,lce,nmc,50
2023,cath,lce,lfp,50
2024,cath,loh,nmc,47.61904761904762
2024,cath,loh,lfp,47.61904761904762
2024,cath,lce,nmc,47.61904761904762
2024,cath,lce,lfp,47.61904761904762
2025,cath,loh,nmc,45.35147392290249
2025,cath,loh,lfp,45.35147392290249
2025,cath,lce,nmc,45.35147392290249
2025,cath,lce,lfp,45.35147392290249
2026,cath,loh,nmc,43.1918799265738
2026,cath,loh,lfp,43.1918799265738
2026,cath,lce,nmc,43.1918799265738
2026,cath,lce,lfp,43.1918799265738
2027,cath,loh,nmc,41.1351237395941
2027,cath,loh,lfp,41.1351237395941
2027,cath,lce,nmc,41.1351237395941
2027,cath,lce,lfp,41.1351237395941
2028,cath,loh,nmc,39.176308323422944
2028,cath,loh,lfp,39.176308323422944
2028,cath,lce,nmc,39.176308323422944
2028,cath,lce,lfp,39.176308323422944
2029,cath,loh,nmc,37.31076983183139
2029,cath,loh,lfp,37.31076983183139
2029,cath,lce,nmc,37.31076983183139
2029,cath,lce,lfp,37.31076983183139
2030,cath,loh,nmc,35.53406650650607
2030,cath,loh,lfp,35.53406650650607
2030,cath,lce,nmc,35.53406650650607
2030,cath,lce,lfp,35.53406650650607
2031,cath,loh,nmc,33.84196810143436
2031,cath,loh,lfp,33.84196810143436
2031,cath,lce,nmc,33.84196810143436
2031,cath,lce,lfp,33.84196810143436
2032,cath,loh,nmc,32.23044581088986
2032,cath,loh,lfp,32.23044581088986
2032,cath,lce,nmc,32.23044581088986
2032,cath,lce,lfp,32.23044581088986
2033,cath,loh,nmc,30.695662677037966
2033,cath,loh,lfp,30.695662677037966
2033,cath,lce,nmc,30.695662677037966
2033,cath,lce,lfp,30.695662677037966
2034,cath,loh,nmc,29.23396445432187
2034,cath,loh,lfp,29.23396445432187
2034,cath,lce,nmc,29.23396445432187
2034,cath,lce,lfp,29.23396445432187
2035,cath,loh,nmc,27.841870908877976
2035,cath,loh,lfp,27.841870908877976
2035,cath,lce,nmc,27.841870908877976
2035,cath,lce,lfp,27.841870908877976
2036,cath,loh,nmc,26.516067532264735
2036,cath,loh,lfp,26.516067532264735
2036,cath,lce,nmc,26.516067532264735
2036,cath,lce,lfp,26.516067532264735
2037,cath,loh,nmc,25.25339764977594
2037,cath,loh,lfp,25.25339764977594
2037,cath,lce,nmc,25.25339764977594
2037,cath,lce,lfp,25.25339764977594
2038,cath,loh,nmc,24.05085490454851
2038,cath,loh,lfp,24.05085490454851
2038,cath,lce,nmc,24.05085490454851
2038,cath,lce,lfp,24.05085490454851
2039,cath,loh,nmc,22.905576099570013
2039,cath,loh,lfp,22.905576099570013
2039,cath,lce,nmc,22.905576099570013
2039,cath,lce,lfp,22.905576099570013
2040,cath,loh,nmc,21.814834380542866
2040,cath,loh,lfp,21.814834380542866
2040,cath,lce,nmc,21.814834380542866
2040,cath,lce,lfp,21.814834380542866
2041,cath,loh,nmc,20.776032743374156
2041,cath,loh,lfp,20.776032743374156
2041,cath,lce,nmc,20.776032743374156
2041,cath,lce,lfp,20.776032743374156
2042,cath,loh,nmc,19.78669785083253
2042,cath,loh,lfp,19.78669785083253
2042,cath,lce,nmc,19.78669785083253
2042,cath,lce,lfp,19.78669785083253
2043,cath,loh,nmc,18.84447414365003
2043,cath,loh,lfp,18.84447414365003
2043,cath,lce,nmc,18.84447414365003
2043,cath,lce,lfp,18.84447414365003
2044,cath,loh,nmc,17.947118232047647
2044,cath,loh,lfp,17.947118232047647
2044,cath,lce,nmc,17.947118232047647
2044,cath,lce,lfp,17.947118232047647
2045,cath,loh,nmc,17.092493554331096
2045,cath,loh,lfp,17.092493554331096
2045,cath,lce,nmc,17.092493554331096
2045,cath,lce,lfp,17.092493554331096
2046,cath,loh,nmc,16.278565289839133
2046,cath,loh,lfp,16.278565289839133
2046,cath,lce,nmc,16.278565289839133
2046,cath,lce,lfp,16.278565289839133
2047,cath,loh,nmc,15.50339551413251
2047,cath,loh,lfp,15.50339551413251
2047,cath,lce,nmc,15.50339551413251
2047,cath,lce,lfp,15.50339551413251
2048,cath,loh,nmc,14.765138584888104
2048,cath,loh,lfp,14.765138584888104
2048,cath,lce,nmc,14.765138584888104
2048,cath,lce,lfp,14.765138584888104
2049,cath,loh,nmc,14.062036747512481
2049,cath,loh,lfp,14.062036747512481
2049,cath,lce,nmc,14.062036747512481
2049,cath,lce,lfp,14.062036747512481
2050,cath,loh,nmc,13.392415950011886
2050,cath,loh,lfp,13.392415950011886
2050,cath,lce,nmc,13.392415950011886
2050,cath,lce,lfp,13.392415950011886
2051,cath,loh,nmc,12.754681857154178
2051,cath,loh,lfp,12.754681857154178
2051,cath,lce,nmc,12.754681857154178
2051,cath,lce,lfp,12.754681857154178
2052,cath,loh,nmc,12.147316054432547
2052,cath,loh,lfp,12.147316054432547
2052,cath,lce,nmc,12.147316054432547
2052,cath,lce,lfp,12.147316054432547
2053,cath,loh,nmc,11.568872432792908
2053,cath,loh,lfp,11.568872432792908
2053,cath,lce,nmc,11.568872432792908
2053,cath,lce,lfp,11.568872432792908
2054,cath,loh,nmc,11.01797374551705
2054,cath,loh,lfp,11.01797374551705
2054,cath,lce,nmc,11.01797374551705
2054,cath,lce,lfp,11.01797374551705
2055,cath,loh,nmc,10.493308329063858
2055,cath,loh,lfp,10.493308329063858
2055,cath,lce,nmc,10.493308329063858
2055,cath,lce,lfp,10.493308329063858
2056,cath,loh,nmc,9.993626980060817
2056,cath,loh,lfp,9.993626980060817
2056,cath,lce,nmc,9.993626980060817
2056,cath,lce,lfp,9.993626980060817
2057,cath,loh,nmc,9.517739981010303
2057,cath,loh,lfp,9.517739981010303
2057,cath,lce,nmc,9.517739981010303
2057,cath,lce,lfp,9.517739981010303
2058,cath,loh,nmc,9.064514267628859
2058,cath,loh,lfp,9.064514267628859
2058,cath,lce,nmc,9.064514267628859
2058,cath,lce,lfp,9.064514267628859
2059,cath,loh,nmc,8.632870731075103
2059,cath,loh,lfp,8.632870731075103
2059,cath,lce,nmc,8.632870731075103
2059,cath,lce,lfp,8.632870731075103
2060,cath,loh,nmc,8.221781648642954
2060,cath,loh,lfp,8.221781648642954
2060,cath,lce,nmc,8.221781648642954
2060,cath,lce,lfp,8.221781648642954
2061,cath,loh,nmc,7.830268236802816
2061,cath,loh,lfp,7.830268236802816
2061,cath,lce,nmc,7.830268236802816
2061,cath,lce,lfp,7.830268236802816
2062,cath,loh,nmc,7.457398320764585
2062,cath,loh,lfp,7.457398320764585
2062,cath,lce,nmc,7.457398320764585
2062,cath,lce,lfp,7.457398320764585
2063,cath,loh,nmc,7.102284115013892
2063,cath,loh,lfp,7.102284115013892
2063,cath,lce,nmc,7.102284115013892
2063,cath,lce,lfp,7.102284115013892
2064,cath,loh,nmc,6.764080109537039
2064,cath,loh,lfp,6.764080109537039
2064,cath,lce,nmc,6.764080109537039
2064,cath,lce,lfp,6.764080109537039
2065,cath,loh,nmc,6.441981056701942
2065,cath,loh,lfp,6.441981056701942
2065,cath,lce,nmc,6.441981056701942
2065,cath,lce,lfp,6.441981056701942
2066,cath,loh,nmc,6.135220054001849
2066,cath,loh,lfp,6.135220054001849
2066,cath,lce,nmc,6.135220054001849
2066,cath,lce,lfp,6.135220054001849
2067,cath,loh,nmc,5.843066718096999
2067,cath,loh,lfp,5.843066718096999
2067,cath,lce,nmc,5.843066718096999
2067,cath,lce,lfp,5.843066718096999
2068,cath,loh,nmc,5.564825445806665
2068,cath,loh,lfp,5.564825445806665
2068,cath,lce,nmc,5.564825445806665
2068,cath,lce,lfp,5.564825445806665
2069,cath,loh,nmc,5.299833757911111
2069,cath,loh,lfp,5.299833757911111
2069,cath,lce,nmc,5.299833757911111
2069,cath,lce,lfp,5.299833757911111
2070,cath,loh,nmc,5.047460721820104
2070,cath,loh,lfp,5.047460721820104
