Year,Stage,Technology,Demand
2020,cell,GWh_nmc,110.5847331
2021,cell,GWh_nmc,244.8222931
2022,cell,GWh_nmc,384.3060213
2023,cell,GWh_nmc,482.7503492
2024,cell,GWh_nmc,591.8981685
2025,cell,GWh_nmc,678.8124507
2026,cell,GWh_nmc,750.3085442
2027,cell,GWh_nmc,828.3610684
2028,cell,GWh_nmc,913.3923936
2029,cell,GWh_nmc,1005.82115
2030,cell,GWh_nmc,1073.990337
2031,cell,GWh_nmc,1167.719588
2032,cell,GWh_nmc,1267.66598
2033,cell,GWh_nmc,1373.938246
2034,cell,GWh_nmc,1486.601156
2035,cell,GWh_nmc,1605.670405
2036,cell,GWh_nmc,1731.108077
2037,cell,GWh_nmc,1862.818919
2038,cell,GWh_nmc,2000.647629
2039,cell,GWh_nmc,2144.377385
2040,cell,GWh_nmc,2250.978074
2041,cell,GWh_nmc,2402.732403
2042,cell,GWh_nmc,2559.28421
2043,cell,GWh_nmc,2720.193997
2044,cell,GWh_nmc,2884.977065
2045,cell,GWh_nmc,3053.110998
2046,cell,GWh_nmc,3224.044299
2047,cell,GWh_nmc,3397.205862
2048,cell,GWh_nmc,3572.014958
2049,cell,GWh_nmc,3747.891377
2050,cell,GWh_nmc,3924.265345
2051,cell,GWh_nmc,4100.586884
2052,cell,GWh_nmc,4276.334296
2053,cell,GWh_nmc,4451.021528
2054,cell,GWh_nmc,4624.204219
2055,cell,GWh_nmc,4795.484335
2056,cell,GWh_nmc,4964.51335
2057,cell,GWh_nmc,5130.993986
2058,cell,GWh_nmc,5294.680629
2059,cell,GWh_nmc,5455.378533
2060,cell,GWh_nmc,5698.739473
2061,cell,GWh_nmc,5828.471168
2062,cell,GWh_nmc,5955.963507
2063,cell,GWh_nmc,6081.198266
2064,cell,GWh_nmc,6204.183947
2065,cell,GWh_nmc,6324.952614
2066,cell,GWh_nmc,6443.556723
2067,cell,GWh_nmc,6560.066024
2068,cell,GWh_nmc,6674.564594
2069,cell,GWh_nmc,6787.148073
2070,cell,GWh_nmc,6897.921106
2071,cell,GWh_nmc,7006.995047
2072,cell,GWh_nmc,7114.4859
2073,cell,GWh_nmc,7220.51253
2074,cell,GWh_nmc,7325.195099
2075,cell,GWh_nmc,7428.653757
2076,cell,GWh_nmc,7531.007531
2077,cell,GWh_nmc,7632.373421
2078,cell,GWh_nmc,7732.865673
2079,cell,GWh_nmc,7832.595211
2080,cell,GWh_nmc,7931.669204
2081,cell,GWh_nmc,8030.190752
2082,cell,GWh_nmc,8128.258686
2083,cell,GWh_nmc,8225.967438
2084,cell,GWh_nmc,8323.406997
2085,cell,GWh_nmc,8420.662915
2086,cell,GWh_nmc,8517.81637
2087,cell,GWh_nmc,8614.944259
2088,cell,GWh_nmc,8712.119326
2089,cell,GWh_nmc,8809.41031
2090,cell,GWh_nmc,8906.882111
2091,cell,GWh_nmc,9004.595966
2092,cell,GWh_nmc,9102.609633
2093,cell,GWh_nmc,9200.977574
2094,cell,GWh_nmc,9299.751149
2095,cell,GWh_nmc,9398.978792
2096,cell,GWh_nmc,9498.706201
2097,cell,GWh_nmc,9598.97651
2098,cell,GWh_nmc,9699.830463
2099,cell,GWh_nmc,9801.306571
2100,cell,GWh_nmc,9903.441278
2020,cell,GWh_lfp,89.14531752
2021,cell,GWh_lfp,144.9536761
2022,cell,GWh_lfp,219.764513
2023,cell,GWh_lfp,286.3128798
2024,cell,GWh_lfp,331.0689397
2025,cell,GWh_lfp,371.8509417
2026,cell,GWh_lfp,410.5846315
2027,cell,GWh_lfp,453.1017222
2028,cell,GWh_lfp,499.7269456
2029,cell,GWh_lfp,550.8063373
2030,cell,GWh_lfp,506.4945825
2031,cell,GWh_lfp,550.6973619
2032,cell,GWh_lfp,597.8321491
2033,cell,GWh_lfp,647.9502229
2034,cell,GWh_lfp,701.0821287
2035,cell,GWh_lfp,757.2352682
2036,cell,GWh_lfp,816.3917609
2037,cell,GWh_lfp,878.5066846
2038,cell,GWh_lfp,943.5067991
2039,cell,GWh_lfp,1011.289851
2040,cell,GWh_lfp,1061.56281
2041,cell,GWh_lfp,1133.130256
2042,cell,GWh_lfp,1206.960195
2043,cell,GWh_lfp,1282.845362
2044,cell,GWh_lfp,1360.55717
2045,cell,GWh_lfp,1439.849249
2046,cell,GWh_lfp,1520.461511
2047,cell,GWh_lfp,1602.124623
2048,cell,GWh_lfp,1684.564713
2049,cell,GWh_lfp,1767.508154
2050,cell,GWh_lfp,1850.686238
2051,cell,GWh_lfp,1933.839597
2052,cell,GWh_lfp,2016.722198
2053,cell,GWh_lfp,2099.104817
2054,cell,GWh_lfp,2180.777893
2055,cell,GWh_lfp,2261.553714
2056,cell,GWh_lfp,2341.267914
2057,cell,GWh_lfp,2419.780296
2058,cell,GWh_lfp,2496.97503
2059,cell,GWh_lfp,2572.760272
2060,cell,GWh_lfp,2687.529459
2061,cell,GWh_lfp,2748.711016
2062,cell,GWh_lfp,2808.83649
2063,cell,GWh_lfp,2867.897289
2064,cell,GWh_lfp,2925.897421
2065,cell,GWh_lfp,2982.852007
2066,cell,GWh_lfp,3038.785787
2067,cell,GWh_lfp,3093.731653
2068,cell,GWh_lfp,3147.729258
2069,cell,GWh_lfp,3200.823704
2070,cell,GWh_lfp,3253.064343
2071,cell,GWh_lfp,3304.503688
2072,cell,GWh_lfp,3355.196449
2073,cell,GWh_lfp,3405.19868
2074,cell,GWh_lfp,3454.567052
2075,cell,GWh_lfp,3503.358226
2076,cell,GWh_lfp,3551.628336
2077,cell,GWh_lfp,3599.43256
2078,cell,GWh_lfp,3646.824775
2079,cell,GWh_lfp,3693.857294
2080,cell,GWh_lfp,3740.580657
2081,cell,GWh_lfp,3787.043487
2082,cell,GWh_lfp,3833.292392
2083,cell,GWh_lfp,3879.371907
2084,cell,GWh_lfp,3925.32447
2085,cell,GWh_lfp,3971.190428
2086,cell,GWh_lfp,4017.008064
2087,cell,GWh_lfp,4062.813644
2088,cell,GWh_lfp,4108.641472
2089,cell,GWh_lfp,4154.523967
2090,cell,GWh_lfp,4200.491736
2091,cell,GWh_lfp,4246.573657
2092,cell,GWh_lfp,4292.79697
2093,cell,GWh_lfp,4339.187359
2094,cell,GWh_lfp,4385.769044
2095,cell,GWh_lfp,4432.564869
2096,cell,GWh_lfp,4479.596384
2097,cell,GWh_lfp,4526.883931
2098,cell,GWh_lfp,4574.446724
2099,cell,GWh_lfp,4622.302927
2100,cell,GWh_lfp,4670.469725
