Year,Stage,Input,Output,Cost
2020,cell,nmc,GWh_nmc,2894.0625000000005
2020,cell,nmc,GWh_lfp,2894.0625000000005
2020,cell,lfp,GWh_nmc,2894.0625000000005
2020,cell,lfp,GWh_lfp,2894.0625000000005
2021,cell,nmc,GWh_nmc,2756.25
2021,cell,nmc,GWh_lfp,2756.25
2021,cell,lfp,GWh_nmc,2756.25
2021,cell,lfp,GWh_lfp,2756.25
2022,cell,nmc,GWh_nmc,2625
2022,cell,nmc,GWh_lfp,2625
2022,cell,lfp,GWh_nmc,2625
2022,cell,lfp,GWh_lfp,2625
2023,cell,nmc,GWh_nmc,2500
2023,cell,nmc,GWh_lfp,2500
2023,cell,lfp,GWh_nmc,2500
2023,cell,lfp,GWh_lfp,2500
2024,cell,nmc,GWh_nmc,2380.9523809523807
2024,cell,nmc,GWh_lfp,2380.9523809523807
2024,cell,lfp,GWh_nmc,2380.9523809523807
2024,cell,lfp,GWh_lfp,2380.9523809523807
2025,cell,nmc,GWh_nmc,2267.573696145125
2025,cell,nmc,GWh_lfp,2267.573696145125
2025,cell,lfp,GWh_nmc,2267.573696145125
2025,cell,lfp,GWh_lfp,2267.573696145125
2026,cell,nmc,GWh_nmc,2159.59399632869
2026,cell,nmc,GWh_lfp,2159.59399632869
2026,cell,lfp,GWh_nmc,2159.59399632869
2026,cell,lfp,GWh_lfp,2159.59399632869
2027,cell,nmc,GWh_nmc,2056.756186979705
2027,cell,nmc,GWh_lfp,2056.756186979705
2027,cell,lfp,GWh_nmc,2056.756186979705
2027,cell,lfp,GWh_lfp,2056.756186979705
2028,cell,nmc,GWh_nmc,1958.8154161711473
2028,cell,nmc,GWh_lfp,1958.8154161711473
2028,cell,lfp,GWh_nmc,1958.8154161711473
2028,cell,lfp,GWh_lfp,1958.8154161711473
2029,cell,nmc,GWh_nmc,1865.5384915915693
2029,cell,nmc,GWh_lfp,1865.5384915915693
2029,cell,lfp,GWh_nmc,1865.5384915915693
2029,cell,lfp,GWh_lfp,1865.5384915915693
2030,cell,nmc,GWh_nmc,1776.7033253253037
2030,cell,nmc,GWh_lfp,1776.7033253253037
2030,cell,lfp,GWh_nmc,1776.7033253253037
2030,cell,lfp,GWh_lfp,1776.7033253253037
2031,cell,nmc,GWh_nmc,1692.098405071718
2031,cell,nmc,GWh_lfp,1692.098405071718
2031,cell,lfp,GWh_nmc,1692.098405071718
2031,cell,lfp,GWh_lfp,1692.098405071718
2032,cell,nmc,GWh_nmc,1611.5222905444932
2032,cell,nmc,GWh_lfp,1611.5222905444932
2032,cell,lfp,GWh_nmc,1611.5222905444932
2032,cell,lfp,GWh_lfp,1611.5222905444932
2033,cell,nmc,GWh_nmc,1534.7831338518984
2033,cell,nmc,GWh_lfp,1534.7831338518984
2033,cell,lfp,GWh_nmc,1534.7831338518984
2033,cell,lfp,GWh_lfp,1534.7831338518984
2034,cell,nmc,GWh_nmc,1461.6982227160936
2034,cell,nmc,GWh_lfp,1461.6982227160936
2034,cell,lfp,GWh_nmc,1461.6982227160936
2034,cell,lfp,GWh_lfp,1461.6982227160936
2035,cell,nmc,GWh_nmc,1392.0935454438988
2035,cell,nmc,GWh_lfp,1392.0935454438988
2035,cell,lfp,GWh_nmc,1392.0935454438988
2035,cell,lfp,GWh_lfp,1392.0935454438988
2036,cell,nmc,GWh_nmc,1325.8033766132367
2036,cell,nmc,GWh_lfp,1325.8033766132367
2036,cell,lfp,GWh_nmc,1325.8033766132367
2036,cell,lfp,GWh_lfp,1325.8033766132367
2037,cell,nmc,GWh_nmc,1262.6698824887972
2037,cell,nmc,GWh_lfp,1262.6698824887972
2037,cell,lfp,GWh_nmc,1262.6698824887972
2037,cell,lfp,GWh_lfp,1262.6698824887972
2038,cell,nmc,GWh_nmc,1202.5427452274255
2038,cell,nmc,GWh_lfp,1202.5427452274255
2038,cell,lfp,GWh_nmc,1202.5427452274255
2038,cell,lfp,GWh_lfp,1202.5427452274255
2039,cell,nmc,GWh_nmc,1145.2788049785006
2039,cell,nmc,GWh_lfp,1145.2788049785006
2039,cell,lfp,GWh_nmc,1145.2788049785006
2039,cell,lfp,GWh_lfp,1145.2788049785006
2040,cell,nmc,GWh_nmc,1090.7417190271433
2040,cell,nmc,GWh_lfp,1090.7417190271433
2040,cell,lfp,GWh_nmc,1090.7417190271433
2040,cell,lfp,GWh_lfp,1090.7417190271433
2041,cell,nmc,GWh_nmc,1038.8016371687079
2041,cell,nmc,GWh_lfp,1038.8016371687079
2041,cell,lfp,GWh_nmc,1038.8016371687079
2041,cell,lfp,GWh_lfp,1038.8016371687079
2042,cell,nmc,GWh_nmc,989.3348925416266
2042,cell,nmc,GWh_lfp,989.3348925416266
2042,cell,lfp,GWh_nmc,989.3348925416266
2042,cell,lfp,GWh_lfp,989.3348925416266
2043,cell,nmc,GWh_nmc,942.2237071825015
2043,cell,nmc,GWh_lfp,942.2237071825015
2043,cell,lfp,GWh_nmc,942.2237071825015
2043,cell,lfp,GWh_lfp,942.2237071825015
2044,cell,nmc,GWh_nmc,897.3559116023824
2044,cell,nmc,GWh_lfp,897.3559116023824
2044,cell,lfp,GWh_nmc,897.3559116023824
2044,cell,lfp,GWh_lfp,897.3559116023824
2045,cell,nmc,GWh_nmc,854.6246777165547
2045,cell,nmc,GWh_lfp,854.6246777165547
2045,cell,lfp,GWh_nmc,854.6246777165547
2045,cell,lfp,GWh_lfp,854.6246777165547
2046,cell,nmc,GWh_nmc,813.9282644919567
2046,cell,nmc,GWh_lfp,813.9282644919567
2046,cell,lfp,GWh_nmc,813.9282644919567
2046,cell,lfp,GWh_lfp,813.9282644919567
2047,cell,nmc,GWh_nmc,775.1697757066255
2047,cell,nmc,GWh_lfp,775.1697757066255
2047,cell,lfp,GWh_nmc,775.1697757066255
2047,cell,lfp,GWh_lfp,775.1697757066255
2048,cell,nmc,GWh_nmc,738.2569292444052
2048,cell,nmc,GWh_lfp,738.2569292444052
2048,cell,lfp,GWh_nmc,738.2569292444052
2048,cell,lfp,GWh_lfp,738.2569292444052
2049,cell,nmc,GWh_nmc,703.1018373756241
2049,cell,nmc,GWh_lfp,703.1018373756241
2049,cell,lfp,GWh_nmc,703.1018373756241
2049,cell,lfp,GWh_lfp,703.1018373756241
2050,cell,nmc,GWh_nmc,669.6207975005942
2050,cell,nmc,GWh_lfp,669.6207975005942
2050,cell,lfp,GWh_nmc,669.6207975005942
2050,cell,lfp,GWh_lfp,669.6207975005942
2051,cell,nmc,GWh_nmc,637.7340928577089
2051,cell,nmc,GWh_lfp,637.7340928577089
2051,cell,lfp,GWh_nmc,637.7340928577089
2051,cell,lfp,GWh_lfp,637.7340928577089
2052,cell,nmc,GWh_nmc,607.3658027216275
2052,cell,nmc,GWh_lfp,607.3658027216275
2052,cell,lfp,GWh_nmc,607.3658027216275
2052,cell,lfp,GWh_lfp,607.3658027216275
2053,cell,nmc,GWh_nmc,578.4436216396454
2053,cell,nmc,GWh_lfp,578.4436216396454
2053,cell,lfp,GWh_nmc,578.4436216396454
2053,cell,lfp,GWh_lfp,578.4436216396454
2054,cell,nmc,GWh_nmc,550.8986872758525
2054,cell,nmc,GWh_lfp,550.8986872758525
2054,cell,lfp,GWh_nmc,550.8986872758525
2054,cell,lfp,GWh_lfp,550.8986872758525
2055,cell,nmc,GWh_nmc,524.6654164531928
2055,cell,nmc,GWh_lfp,524.6654164531928
2055,cell,lfp,GWh_nmc,524.6654164531928
2055,cell,lfp,GWh_lfp,524.6654164531928
2056,cell,nmc,GWh_nmc,499.68134900304085
2056,cell,nmc,GWh_lfp,499.68134900304085
2056,cell,lfp,GWh_nmc,499.68134900304085
2056,cell,lfp,GWh_lfp,499.68134900304085
2057,cell,nmc,GWh_nmc,475.8869990505151
2057,cell,nmc,GWh_lfp,475.8869990505151
2057,cell,lfp,GWh_nmc,475.8869990505151
2057,cell,lfp,GWh_lfp,475.8869990505151
2058,cell,nmc,GWh_nmc,453.2257133814429
2058,cell,nmc,GWh_lfp,453.2257133814429
2058,cell,lfp,GWh_nmc,453.2257133814429
2058,cell,lfp,GWh_lfp,453.2257133814429
2059,cell,nmc,GWh_nmc,431.6435365537552
2059,cell,nmc,GWh_lfp,431.6435365537552
2059,cell,lfp,GWh_nmc,431.6435365537552
2059,cell,lfp,GWh_lfp,431.6435365537552
2060,cell,nmc,GWh_nmc,411.0890824321478
2060,cell,nmc,GWh_lfp,411.0890824321478
2060,cell,lfp,GWh_nmc,411.0890824321478
2060,cell,lfp,GWh_lfp,411.0890824321478
2061,cell,nmc,GWh_nmc,391.5134118401408
2061,cell,nmc,GWh_lfp,391.5134118401408
2061,cell,lfp,GWh_nmc,391.5134118401408
2061,cell,lfp,GWh_lfp,391.5134118401408
2062,cell,nmc,GWh_nmc,372.86991603822923
2062,cell,nmc,GWh_lfp,372.86991603822923
2062,cell,lfp,GWh_nmc,372.86991603822923
2062,cell,lfp,GWh_lfp,372.86991603822923
2063,cell,nmc,GWh_nmc,355.11420575069457
2063,cell,nmc,GWh_lfp,355.11420575069457
2063,cell,lfp,GWh_nmc,355.11420575069457
2063,cell,lfp,GWh_lfp,355.11420575069457
2064,cell,nmc,GWh_nmc,338.20400547685193
2064,cell,nmc,GWh_lfp,338.20400547685193
2064,cell,lfp,GWh_nmc,338.20400547685193
2064,cell,lfp,GWh_lfp,338.20400547685193
2065,cell,nmc,GWh_nmc,322.0990528350971
2065,cell,nmc,GWh_lfp,322.0990528350971
2065,cell,lfp,GWh_nmc,322.0990528350971
2065,cell,lfp,GWh_lfp,322.0990528350971
2066,cell,nmc,GWh_nmc,306.76100270009243
2066,cell,nmc,GWh_lfp,306.76100270009243
2066,cell,lfp,GWh_nmc,306.76100270009243
2066,cell,lfp,GWh_lfp,306.76100270009243
2067,cell,nmc,GWh_nmc,292.15333590485
2067,cell,nmc,GWh_lfp,292.15333590485
2067,cell,lfp,GWh_nmc,292.15333590485
2067,cell,lfp,GWh_lfp,292.15333590485
2068,cell,nmc,GWh_nmc,278.24127229033326
2068,cell,nmc,GWh_lfp,278.24127229033326
2068,cell,lfp,GWh_nmc,278.24127229033326
2068,cell,lfp,GWh_lfp,278.24127229033326
2069,cell,nmc,GWh_nmc,264.9916878955555
2069,cell,nmc,GWh_lfp,264.9916878955555
2069,cell,lfp,GWh_nmc,264.9916878955555
2069,cell,lfp,GWh_lfp,264.9916878955555
2070,cell,nmc,GWh_nmc,252.37303609100522
2070,cell,nmc,GWh_lfp,252.37303609100522
2070,cell,lfp,GWh_nmc,252.37303609100522
2070,cell,lfp,GWh_lfp,252.37303609100522
2071,cell,nmc,GWh_nmc,240.35527246762402
2071,cell,nmc,GWh_lfp,240.35527246762402
2071,cell,lfp,GWh_nmc,240.35527246762402
2071,cell,lfp,GWh_lfp,240.35527246762402
2072,cell,nmc,GWh_nmc,228.90978330249905
2072,cell,nmc,GWh_lfp,228.90978330249905
2072,cell,lfp,GWh_nmc,228.90978330249905
2072,cell,lfp,GWh_lfp,228.90978330249905
2073,cell,nmc,GWh_nmc,218.00931743095148
2073,cell,nmc,GWh_lfp,218.00931743095148
2073,cell,lfp,GWh_nmc,218.00931743095148
2073,cell,lfp,GWh_lfp,218.00931743095148
2074,cell,nmc,GWh_nmc,207.62792136281092
2074,cell,nmc,GWh_lfp,207.62792136281092
2074,cell,lfp,GWh_nmc,207.62792136281092
2074,cell,lfp,GWh_lfp,207.62792136281092
2075,cell,nmc,GWh_nmc,197.74087748839136
2075,cell,nmc,GWh_lfp,197.74087748839136
2075,cell,lfp,GWh_nmc,197.74087748839136
2075,cell,lfp,GWh_lfp,197.74087748839136
2076,cell,nmc,GWh_nmc,188.3246452270394
2076,cell,nmc,GWh_lfp,188.3246452270394
2076,cell,lfp,GWh_nmc,188.3246452270394
2076,cell,lfp,GWh_lfp,188.3246452270394
2077,cell,nmc,GWh_nmc,179.35680497813277
2077,cell,nmc,GWh_lfp,179.35680497813277
2077,cell,lfp,GWh_nmc,179.35680497813277
2077,cell,lfp,GWh_lfp,179.35680497813277
2078,cell,nmc,GWh_nmc,170.8160047410788
