Year,Stage,Input,Output,CO2
2020,cell,nmc,GWh_nmc,57.71416851918842
2020,cell,lfp,GWh_lfp,57.71416851918842
2021,cell,nmc,GWh_nmc,57.13702683399653
2021,cell,lfp,GWh_lfp,57.13702683399653
2022,cell,nmc,GWh_nmc,56.56565656565657
2022,cell,lfp,GWh_lfp,56.56565656565657
2023,cell,nmc,GWh_nmc,56
2023,cell,lfp,GWh_lfp,56
2024,cell,nmc,GWh_nmc,55.44
2024,cell,lfp,GWh_lfp,55.44
2025,cell,nmc,GWh_nmc,54.8856
2025,cell,lfp,GWh_lfp,54.8856
2026,cell,nmc,GWh_nmc,54.336743999999996
2026,cell,lfp,GWh_lfp,54.336743999999996
2027,cell,nmc,GWh_nmc,53.79337656
2027,cell,lfp,GWh_lfp,53.79337656
2028,cell,nmc,GWh_nmc,53.2554427944
2028,cell,lfp,GWh_lfp,53.2554427944
2029,cell,nmc,GWh_nmc,52.72288836645599
2029,cell,lfp,GWh_lfp,52.72288836645599
2030,cell,nmc,GWh_nmc,52.195659482791434
2030,cell,lfp,GWh_lfp,52.195659482791434
2031,cell,nmc,GWh_nmc,51.673702887963515
2031,cell,lfp,GWh_lfp,51.673702887963515
2032,cell,nmc,GWh_nmc,51.15696585908388
2032,cell,lfp,GWh_lfp,51.15696585908388
2033,cell,nmc,GWh_nmc,50.64539620049304
2033,cell,lfp,GWh_lfp,50.64539620049304
2034,cell,nmc,GWh_nmc,50.13894223848811
2034,cell,lfp,GWh_lfp,50.13894223848811
2035,cell,nmc,GWh_nmc,49.63755281610323
2035,cell,lfp,GWh_lfp,49.63755281610323
2036,cell,nmc,GWh_nmc,49.14117728794219
2036,cell,lfp,GWh_lfp,49.14117728794219
2037,cell,nmc,GWh_nmc,48.649765515062775
2037,cell,lfp,GWh_lfp,48.649765515062775
2038,cell,nmc,GWh_nmc,48.163267859912146
2038,cell,lfp,GWh_lfp,48.163267859912146
2039,cell,nmc,GWh_nmc,47.68163518131303
2039,cell,lfp,GWh_lfp,47.68163518131303
2040,cell,nmc,GWh_nmc,47.20481882949989
2040,cell,lfp,GWh_lfp,47.20481882949989
2041,cell,nmc,GWh_nmc,46.732770641204894
2041,cell,lfp,GWh_lfp,46.732770641204894
2042,cell,nmc,GWh_nmc,46.26544293479284
2042,cell,lfp,GWh_lfp,46.26544293479284
2043,cell,nmc,GWh_nmc,45.802788505444916
2043,cell,lfp,GWh_lfp,45.802788505444916
2044,cell,nmc,GWh_nmc,45.34476062039047
2044,cell,lfp,GWh_lfp,45.34476062039047
2045,cell,nmc,GWh_nmc,44.89131301418656
2045,cell,lfp,GWh_lfp,44.89131301418656
2046,cell,nmc,GWh_nmc,44.4423998840447
2046,cell,lfp,GWh_lfp,44.4423998840447
2047,cell,nmc,GWh_nmc,43.99797588520424
2047,cell,lfp,GWh_lfp,43.99797588520424
2048,cell,nmc,GWh_nmc,43.5579961263522
2048,cell,lfp,GWh_lfp,43.5579961263522
2049,cell,nmc,GWh_nmc,43.12241616508868
2049,cell,lfp,GWh_lfp,43.12241616508868
2050,cell,nmc,GWh_nmc,42.69119200343779
2050,cell,lfp,GWh_lfp,42.69119200343779
2051,cell,nmc,GWh_nmc,42.26428008340341
2051,cell,lfp,GWh_lfp,42.26428008340341
2052,cell,nmc,GWh_nmc,41.84163728256937
2052,cell,lfp,GWh_lfp,41.84163728256937
2053,cell,nmc,GWh_nmc,41.423220909743684
2053,cell,lfp,GWh_lfp,41.423220909743684
2054,cell,nmc,GWh_nmc,41.00898870064624
2054,cell,lfp,GWh_lfp,41.00898870064624
2055,cell,nmc,GWh_nmc,40.598898813639785
2055,cell,lfp,GWh_lfp,40.598898813639785
2056,cell,nmc,GWh_nmc,40.192909825503385
2056,cell,lfp,GWh_lfp,40.192909825503385
2057,cell,nmc,GWh_nmc,39.79098072724835
2057,cell,lfp,GWh_lfp,39.79098072724835
2058,cell,nmc,GWh_nmc,39.39307091997587
2058,cell,lfp,GWh_lfp,39.39307091997587
2059,cell,nmc,GWh_nmc,38.999140210776105
2059,cell,lfp,GWh_lfp,38.999140210776105
2060,cell,nmc,GWh_nmc,38.609148808668344
2060,cell,lfp,GWh_lfp,38.609148808668344
2061,cell,nmc,GWh_nmc,38.22305732058166
2061,cell,lfp,GWh_lfp,38.22305732058166
2062,cell,nmc,GWh_nmc,37.84082674737584
2062,cell,lfp,GWh_lfp,37.84082674737584
2063,cell,nmc,GWh_nmc,37.462418479902084
2063,cell,lfp,GWh_lfp,37.462418479902084
2064,cell,nmc,GWh_nmc,37.08779429510306
2064,cell,lfp,GWh_lfp,37.08779429510306
2065,cell,nmc,GWh_nmc,36.716916352152026
2065,cell,lfp,GWh_lfp,36.716916352152026
2066,cell,nmc,GWh_nmc,36.34974718863051
2066,cell,lfp,GWh_lfp,36.34974718863051
2067,cell,nmc,GWh_nmc,35.98624971674421
2067,cell,lfp,GWh_lfp,35.98624971674421
2068,cell,nmc,GWh_nmc,35.626387219576756
2068,cell,lfp,GWh_lfp,35.626387219576756
2069,cell,nmc,GWh_nmc,35.270123347380995
2069,cell,lfp,GWh_lfp,35.270123347380995
2070,cell,nmc,GWh_nmc,34.917422113907186
2070,cell,lfp,GWh_lfp,34.917422113907186
2071,cell,nmc,GWh_nmc,34.56824789276811
2071,cell,lfp,GWh_lfp,34.56824789276811
2072,cell,nmc,GWh_nmc,34.22256541384043
2072,cell,lfp,GWh_lfp,34.22256541384043
2073,cell,nmc,GWh_nmc,33.880339759702025
2073,cell,lfp,GWh_lfp,33.880339759702025
2074,cell,nmc,GWh_nmc,33.541536362105006
2074,cell,lfp,GWh_lfp,33.541536362105006
2075,cell,nmc,GWh_nmc,33.206120998483954
2075,cell,lfp,GWh_lfp,33.206120998483954
2076,cell,nmc,GWh_nmc,32.87405978849912
2076,cell,lfp,GWh_lfp,32.87405978849912
2077,cell,nmc,GWh_nmc,32.54531919061412
2077,cell,lfp,GWh_lfp,32.54531919061412
2078,cell,nmc,GWh_nmc,32.21986599870798
2078,cell,lfp,GWh_lfp,32.21986599870798
2079,cell,nmc,GWh_nmc,31.8976673387209
2079,cell,lfp,GWh_lfp,31.8976673387209
2080,cell,nmc,GWh_nmc,31.57869066533369
2080,cell,lfp,GWh_lfp,31.57869066533369
2081,cell,nmc,GWh_nmc,31.262903758680352
2081,cell,lfp,GWh_lfp,31.262903758680352
2082,cell,nmc,GWh_nmc,30.950274721093553
2082,cell,lfp,GWh_lfp,30.950274721093553
2083,cell,nmc,GWh_nmc,30.64077197388261
2083,cell,lfp,GWh_lfp,30.64077197388261
2084,cell,nmc,GWh_nmc,30.33436425414378
2084,cell,lfp,GWh_lfp,30.33436425414378
2085,cell,nmc,GWh_nmc,30.03102061160235
2085,cell,lfp,GWh_lfp,30.03102061160235
2086,cell,nmc,GWh_nmc,29.730710405486324
2086,cell,lfp,GWh_lfp,29.730710405486324
2087,cell,nmc,GWh_nmc,29.433403301431458
2087,cell,lfp,GWh_lfp,29.433403301431458
2088,cell,nmc,GWh_nmc,29.139069268417146
2088,cell,lfp,GWh_lfp,29.139069268417146
2089,cell,nmc,GWh_nmc,28.84767857573297
2089,cell,lfp,GWh_lfp,28.84767857573297
2090,cell,nmc,GWh_nmc,28.559201789975642
2090,cell,lfp,GWh_lfp,28.559201789975642
2091,cell,nmc,GWh_nmc,28.273609772075886
2091,cell,lfp,GWh_lfp,28.273609772075886
2092,cell,nmc,GWh_nmc,27.990873674355125
2092,cell,lfp,GWh_lfp,27.990873674355125
2093,cell,nmc,GWh_nmc,27.710964937611575
2093,cell,lfp,GWh_lfp,27.710964937611575
2094,cell,nmc,GWh_nmc,27.43385528823546
2094,cell,lfp,GWh_lfp,27.43385528823546
2095,cell,nmc,GWh_nmc,27.1595167353531
2095,cell,lfp,GWh_lfp,27.1595167353531
2096,cell,nmc,GWh_nmc,26.88792156799957
2096,cell,lfp,GWh_lfp,26.88792156799957
2097,cell,nmc,GWh_nmc,26.619042352319575
2097,cell,lfp,GWh_lfp,26.619042352319575
2098,cell,nmc,GWh_nmc,26.35285192879638
2098,cell,lfp,GWh_lfp,26.35285192879638
2099,cell,nmc,GWh_nmc,26.089323409508417
2099,cell,lfp,GWh_lfp,26.089323409508417
2100,cell,nmc,GWh_nmc,25.828430175413327
2100,cell,lfp,GWh_lfp,25.828430175413327
2020,cell,nmc,GWh_lfp,9999
2020,cell,lfp,GWh_nmc,9999
2021,cell,nmc,GWh_lfp,9999
2021,cell,lfp,GWh_nmc,9999
2022,cell,nmc,GWh_lfp,9999
2022,cell,lfp,GWh_nmc,9999
2023,cell,nmc,GWh_lfp,9999
2023,cell,lfp,GWh_nmc,9999
2024,cell,nmc,GWh_lfp,9999
2024,cell,lfp,GWh_nmc,9999
