Year,Stage,Input,Output,Cost
2020,cell,nmc,GWh_nmc,59.408660154541494
2020,cell,lfp,GWh_lfp,59.408660154541494
2021,cell,nmc,GWh_nmc,53.75069252077564
2021,cell,lfp,GWh_lfp,53.75069252077564
2022,cell,nmc,GWh_nmc,48.631578947368425
2022,cell,lfp,GWh_lfp,48.631578947368425
2023,cell,nmc,GWh_nmc,44
2023,cell,lfp,GWh_lfp,44
2024,cell,nmc,GWh_nmc,39.8095238095238
2024,cell,lfp,GWh_lfp,39.8095238095238
2025,cell,nmc,GWh_nmc,37.913832199546484
2025,cell,lfp,GWh_lfp,37.913832199546484
2026,cell,nmc,GWh_nmc,36.10841161861569
2026,cell,lfp,GWh_lfp,36.10841161861569
2027,cell,nmc,GWh_nmc,34.388963446300664
2027,cell,lfp,GWh_lfp,34.388963446300664
2028,cell,nmc,GWh_nmc,32.75139375838158
2028,cell,lfp,GWh_lfp,32.75139375838158
2029,cell,nmc,GWh_nmc,31.191803579411033
2029,cell,lfp,GWh_lfp,31.191803579411033
2030,cell,nmc,GWh_nmc,29.706479599439074
2030,cell,lfp,GWh_lfp,29.706479599439074
2031,cell,nmc,GWh_nmc,28.291885332799122
2031,cell,lfp,GWh_lfp,28.291885332799122
2032,cell,nmc,GWh_nmc,26.944652697903923
2032,cell,lfp,GWh_lfp,26.944652697903923
2033,cell,nmc,GWh_nmc,25.66157399800374
2033,cell,lfp,GWh_lfp,25.66157399800374
2034,cell,nmc,GWh_nmc,24.439594283813083
2034,cell,lfp,GWh_lfp,24.439594283813083
2035,cell,nmc,GWh_nmc,23.275804079821985
2035,cell,lfp,GWh_lfp,23.275804079821985
2036,cell,nmc,GWh_nmc,22.167432456973316
2036,cell,lfp,GWh_lfp,22.167432456973316
2037,cell,nmc,GWh_nmc,21.111840435212688
2037,cell,lfp,GWh_lfp,21.111840435212688
2038,cell,nmc,GWh_nmc,20.106514700202553
2038,cell,lfp,GWh_lfp,20.106514700202553
2039,cell,nmc,GWh_nmc,19.149061619240527
2039,cell,lfp,GWh_lfp,19.149061619240527
2040,cell,nmc,GWh_nmc,18.237201542133835
2040,cell,lfp,GWh_lfp,18.237201542133835
2041,cell,nmc,GWh_nmc,17.368763373460794
2041,cell,lfp,GWh_lfp,17.368763373460794
2042,cell,nmc,GWh_nmc,16.541679403295994
2042,cell,lfp,GWh_lfp,16.541679403295994
2043,cell,nmc,GWh_nmc,15.753980384091424
