Year,Stage,Input,Output,CO2
2020,cell,nmc,GWh_nmc,0.10306101521283648
2020,cell,nmc,GWh_lfp,0.10306101521283648
2020,cell,lfp,GWh_nmc,0.10306101521283648
2020,cell,lfp,GWh_lfp,0.10306101521283648
2021,cell,nmc,GWh_nmc,0.1020304050607081
2021,cell,nmc,GWh_lfp,0.1020304050607081
2021,cell,lfp,GWh_nmc,0.1020304050607081
2021,cell,lfp,GWh_lfp,0.1020304050607081
2022,cell,nmc,GWh_nmc,0.10101010101010102
2022,cell,nmc,GWh_lfp,0.10101010101010102
2022,cell,lfp,GWh_nmc,0.10101010101010102
2022,cell,lfp,GWh_lfp,0.10101010101010102
2023,cell,nmc,GWh_nmc,0.1
2023,cell,nmc,GWh_lfp,0.1
2023,cell,lfp,GWh_nmc,0.1
2023,cell,lfp,GWh_lfp,0.1
2024,cell,nmc,GWh_nmc,0.099
2024,cell,nmc,GWh_lfp,0.099
2024,cell,lfp,GWh_nmc,0.099
2024,cell,lfp,GWh_lfp,0.099
2025,cell,nmc,GWh_nmc,0.09801
2025,cell,nmc,GWh_lfp,0.09801
2025,cell,lfp,GWh_nmc,0.09801
2025,cell,lfp,GWh_lfp,0.09801
2026,cell,nmc,GWh_nmc,0.0970299
2026,cell,nmc,GWh_lfp,0.0970299
2026,cell,lfp,GWh_nmc,0.0970299
2026,cell,lfp,GWh_lfp,0.0970299
2027,cell,nmc,GWh_nmc,0.096059601
2027,cell,nmc,GWh_lfp,0.096059601
2027,cell,lfp,GWh_nmc,0.096059601
2027,cell,lfp,GWh_lfp,0.096059601
2028,cell,nmc,GWh_nmc,0.09509900499
2028,cell,nmc,GWh_lfp,0.09509900499
2028,cell,lfp,GWh_nmc,0.09509900499
2028,cell,lfp,GWh_lfp,0.09509900499
2029,cell,nmc,GWh_nmc,0.0941480149401
2029,cell,nmc,GWh_lfp,0.0941480149401
2029,cell,lfp,GWh_nmc,0.0941480149401
2029,cell,lfp,GWh_lfp,0.0941480149401
2030,cell,nmc,GWh_nmc,0.093206534790699
2030,cell,nmc,GWh_lfp,0.093206534790699
2030,cell,lfp,GWh_nmc,0.093206534790699
