Year,Stage,Input,Output,Cost
2020,cell,nmc,GWh_nmc,57.88125000000001
2020,cell,nmc,GWh_lfp,57.88125000000001
2020,cell,lfp,GWh_nmc,57.88125000000001
2020,cell,lfp,GWh_lfp,57.88125000000001
2021,cell,nmc,GWh_nmc,55.125
2021,cell,nmc,GWh_lfp,55.125
2021,cell,lfp,GWh_nmc,55.125
2021,cell,lfp,GWh_lfp,55.125
2022,cell,nmc,GWh_nmc,52.5
2022,cell,nmc,GWh_lfp,52.5
2022,cell,lfp,GWh_nmc,52.5
2022,cell,lfp,GWh_lfp,52.5
2023,cell,nmc,GWh_nmc,50
2023,cell,nmc,GWh_lfp,50
2023,cell,lfp,GWh_nmc,50
2023,cell,lfp,GWh_lfp,50
2024,cell,nmc,GWh_nmc,47.61904761904762
2024,cell,nmc,GWh_lfp,47.61904761904762
2024,cell,lfp,GWh_nmc,47.61904761904762
2024,cell,lfp,GWh_lfp,47.61904761904762
2025,cell,nmc,GWh_nmc,45.35147392290249
2025,cell,nmc,GWh_lfp,45.35147392290249
2025,cell,lfp,GWh_nmc,45.35147392290249
2025,cell,lfp,GWh_lfp,45.35147392290249
2026,cell,nmc,GWh_nmc,43.1918799265738
2026,cell,nmc,GWh_lfp,43.1918799265738
2026,cell,lfp,GWh_nmc,43.1918799265738
2026,cell,lfp,GWh_lfp,43.1918799265738
2027,cell,nmc,GWh_nmc,41.1351237395941
2027,cell,nmc,GWh_lfp,41.1351237395941
2027,cell,lfp,GWh_nmc,41.1351237395941
2027,cell,lfp,GWh_lfp,41.1351237395941
2028,cell,nmc,GWh_nmc,39.176308323422944
2028,cell,nmc,GWh_lfp,39.176308323422944
2028,cell,lfp,GWh_nmc,39.176308323422944
2028,cell,lfp,GWh_lfp,39.176308323422944
2029,cell,nmc,GWh_nmc,37.31076983183139
2029,cell,nmc,GWh_lfp,37.31076983183139
2029,cell,lfp,GWh_nmc,37.31076983183139
2029,cell,lfp,GWh_lfp,37.31076983183139
2030,cell,nmc,GWh_nmc,35.53406650650607
2030,cell,nmc,GWh_lfp,35.53406650650607
2030,cell,lfp,GWh_nmc,35.53406650650607
2030,cell,lfp,GWh_lfp,35.53406650650607
2031,cell,nmc,GWh_nmc,33.84196810143436
2031,cell,nmc,GWh_lfp,33.84196810143436
2031,cell,lfp,GWh_nmc,33.84196810143436
2031,cell,lfp,GWh_lfp,33.84196810143436
2032,cell,nmc,GWh_nmc,32.23044581088986
2032,cell,nmc,GWh_lfp,32.23044581088986
2032,cell,lfp,GWh_nmc,32.23044581088986
2032,cell,lfp,GWh_lfp,32.23044581088986
2033,cell,nmc,GWh_nmc,30.695662677037966
2033,cell,nmc,GWh_lfp,30.695662677037966
2033,cell,lfp,GWh_nmc,30.695662677037966
2033,cell,lfp,GWh_lfp,30.695662677037966
2034,cell,nmc,GWh_nmc,29.23396445432187
2034,cell,nmc,GWh_lfp,29.23396445432187
2034,cell,lfp,GWh_nmc,29.23396445432187
2034,cell,lfp,GWh_lfp,29.23396445432187
2035,cell,nmc,GWh_nmc,27.841870908877976
2035,cell,nmc,GWh_lfp,27.841870908877976
2035,cell,lfp,GWh_nmc,27.841870908877976
2035,cell,lfp,GWh_lfp,27.841870908877976
2036,cell,nmc,GWh_nmc,26.516067532264735
2036,cell,nmc,GWh_lfp,26.516067532264735
2036,cell,lfp,GWh_nmc,26.516067532264735
2036,cell,lfp,GWh_lfp,26.516067532264735
