Year,Stage,Region,Technology
2020,mine,LTRI,spod
2021,proc,NA,clay
2022,cath,LAC,brine
2023,cell,SSA,lce
2024,pack,ME,loh
2025,rec,EU,cath_nmc
2026,,EE,cath_lfp
2027,,CSA,GWh_nmc
2028,,CHN,GWh_lfp
2029,,EA,bev_nmc
2030,,SEA,phev_nmc
2031,,OCE,bev_lfp
2032,,,phev_lfp
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,,,
2041,,,
2042,,,
2043,,,
2044,,,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,,,
2051,,,
2052,,,
2053,,,
2054,,,
2055,,,
2056,,,
2057,,,
2058,,,
2059,,,
2060,,,
2061,,,
2062,,,
2063,,,
2064,,,
2065,,,
2066,,,
2067,,,
2068,,,
2069,,,
2070,,,
2071,,,
2072,,,
2073,,,
2074,,,
2075,,,
2076,,,
2077,,,
2078,,,
2079,,,
2080,,,
2081,,,
2082,,,
2083,,,
2084,,,
2085,,,
2086,,,
2087,,,
2088,,,
2089,,,
2090,,,
2091,,,
2092,,,
2093,,,
2094,,,
2095,,,
2096,,,
2097,,,
2098,,,
2099,,,
2100,,,
