Year,Stage,Demand
2020,mine,82.5
2021,mine,107
2022,mine,146
2023,mine,180
2024,mine,198
2025,mine,217.8
2026,mine,239.58
2027,mine,263.538
2028,mine,289.8918
2029,mine,318.88098
2030,mine,259.5588974
2031,mine,280.0979944
2032,mine,301.9592531
2033,mine,325.1662125
2034,mine,349.7333269
2035,mine,375.664907
2036,mine,402.954181
2037,mine,431.5825216
2038,mine,461.5188861
2039,mine,492.719512
2040,mine,516.2645008
2041,mine,549.2141957
2042,mine,583.203144
2043,mine,618.1415668
2044,mine,653.9303534
2045,mine,690.462616
2046,mine,727.6254793
2047,mine,765.3020467
2048,mine,803.3734723
2049,mine,841.7210637
2050,mine,880.2283403
2051,mine,918.7829751
2052,mine,957.2785553
2053,mine,995.6161099
2054,mine,1033.705366
2055,mine,1071.465711
2056,mine,1108.826854
2057,mine,1145.729187
2058,mine,1182.123875
2059,mine,1217.97269
2060,mine,1271.035411
2061,mine,1300.618453
2062,mine,1329.817827
2063,mine,1358.632172
2064,mine,1387.065741
2065,mine,1415.127748
2066,mine,1442.83171
2067,mine,1470.194809
2068,mine,1497.23728
2069,mine,1523.981838
2070,mine,1550.453153
2071,mine,1576.677373
2072,mine,1602.681704
2073,mine,1628.494039
2074,mine,1654.142638
2075,mine,1679.655857
2076,mine,1705.061925
2077,mine,1730.388756
2078,mine,1755.663803
2079,mine,1780.913944
2080,mine,1806.165393
2081,mine,1831.443642
2082,mine,1856.773422
2083,mine,1882.178676
2084,mine,1907.682561
2085,mine,1933.307446
2086,mine,1959.074933
2087,mine,1985.005882
2088,mine,2011.120434
2089,mine,2037.438058
2090,mine,2063.977578
2091,mine,2090.757224
2092,mine,2117.794668
2093,mine,2145.10707
2094,mine,2172.711123
2095,mine,2200.623096
2096,mine,2228.858877
2097,mine,2257.434015
2098,mine,2286.363759
2099,mine,2315.663102
2100,mine,2345.34682
