Year,Stage,Technology,Cost
2020,mine,brine,1157.6250000000002
2020,mine,spod,1157.6250000000002
2020,mine,clay,1157.6250000000002
2021,mine,brine,1102.5
2021,mine,spod,1102.5
2021,mine,clay,1102.5
2022,mine,brine,1050
2022,mine,spod,1050
2022,mine,clay,1050
2023,mine,brine,1000
2023,mine,spod,1000
2023,mine,clay,1000
2024,mine,brine,952.3809523809523
2024,mine,spod,952.3809523809523
2024,mine,clay,952.3809523809523
2025,mine,brine,907.0294784580499
2025,mine,spod,907.0294784580499
2025,mine,clay,907.0294784580499
2026,mine,brine,863.837598531476
2026,mine,spod,863.837598531476
2026,mine,clay,863.837598531476
2027,mine,brine,822.702474791882
2027,mine,spod,822.702474791882
2027,mine,clay,822.702474791882
2028,mine,brine,783.526166468459
2028,mine,spod,783.526166468459
2028,mine,clay,783.526166468459
2029,mine,brine,746.2153966366277
2029,mine,spod,746.2153966366277
2029,mine,clay,746.2153966366277
2030,mine,brine,710.6813301301214
2030,mine,spod,710.6813301301214
2030,mine,clay,710.6813301301214
2031,mine,brine,676.8393620286872
2031,mine,spod,676.8393620286872
2031,mine,clay,676.8393620286872
2032,mine,brine,644.6089162177973
2032,mine,spod,644.6089162177973
2032,mine,clay,644.6089162177973
2033,mine,brine,613.9132535407593
2033,mine,spod,613.9132535407593
2033,mine,clay,613.9132535407593
2034,mine,brine,584.6792890864374
2034,mine,spod,584.6792890864374
2034,mine,clay,584.6792890864374
2035,mine,brine,556.8374181775595
2035,mine,spod,556.8374181775595
2035,mine,clay,556.8374181775595
2036,mine,brine,530.3213506452947
2036,mine,spod,530.3213506452947
2036,mine,clay,530.3213506452947
2037,mine,brine,505.06795299551885
2037,mine,spod,505.06795299551885
2037,mine,clay,505.06795299551885
2038,mine,brine,481.0170980909702
2038,mine,spod,481.0170980909702
2038,mine,clay,481.0170980909702
2039,mine,brine,458.1115219914002
2039,mine,spod,458.1115219914002
2039,mine,clay,458.1115219914002
2040,mine,brine,436.2966876108573
2040,mine,spod,436.2966876108573
