Year,Stage,Technology,CO2
2020,mine,brine,4.438183180719345
2020,mine,spod,4.438183180719345
2020,mine,clay,4.438183180719345
2021,mine,brine,4.393801348912151
2021,mine,spod,4.393801348912151
2021,mine,clay,4.393801348912151
2022,mine,brine,4.349863335423029
2022,mine,spod,4.349863335423029
2022,mine,clay,4.349863335423029
2023,mine,brine,4.306364702068799
2023,mine,spod,4.306364702068799
2023,mine,clay,4.306364702068799
2024,mine,brine,4.263301055048111
2024,mine,spod,4.263301055048111
2024,mine,clay,4.263301055048111
2025,mine,brine,4.2206680444976294
2025,mine,spod,4.2206680444976294
2025,mine,clay,4.2206680444976294
2026,mine,brine,4.178461364052653
2026,mine,spod,4.178461364052653
2026,mine,clay,4.178461364052653
2027,mine,brine,4.136676750412127
2027,mine,spod,4.136676750412127
2027,mine,clay,4.136676750412127
2028,mine,brine,4.095309982908005
2028,mine,spod,4.095309982908005
2028,mine,clay,4.095309982908005
2029,mine,brine,4.054356883078925
2029,mine,spod,4.054356883078925
2029,mine,clay,4.054356883078925
2030,mine,brine,4.013813314248136
2030,mine,spod,4.013813314248136
2030,mine,clay,4.013813314248136
2031,mine,brine,3.9736751811056545
2031,mine,spod,3.9736751811056545
2031,mine,clay,3.9736751811056545
2032,mine,brine,3.9339384292945976
2032,mine,spod,3.9339384292945976
2032,mine,clay,3.9339384292945976
2033,mine,brine,3.8945990450016517
2033,mine,spod,3.8945990450016517
2033,mine,clay,3.8945990450016517
2034,mine,brine,3.8556530545516354
2034,mine,spod,3.8556530545516354
2034,mine,clay,3.8556530545516354
2035,mine,brine,3.8170965240061188
2035,mine,spod,3.8170965240061188
2035,mine,clay,3.8170965240061188
2036,mine,brine,3.7789255587660575
2036,mine,spod,3.7789255587660575
2036,mine,clay,3.7789255587660575
2037,mine,brine,3.741136303178397
2037,mine,spod,3.741136303178397
2037,mine,clay,3.741136303178397
2038,mine,brine,3.7037249401466132
2038,mine,spod,3.7037249401466132
2038,mine,clay,3.7037249401466132
2039,mine,brine,3.666687690745147
2039,mine,spod,3.666687690745147
2039,mine,clay,3.666687690745147
2040,mine,brine,3.6300208138376955
2040,mine,spod,3.6300208138376955
2040,mine,clay,3.6300208138376955
2041,mine,brine,3.5937206056993185
2041,mine,spod,3.5937206056993185
2041,mine,clay,3.5937206056993185
2042,mine,brine,3.5577833996423247
2042,mine,spod,3.5577833996423247
2042,mine,clay,3.5577833996423247
2043,mine,brine,3.522205565645902
2043,mine,spod,3.522205565645902
2043,mine,clay,3.522205565645902
2044,mine,brine,3.4869835099894426
2044,mine,spod,3.4869835099894426
2044,mine,clay,3.4869835099894426
2045,mine,brine,3.452113674889548
2045,mine,spod,3.452113674889548
2045,mine,clay,3.452113674889548
2046,mine,brine,3.417592538140653
2046,mine,spod,3.417592538140653
2046,mine,clay,3.417592538140653
2047,mine,brine,3.383416612759246
2047,mine,spod,3.383416612759246
2047,mine,clay,3.383416612759246
2048,mine,brine,3.3495824466316533
2048,mine,spod,3.3495824466316533
2048,mine,clay,3.3495824466316533
2049,mine,brine,3.316086622165337
2049,mine,spod,3.316086622165337
2049,mine,clay,3.316086622165337
2050,mine,brine,3.2829257559436837
2050,mine,spod,3.2829257559436837
2050,mine,clay,3.2829257559436837
2051,mine,brine,3.2500964983842464
2051,mine,spod,3.2500964983842464
2051,mine,clay,3.2500964983842464
2052,mine,brine,3.2175955334004036
2052,mine,spod,3.2175955334004036
2052,mine,clay,3.2175955334004036
2053,mine,brine,3.1854195780664
2053,mine,spod,3.1854195780664
2053,mine,clay,3.1854195780664
2054,mine,brine,3.153565382285736
2054,mine,spod,3.153565382285736
2054,mine,clay,3.153565382285736
2055,mine,brine,3.1220297284628784
2055,mine,spod,3.1220297284628784
2055,mine,clay,3.1220297284628784
2056,mine,brine,3.0908094311782497
2056,mine,spod,3.0908094311782497
2056,mine,clay,3.0908094311782497
2057,mine,brine,3.059901336866467
2057,mine,spod,3.059901336866467
2057,mine,clay,3.059901336866467
2058,mine,brine,3.0293023234978027
2058,mine,spod,3.0293023234978027
2058,mine,clay,3.0293023234978027
2059,mine,brine,2.9990093002628244
2059,mine,spod,2.9990093002628244
2059,mine,clay,2.9990093002628244
2060,mine,brine,2.969019207260196
2060,mine,spod,2.969019207260196
2060,mine,clay,2.969019207260196
2061,mine,brine,2.939329015187594
2061,mine,spod,2.939329015187594
2061,mine,clay,2.939329015187594
2062,mine,brine,2.9099357250357185
2062,mine,spod,2.9099357250357185
2062,mine,clay,2.9099357250357185
2063,mine,brine,2.880836367785361
2063,mine,spod,2.880836367785361
2063,mine,clay,2.880836367785361
2064,mine,brine,2.852028004107507
2064,mine,spod,2.852028004107507
2064,mine,clay,2.852028004107507
2065,mine,brine,2.823507724066432
2065,mine,spod,2.823507724066432
2065,mine,clay,2.823507724066432
2066,mine,brine,2.7952726468257674
2066,mine,spod,2.7952726468257674
2066,mine,clay,2.7952726468257674
2067,mine,brine,2.7673199203575103
2067,mine,spod,2.7673199203575103
2067,mine,clay,2.7673199203575103
2068,mine,brine,2.739646721153935
2068,mine,spod,2.739646721153935
2068,mine,clay,2.739646721153935
2069,mine,brine,2.7122502539423956
2069,mine,spod,2.7122502539423956
2069,mine,clay,2.7122502539423956
2070,mine,brine,2.6851277514029714
2070,mine,spod,2.6851277514029714
2070,mine,clay,2.6851277514029714
2071,mine,brine,2.6582764738889417
2071,mine,spod,2.6582764738889417
2071,mine,clay,2.6582764738889417
2072,mine,brine,2.6316937091500523
2072,mine,spod,2.6316937091500523
2072,mine,clay,2.6316937091500523
2073,mine,brine,2.6053767720585514
2073,mine,spod,2.6053767720585514
2073,mine,clay,2.6053767720585514
2074,mine,brine,2.579323004337966
2074,mine,spod,2.579323004337966
2074,mine,clay,2.579323004337966
2075,mine,brine,2.5535297742945864
2075,mine,spod,2.5535297742945864
2075,mine,clay,2.5535297742945864
2076,mine,brine,2.527994476551641
2076,mine,spod,2.527994476551641
2076,mine,clay,2.527994476551641
2077,mine,brine,2.502714531786124
2077,mine,spod,2.502714531786124
2077,mine,clay,2.502714531786124
2078,mine,brine,2.477687386468263
2078,mine,spod,2.477687386468263
2078,mine,clay,2.477687386468263
2079,mine,brine,2.45291051260358
2079,mine,spod,2.45291051260358
2079,mine,clay,2.45291051260358
2080,mine,brine,2.428381407477544
2080,mine,spod,2.428381407477544
2080,mine,clay,2.428381407477544
2081,mine,brine,2.404097593402769
2081,mine,spod,2.404097593402769
2081,mine,clay,2.404097593402769
2082,mine,brine,2.380056617468741
2082,mine,spod,2.380056617468741
2082,mine,clay,2.380056617468741
2083,mine,brine,2.3562560512940536
2083,mine,spod,2.3562560512940536
2083,mine,clay,2.3562560512940536
2084,mine,brine,2.3326934907811125
2084,mine,spod,2.3326934907811125
2084,mine,clay,2.3326934907811125
2085,mine,brine,2.3093665558733023
2085,mine,spod,2.3093665558733023
