Year,Stage,Technology,Cost
2020,mine,brine,27.003936433882497
2020,mine,spod,25.653739612188375
2020,mine,clay,20.252952325411872
2021,mine,brine,24.432132963988927
2021,mine,spod,23.21052631578948
2021,mine,clay,18.324099722991694
2022,mine,brine,22.10526315789474
2022,mine,spod,21.000000000000004
2022,mine,clay,16.578947368421055
2023,mine,brine,20
2023,mine,spod,19
2023,mine,clay,15
2024,mine,brine,18.095238095238095
2024,mine,spod,17.19047619047619
2024,mine,clay,13.571428571428571
2025,mine,brine,17.233560090702948
2025,mine,spod,16.3718820861678
2025,mine,clay,12.92517006802721
2026,mine,brine,16.412914372098044
2026,mine,spod,15.592268653493143
2026,mine,clay,12.309685779073533
2027,mine,brine,15.631347021045757
2027,mine,spod,14.84977966999347
2027,mine,clay,11.723510265784318
2028,mine,brine,14.88699716290072
2028,mine,spod,14.142647304755684
2028,mine,clay,11.16524787217554
2029,mine,brine,14.178092536095926
2029,mine,spod,13.46918790929113
2029,mine,clay,10.633569402071943
2030,mine,brine,13.502945272472308
2030,mine,spod,12.827798008848692
2030,mine,clay,10.12720895435423
2031,mine,brine,12.859947878545057
2031,mine,spod,12.216950484617804
2031,mine,clay,9.644960908908793
2032,mine,brine,12.247569408138148
2032,mine,spod,11.635190937731242
2032,mine,clay,9.18567705610361
2033,mine,brine,11.664351817274428
2033,mine,spod,11.081134226410706
2033,mine,clay,8.74826386295582
2034,mine,brine,11.10890649264231
2034,mine,spod,10.553461168010195
2034,mine,clay,8.331679869481732
2035,mine,brine,10.57991094537363
2035,mine,spod,10.05091539810495
2035,mine,clay,7.934933209030223
2036,mine,brine,10.076105662260598
2036,mine,spod,9.572300379147569
2036,mine,clay,7.557079246695449
2037,mine,brine,9.596291106914858
2037,mine,spod,9.116476551569116
2037,mine,clay,7.197218330186144
2038,mine,brine,9.139324863728433
2038,mine,spod,8.682358620542011
2038,mine,clay,6.854493647796325
2039,mine,brine,8.704118917836604
2039,mine,spod,8.268912971944774
2039,mine,clay,6.528089188377453
2040,mine,brine,8.28963706460629
2040,mine,spod,7.875155211375975
2040,mine,clay,6.217227798454717
2041,mine,brine,7.894892442482179
2041,mine,spod,7.500147820358071
2041,mine,clay,5.921169331861635
2042,mine,brine,7.518945183316362
2042,mine,spod,7.142997924150544
2042,mine,clay,5.639208887487271
2043,mine,brine,7.160900174587011
2043,mine,spod,6.802855165857661
2043,mine,clay,5.370675130940259
2044,mine,brine,6.819904928178106
2044,mine,spod,6.478909681769201
2044,mine,clay,5.11492869613358
2045,mine,brine,6.495147550645816
2045,mine,spod,6.1703901731135256
2045,mine,clay,4.871360662984362
2046,mine,brine,6.185854810138871
2046,mine,spod,5.876562069631928
2046,mine,clay,4.639391107604153
2047,mine,brine,5.891290295370354
2047,mine,spod,5.596725780601837
2047,mine,clay,4.418467721527765
2048,mine,brine,5.61075266225748
2048,mine,spod,5.330215029144606
2048,mine,clay,4.20806449669311
2049,mine,brine,5.343573964054743
2049,mine,spod,5.076395265852006
2049,mine,clay,4.007680473041057
2050,mine,brine,5.089118061004516
2050,mine,spod,4.83466215795429
2050,mine,clay,3.816838545753387
2051,mine,brine,4.846779105718587
2051,mine,spod,4.604440150432659
2051,mine,clay,3.6350843292889405
2052,mine,brine,4.615980100684368
2052,mine,spod,4.38518109565015
2052,mine,clay,3.4619850755132764
2053,mine,brine,4.396171524461304
2053,mine,spod,4.17636294823824
2053,mine,clay,3.2971286433459785
2054,mine,brine,4.186830023296479
2054,mine,spod,3.9774885221316554
2054,mine,clay,3.1401225174723595
2055,mine,brine,3.987457165044266
2055,mine,spod,3.788084306792053
2055,mine,clay,2.9905928737831995
2056,mine,brine,3.7975782524231105
2056,mine,spod,3.6076993398019552
2056,mine,clay,2.8481836893173327
2057,mine,brine,3.616741192783915
2057,mine,spod,3.435904133144719
2057,mine,clay,2.7125558945879362
2058,mine,brine,3.444515421698966
2058,mine,spod,3.272289650614018
2058,mine,clay,2.5833865662742244
2059,mine,brine,3.2804908778085395
2059,mine,spod,3.1164663339181127
2059,mine,clay,2.4603681583564048
2060,mine,brine,3.124277026484323
2060,mine,spod,2.968063175160107
2060,mine,clay,2.343207769863242
2061,mine,brine,2.9755019299850702
2061,mine,spod,2.8267268334858167
2061,mine,clay,2.2316264474888023
2062,mine,brine,2.8338113618905423
2062,mine,spod,2.692120793796015
2062,mine,clay,2.125358521417907
2063,mine,brine,2.6988679637052786
2063,mine,spod,2.563924565520015
2063,mine,clay,2.0241509727789593
2064,mine,brine,2.570350441624075
2064,mine,spod,2.4418329195428714
2064,mine,clay,1.9277628312180561
2065,mine,brine,2.4479528015467378
2065,mine,spod,2.325555161469401
2065,mine,clay,1.8359646011600534
2066,mine,brine,2.3313836205207026
2066,mine,spod,2.2148144394946674
2066,mine,clay,1.7485377153905268
2067,mine,brine,2.22036535287686
2067,mine,spod,2.1093470852330167
2067,mine,clay,1.6652740146576448
2068,mine,brine,2.114633669406533
2068,mine,spod,2.0089019859362063
2068,mine,clay,1.5859752520548995
2069,mine,brine,2.013936828006222
2069,mine,spod,1.913239986605911
2069,mine,clay,1.5104526210046665
2070,mine,brine,1.9180350742916397
2070,mine,spod,1.8221333205770576
2070,mine,clay,1.4385263057187296
2071,mine,brine,1.8267000707539425
2071,mine,spod,1.7353650672162455
2071,mine,clay,1.370025053065457
2072,mine,brine,1.7397143530989927
2072,mine,spod,1.6527286354440431
2072,mine,clay,1.3047857648242447
2073,mine,brine,1.6568708124752312
2073,mine,spod,1.5740272718514696
2073,mine,clay,1.2426531093564235
2074,mine,brine,1.577972202357363
2074,mine,spod,1.4990735922394949
2074,mine,clay,1.1834791517680223
2075,mine,brine,1.5028306689117743
2075,mine,spod,1.4276891354661856
2075,mine,clay,1.1271230016838307
2076,mine,brine,1.4312673037254995
2076,mine,spod,1.3597039385392247
2076,mine,clay,1.0734504777941247
2077,mine,brine,1.3631117178338092
2077,mine,spod,1.2949561319421188
2077,mine,clay,1.022333788375357
2078,mine,brine,1.2982016360321988
2078,mine,spod,1.233291554230589
2078,mine,clay,0.9736512270241492
2079,mine,brine,1.2363825105068562
2079,mine,spod,1.1745633849815136
2079,mine,clay,0.9272868828801423
2080,mine,brine,1.1775071528636725
2080,mine,spod,1.118631795220489
2080,mine,clay,0.8831303646477544
2081,mine,brine,1.121435383679688
2081,mine,spod,1.0653636144957037
2081,mine,clay,0.841076537759766
2082,mine,brine,1.06803369874256
2082,mine,spod,1.014632013805432
2082,mine,clay,0.80102527405692
2083,mine,brine,1.0171749511833907
2083,mine,spod,0.9663162036242211
2083,mine,clay,0.762881213387543
2084,mine,brine,0.968738048746086
2084,mine,spod,0.9203011463087818
2084,mine,clay,0.7265535365595646
2085,mine,brine,0.9226076654724633
2085,mine,spod,0.8764772821988402
2085,mine,clay,0.6919557491043475
2086,mine,brine,0.8786739671166314
2086,mine,spod,0.8347402687607999
2086,mine,clay,0.6590054753374736
2087,mine,brine,0.8368323496348871
2087,mine,spod,0.7949907321531428
2087,mine,clay,0.6276242622261653
2088,mine,brine,0.7969831901284637
2088,mine,spod,0.7571340306220407
2088,mine,clay,0.5977373925963478
2089,mine,brine,0.759031609646156
2089,mine,spod,0.7210800291638483
2089,mine,clay,0.569273707234617
2090,mine,brine,0.7228872472820533
2090,mine,spod,0.6867428849179507
2090,mine,clay,0.54216543546154
2091,mine,brine,0.688464045030527
2091,mine,spod,0.6540408427790007
2091,mine,clay,0.5163480337728953
2092,mine,brine,0.6556800428862162
2092,mine,spod,0.6228960407419054
2092,mine,clay,0.49176003216466213
2093,mine,brine,0.6244571837011583
2093,mine,spod,0.5932343245161005
2093,mine,clay,0.46834288777586874
2094,mine,brine,0.5947211273344364
2094,mine,spod,0.5649850709677147
2094,mine,clay,0.4460408455008273
2095,mine,brine,0.5664010736518442
2095,mine,spod,0.5380810199692521
2095,mine,clay,0.42480080523888314
2096,mine,brine,0.5394295939541374
2096,mine,spod,0.5124581142564305
2096,mine,clay,0.404572195465603
2097,mine,brine,0.5137424704325118
2097,mine,spod,0.48805534691088626
2097,mine,clay,0.38530685282438387
2098,mine,brine,0.4892785432690588
2098,mine,spod,0.46481461610560587
2098,mine,clay,0.3669589074517941
2099,mine,brine,0.4659795650181513
