Year,Stage,Technology,Cost
2020,mine,brine,0.011
2021,mine,brine,0.01047619
2022,mine,brine,0.009977324
2023,mine,brine,0.009502214
2024,mine,brine,0.009049727
2025,mine,brine,0.008618788
2026,mine,brine,0.008208369
2027,mine,brine,0.007817495
2028,mine,brine,0.007445233
2029,mine,brine,0.007090698
2030,mine,brine,0.006753046
2031,mine,brine,0.006431472
2032,mine,brine,0.006125212
2033,mine,brine,0.005833535
2034,mine,brine,0.005555747
2035,mine,brine,0.005291188
2036,mine,brine,0.005039227
2037,mine,brine,0.004799264
2038,mine,brine,0.004570727
2039,mine,brine,0.004353074
2040,mine,brine,0.004145784
2041,mine,brine,0.003948366
2042,mine,brine,0.003760349
2043,mine,brine,0.003581284
2044,mine,brine,0.003410747
2045,mine,brine,0.00324833
2046,mine,brine,0.003093648
2047,mine,brine,0.002946332
2048,mine,brine,0.00280603
2049,mine,brine,0.00267241
2050,mine,brine,0.002545152
2051,mine,brine,0.002423954
2052,mine,brine,0.002308528
2053,mine,brine,0.002198598
2054,mine,brine,0.002093903
2055,mine,brine,0.001994193
2056,mine,brine,0.001899232
2057,mine,brine,0.001808792
2058,mine,brine,0.001722659
2059,mine,brine,0.001640628
2060,mine,brine,0.001562503
2061,mine,brine,0.001488098
2062,mine,brine,0.001417236
2063,mine,brine,0.001349748
2064,mine,brine,0.001285475
2065,mine,brine,0.001224262
2066,mine,brine,0.001165963
2067,mine,brine,0.001110441
2068,mine,brine,0.001057563
2069,mine,brine,0.001007203
2070,mine,brine,0.000959241
2071,mine,brine,0.000913563
2072,mine,brine,0.00087006
2073,mine,brine,0.000828628
2074,mine,brine,0.00078917
2075,mine,brine,0.00075159
2076,mine,brine,0.0007158
2077,mine,brine,0.000681715
2078,mine,brine,0.000649252
2079,mine,brine,0.000618335
2080,mine,brine,0.000588891
2081,mine,brine,0.000560848
2082,mine,brine,0.000534141
2083,mine,brine,0.000508706
2084,mine,brine,0.000484482
2085,mine,brine,0.000461411
2086,mine,brine,0.000439439
2087,mine,brine,0.000418514
2088,mine,brine,0.000398584
2089,mine,brine,0.000379604
2090,mine,brine,0.000361528
2091,mine,brine,0.000344312
2092,mine,brine,0.000327916
2093,mine,brine,0.000312301
2094,mine,brine,0.00029743
2095,mine,brine,0.000283267
2096,mine,brine,0.000269778
2097,mine,brine,0.000256931
2098,mine,brine,0.000244696
2099,mine,brine,0.000233044
2100,mine,brine,0.000221947
2020,mine,spod,0.054
2021,mine,spod,0.051428571
2022,mine,spod,0.048979592
2023,mine,spod,0.04664723
2024,mine,spod,0.044425934
2025,mine,spod,0.042310413
2026,mine,spod,0.040295631
2027,mine,spod,0.038376792
2028,mine,spod,0.036549326
2029,mine,spod,0.034808881
2030,mine,spod,0.033151316
2031,mine,spod,0.031572682
2032,mine,spod,0.030069221
2033,mine,spod,0.028637353
2034,mine,spod,0.027273669
2035,mine,spod,0.025974923
2036,mine,spod,0.024738022
2037,mine,spod,0.023560021
2038,mine,spod,0.022438115
2039,mine,spod,0.021369634
2040,mine,spod,0.020352032
2041,mine,spod,0.019382888
2042,mine,spod,0.018459893
2043,mine,spod,0.017580851
2044,mine,spod,0.016743667
2045,mine,spod,0.01594635
2046,mine,spod,0.015187
2047,mine,spod,0.014463809
2048,mine,spod,0.013775056
2049,mine,spod,0.013119101
2050,mine,spod,0.012494382
2051,mine,spod,0.011899412
2052,mine,spod,0.011332773
2053,mine,spod,0.010793117
2054,mine,spod,0.010279159
2055,mine,spod,0.009789675
2056,mine,spod,0.0093235
2057,mine,spod,0.008879524
2058,mine,spod,0.00845669
2059,mine,spod,0.00805399
2060,mine,spod,0.007670467
2061,mine,spod,0.007305207
2062,mine,spod,0.00695734
2063,mine,spod,0.006626038
2064,mine,spod,0.006310512
2065,mine,spod,0.006010011
2066,mine,spod,0.00572382
2067,mine,spod,0.005451258
2068,mine,spod,0.005191674
2069,mine,spod,0.004944451
2070,mine,spod,0.004709001
2071,mine,spod,0.004484763
2072,mine,spod,0.004271203
2073,mine,spod,0.004067812
2074,mine,spod,0.003874107
2075,mine,spod,0.003689626
2076,mine,spod,0.003513929
2077,mine,spod,0.003346599
2078,mine,spod,0.003187237
2079,mine,spod,0.003035464
2080,mine,spod,0.002890918
2081,mine,spod,0.002753256
2082,mine,spod,0.002622148
2083,mine,spod,0.002497284
2084,mine,spod,0.002378366
2085,mine,spod,0.00226511
2086,mine,spod,0.002157248
2087,mine,spod,0.002054522
2088,mine,spod,0.001956687
2089,mine,spod,0.001863512
2090,mine,spod,0.001774773
2091,mine,spod,0.00169026
2092,mine,spod,0.001609771
2093,mine,spod,0.001533116
2094,mine,spod,0.00146011
2095,mine,spod,0.001390581
2096,mine,spod,0.001324363
2097,mine,spod,0.001261298
2098,mine,spod,0.001201236
2099,mine,spod,0.001144035
2100,mine,spod,0.001089557
2020,mine,clay,0.176
2021,mine,clay,0.167619048
2022,mine,clay,0.159637188
2023,mine,clay,0.152035417
2024,mine,clay,0.144795636
2025,mine,clay,0.137900605
2026,mine,clay,0.13133391
2027,mine,clay,0.125079914
2028,mine,clay,0.119123728
2029,mine,clay,0.113451169
2030,mine,clay,0.108048733
2031,mine,clay,0.102903555
2032,mine,clay,0.098003386
2033,mine,clay,0.093336558
2034,mine,clay,0.08889196
2035,mine,clay,0.084659009
2036,mine,clay,0.080627628
2037,mine,clay,0.076788217
2038,mine,clay,0.073131635
2039,mine,clay,0.069649176
2040,mine,clay,0.066332549
2041,mine,clay,0.063173856
2042,mine,clay,0.060165577
2043,mine,clay,0.05730055
2044,mine,clay,0.054571952
2045,mine,clay,0.051973288
2046,mine,clay,0.049498369
2047,mine,clay,0.047141304
2048,mine,clay,0.04489648
2049,mine,clay,0.042758553
2050,mine,clay,0.040722431
2051,mine,clay,0.038783268
2052,mine,clay,0.036936445
2053,mine,clay,0.035177567
2054,mine,clay,0.033502445
2055,mine,clay,0.03190709
2056,mine,clay,0.030387705
2057,mine,clay,0.028940671
2058,mine,clay,0.027562544
2059,mine,clay,0.026250042
2060,mine,clay,0.02500004
2061,mine,clay,0.023809562
2062,mine,clay,0.022675773
2063,mine,clay,0.021595975
2064,mine,clay,0.020567595
2065,mine,clay,0.019588186
2066,mine,clay,0.018655415
2067,mine,clay,0.017767062
2068,mine,clay,0.016921011
2069,mine,clay,0.016115249
2070,mine,clay,0.015347856
2071,mine,clay,0.014617006
2072,mine,clay,0.013920958
2073,mine,clay,0.013258055
2074,mine,clay,0.012626719
2075,mine,clay,0.012025447
2076,mine,clay,0.011452806
2077,mine,clay,0.010907435
2078,mine,clay,0.010388033
2079,mine,clay,0.009893365
2080,mine,clay,0.009422252
2081,mine,clay,0.008973574
2082,mine,clay,0.00854626
2083,mine,clay,0.008139296
2084,mine,clay,0.00775171
2085,mine,clay,0.007382581
2086,mine,clay,0.00703103
2087,mine,clay,0.006696219
2088,mine,clay,0.006377351
2089,mine,clay,0.006073668
2090,mine,clay,0.005784445
2091,mine,clay,0.005508996
2092,mine,clay,0.005246663
2093,mine,clay,0.004996822
2094,mine,clay,0.004758878
2095,mine,clay,0.004532264
2096,mine,clay,0.004316442
2097,mine,clay,0.004110897
2098,mine,clay,0.00391514
2099,mine,clay,0.003728705
2100,mine,clay,0.003551148
