Year,Stage,Technology,CO2
2020,mine,brine,0.10306101521283648
2020,mine,spod,0.10306101521283648
2020,mine,clay,0.10306101521283648
2021,mine,brine,0.1020304050607081
2021,mine,spod,0.1020304050607081
2021,mine,clay,0.1020304050607081
2022,mine,brine,0.10101010101010102
2022,mine,spod,0.10101010101010102
2022,mine,clay,0.10101010101010102
2023,mine,brine,0.1
2023,mine,spod,0.1
2023,mine,clay,0.1
2024,mine,brine,0.099
2024,mine,spod,0.099
2024,mine,clay,0.099
2025,mine,brine,0.09801
2025,mine,spod,0.09801
2025,mine,clay,0.09801
2026,mine,brine,0.0970299
2026,mine,spod,0.0970299
2026,mine,clay,0.0970299
2027,mine,brine,0.096059601
2027,mine,spod,0.096059601
2027,mine,clay,0.096059601
2028,mine,brine,0.09509900499
2028,mine,spod,0.09509900499
2028,mine,clay,0.09509900499
2029,mine,brine,0.0941480149401
2029,mine,spod,0.0941480149401
2029,mine,clay,0.0941480149401
2030,mine,brine,0.093206534790699
2030,mine,spod,0.093206534790699
2030,mine,clay,0.093206534790699
2031,mine,brine,0.092274469442792
2031,mine,spod,0.092274469442792
2031,mine,clay,0.092274469442792
2032,mine,brine,0.09135172474836407
2032,mine,spod,0.09135172474836407
2032,mine,clay,0.09135172474836407
2033,mine,brine,0.09043820750088044
2033,mine,spod,0.09043820750088044
2033,mine,clay,0.09043820750088044
2034,mine,brine,0.08953382542587163
2034,mine,spod,0.08953382542587163
2034,mine,clay,0.08953382542587163
2035,mine,brine,0.08863848717161292
2035,mine,spod,0.08863848717161292
2035,mine,clay,0.08863848717161292
2036,mine,brine,0.08775210229989677
2036,mine,spod,0.08775210229989677
2036,mine,clay,0.08775210229989677
2037,mine,brine,0.08687458127689782
2037,mine,spod,0.08687458127689782
2037,mine,clay,0.08687458127689782
2038,mine,brine,0.08600583546412884
2038,mine,spod,0.08600583546412884
2038,mine,clay,0.08600583546412884
2039,mine,brine,0.08514577710948755
2039,mine,spod,0.08514577710948755
2039,mine,clay,0.08514577710948755
2040,mine,brine,0.08429431933839267
2040,mine,spod,0.08429431933839267
2040,mine,clay,0.08429431933839267
2041,mine,brine,0.08345137614500875
2041,mine,spod,0.08345137614500875
2041,mine,clay,0.08345137614500875
2042,mine,brine,0.08261686238355864
2042,mine,spod,0.08261686238355864
2042,mine,clay,0.08261686238355864
2043,mine,brine,0.08179069375972307
2043,mine,spod,0.08179069375972307
2043,mine,clay,0.08179069375972307
2044,mine,brine,0.08097278682212583
2044,mine,spod,0.08097278682212583
2044,mine,clay,0.08097278682212583
2045,mine,brine,0.08016305895390458
2045,mine,spod,0.08016305895390458
2045,mine,clay,0.08016305895390458
2046,mine,brine,0.07936142836436554
2046,mine,spod,0.07936142836436554
2046,mine,clay,0.07936142836436554
2047,mine,brine,0.07856781408072187
2047,mine,spod,0.07856781408072187
2047,mine,clay,0.07856781408072187
2048,mine,brine,0.07778213593991465
2048,mine,spod,0.07778213593991465
2048,mine,clay,0.07778213593991465
2049,mine,brine,0.0770043145805155
2049,mine,spod,0.0770043145805155
2049,mine,clay,0.0770043145805155
2050,mine,brine,0.07623427143471034
2050,mine,spod,0.07623427143471034
2050,mine,clay,0.07623427143471034
2051,mine,brine,0.07547192872036323
2051,mine,spod,0.07547192872036323
2051,mine,clay,0.07547192872036323
2052,mine,brine,0.0747172094331596
2052,mine,spod,0.0747172094331596
2052,mine,clay,0.0747172094331596
2053,mine,brine,0.07397003733882801
2053,mine,spod,0.07397003733882801
2053,mine,clay,0.07397003733882801
2054,mine,brine,0.07323033696543972
2054,mine,spod,0.07323033696543972
2054,mine,clay,0.07323033696543972
2055,mine,brine,0.07249803359578533
2055,mine,spod,0.07249803359578533
2055,mine,clay,0.07249803359578533
2056,mine,brine,0.07177305325982747
2056,mine,spod,0.07177305325982747
2056,mine,clay,0.07177305325982747
2057,mine,brine,0.0710553227272292
2057,mine,spod,0.0710553227272292
2057,mine,clay,0.0710553227272292
2058,mine,brine,0.07034476949995691
2058,mine,spod,0.07034476949995691
2058,mine,clay,0.07034476949995691
2059,mine,brine,0.06964132180495734
2059,mine,spod,0.06964132180495734
2059,mine,clay,0.06964132180495734
2060,mine,brine,0.06894490858690776
2060,mine,spod,0.06894490858690776
2060,mine,clay,0.06894490858690776
2061,mine,brine,0.06825545950103869
2061,mine,spod,0.06825545950103869
2061,mine,clay,0.06825545950103869
2062,mine,brine,0.0675729049060283
2062,mine,spod,0.0675729049060283
2062,mine,clay,0.0675729049060283
2063,mine,brine,0.06689717585696801
2063,mine,spod,0.06689717585696801
2063,mine,clay,0.06689717585696801
2064,mine,brine,0.06622820409839833
2064,mine,spod,0.06622820409839833
2064,mine,clay,0.06622820409839833
2065,mine,brine,0.06556592205741434
2065,mine,spod,0.06556592205741434
2065,mine,clay,0.06556592205741434
2066,mine,brine,0.06491026283684019
2066,mine,spod,0.06491026283684019
2066,mine,clay,0.06491026283684019
2067,mine,brine,0.06426116020847181
2067,mine,spod,0.06426116020847181
2067,mine,clay,0.06426116020847181
2068,mine,brine,0.06361854860638708
2068,mine,spod,0.06361854860638708
2068,mine,clay,0.06361854860638708
2069,mine,brine,0.06298236312032321
2069,mine,spod,0.06298236312032321
2069,mine,clay,0.06298236312032321
2070,mine,brine,0.06235253948911998
2070,mine,spod,0.06235253948911998
2070,mine,clay,0.06235253948911998
2071,mine,brine,0.061729014094228776
2071,mine,spod,0.061729014094228776
2071,mine,clay,0.061729014094228776
2072,mine,brine,0.061111723953286484
2072,mine,spod,0.061111723953286484
2072,mine,clay,0.061111723953286484
2073,mine,brine,0.06050060671375362
2073,mine,spod,0.06050060671375362
2073,mine,clay,0.06050060671375362
2074,mine,brine,0.05989560064661608
2074,mine,spod,0.05989560064661608
2074,mine,clay,0.05989560064661608
2075,mine,brine,0.05929664464014992
2075,mine,spod,0.05929664464014992
2075,mine,clay,0.05929664464014992
2076,mine,brine,0.05870367819374842
2076,mine,spod,0.05870367819374842
2076,mine,clay,0.05870367819374842
2077,mine,brine,0.058116641411810936
2077,mine,spod,0.058116641411810936
2077,mine,clay,0.058116641411810936
2078,mine,brine,0.05753547499769283
2078,mine,spod,0.05753547499769283
2078,mine,clay,0.05753547499769283
2079,mine,brine,0.0569601202477159
2079,mine,spod,0.0569601202477159
2079,mine,clay,0.0569601202477159
2080,mine,brine,0.05639051904523873
2080,mine,spod,0.05639051904523873
2080,mine,clay,0.05639051904523873
2081,mine,brine,0.05582661385478635
2081,mine,spod,0.05582661385478635
2081,mine,clay,0.05582661385478635
2082,mine,brine,0.05526834771623849
2082,mine,spod,0.05526834771623849
2082,mine,clay,0.05526834771623849
2083,mine,brine,0.05471566423907609
2083,mine,spod,0.05471566423907609
2083,mine,clay,0.05471566423907609
2084,mine,brine,0.054168507596685324
2084,mine,spod,0.054168507596685324
2084,mine,clay,0.054168507596685324
2085,mine,brine,0.05362682252071849
2085,mine,spod,0.05362682252071849
2085,mine,clay,0.05362682252071849
2086,mine,brine,0.053090554295511294
2086,mine,spod,0.053090554295511294
2086,mine,clay,0.053090554295511294
2087,mine,brine,0.05255964875255618
2087,mine,spod,0.05255964875255618
2087,mine,clay,0.05255964875255618
2088,mine,brine,0.05203405226503062
2088,mine,spod,0.05203405226503062
2088,mine,clay,0.05203405226503062
2089,mine,brine,0.051513711742380314
2089,mine,spod,0.051513711742380314
2089,mine,clay,0.051513711742380314
2090,mine,brine,0.05099857462495651
2090,mine,spod,0.05099857462495651
2090,mine,clay,0.05099857462495651
2091,mine,brine,0.05048858887870694
2091,mine,spod,0.05048858887870694
2091,mine,clay,0.05048858887870694
2092,mine,brine,0.049983702989919866
2092,mine,spod,0.049983702989919866
2092,mine,clay,0.049983702989919866
2093,mine,brine,0.04948386596002067
2093,mine,spod,0.04948386596002067
2093,mine,clay,0.04948386596002067
2094,mine,brine,0.048989027300420464
2094,mine,spod,0.048989027300420464
2094,mine,clay,0.048989027300420464
2095,mine,brine,0.048499137027416254
2095,mine,spod,0.048499137027416254
2095,mine,clay,0.048499137027416254
2096,mine,brine,0.04801414565714209
