Year,Stage,Technology,Cost
2020,mine,brine,173.64375
2020,mine,spod,173.64375
2020,mine,clay,173.64375
2021,mine,brine,165.375
2021,mine,spod,165.375
2021,mine,clay,165.375
2022,mine,brine,157.5
2022,mine,spod,157.5
2022,mine,clay,157.5
2023,mine,brine,150
2023,mine,spod,150
2023,mine,clay,150
2024,mine,brine,142.85714285714286
2024,mine,spod,142.85714285714286
2024,mine,clay,142.85714285714286
2025,mine,brine,136.05442176870747
2025,mine,spod,136.05442176870747
2025,mine,clay,136.05442176870747
2026,mine,brine,129.5756397797214
2026,mine,spod,129.5756397797214
2026,mine,clay,129.5756397797214
2027,mine,brine,123.40537121878229
2027,mine,spod,123.40537121878229
2027,mine,clay,123.40537121878229
2028,mine,brine,117.52892497026885
2028,mine,spod,117.52892497026885
2028,mine,clay,117.52892497026885
2029,mine,brine,111.93230949549415
2029,mine,spod,111.93230949549415
2029,mine,clay,111.93230949549415
2030,mine,brine,106.60219951951822
2030,mine,spod,106.60219951951822
2030,mine,clay,106.60219951951822
2031,mine,brine,101.52590430430308
2031,mine,spod,101.52590430430308
2031,mine,clay,101.52590430430308
2032,mine,brine,96.6913374326696
2032,mine,spod,96.6913374326696
2032,mine,clay,96.6913374326696
2033,mine,brine,92.08698803111389
2033,mine,spod,92.08698803111389
2033,mine,clay,92.08698803111389
2034,mine,brine,87.7018933629656
2034,mine,spod,87.7018933629656
2034,mine,clay,87.7018933629656
2035,mine,brine,83.52561272663392
2035,mine,spod,83.52561272663392
2035,mine,clay,83.52561272663392
2036,mine,brine,79.5482025967942
2036,mine,spod,79.5482025967942
2036,mine,clay,79.5482025967942
2037,mine,brine,75.76019294932783
2037,mine,spod,75.76019294932783
2037,mine,clay,75.76019294932783
2038,mine,brine,72.15256471364553
2038,mine,spod,72.15256471364553
2038,mine,clay,72.15256471364553
2039,mine,brine,68.71672829871004
2039,mine,spod,68.71672829871004
2039,mine,clay,68.71672829871004
2040,mine,brine,65.44450314162859
2040,mine,spod,65.44450314162859
2040,mine,clay,65.44450314162859
2041,mine,brine,62.32809823012247
2041,mine,spod,62.32809823012247
2041,mine,clay,62.32809823012247
2042,mine,brine,59.360093552497595
2042,mine,spod,59.360093552497595
2042,mine,clay,59.360093552497595
2043,mine,brine,56.53342243095009
2043,mine,spod,56.53342243095009
2043,mine,clay,56.53342243095009
2044,mine,brine,53.84135469614294
2044,mine,spod,53.84135469614294
2044,mine,clay,53.84135469614294
2045,mine,brine,51.277480662993284
2045,mine,spod,51.277480662993284
2045,mine,clay,51.277480662993284
2046,mine,brine,48.8356958695174
2046,mine,spod,48.8356958695174
2046,mine,clay,48.8356958695174
2047,mine,brine,46.510186542397534
2047,mine,spod,46.510186542397534
2047,mine,clay,46.510186542397534
2048,mine,brine,44.29541575466431
2048,mine,spod,44.29541575466431
2048,mine,clay,44.29541575466431
2049,mine,brine,42.18611024253744
2049,mine,spod,42.18611024253744
2049,mine,clay,42.18611024253744
2050,mine,brine,40.177247850035656
2050,mine,spod,40.177247850035656
2050,mine,clay,40.177247850035656
2051,mine,brine,38.26404557146253
2051,mine,spod,38.26404557146253
2051,mine,clay,38.26404557146253
2052,mine,brine,36.441948163297646
2052,mine,spod,36.441948163297646
2052,mine,clay,36.441948163297646
2053,mine,brine,34.706617298378724
2053,mine,spod,34.706617298378724
2053,mine,clay,34.706617298378724
2054,mine,brine,33.05392123655115
2054,mine,spod,33.05392123655115
2054,mine,clay,33.05392123655115
2055,mine,brine,31.479924987191573
2055,mine,spod,31.479924987191573
2055,mine,clay,31.479924987191573
2056,mine,brine,29.980880940182452
2056,mine,spod,29.980880940182452
2056,mine,clay,29.980880940182452
2057,mine,brine,28.553219943030907
2057,mine,spod,28.553219943030907
2057,mine,clay,28.553219943030907
2058,mine,brine,27.193542802886572
2058,mine,spod,27.193542802886572
2058,mine,clay,27.193542802886572
2059,mine,brine,25.89861219322531
2059,mine,spod,25.89861219322531
2059,mine,clay,25.89861219322531
2060,mine,brine,24.665344945928865
2060,mine,spod,24.665344945928865
2060,mine,clay,24.665344945928865
2061,mine,brine,23.490804710408447
2061,mine,spod,23.490804710408447
2061,mine,clay,23.490804710408447
2062,mine,brine,22.372194962293754
2062,mine,spod,22.372194962293754
2062,mine,clay,22.372194962293754
2063,mine,brine,21.306852345041676
2063,mine,spod,21.306852345041676
2063,mine,clay,21.306852345041676
2064,mine,brine,20.29224032861112
2064,mine,spod,20.29224032861112
2064,mine,clay,20.29224032861112
2065,mine,brine,19.325943170105827
2065,mine,spod,19.325943170105827
2065,mine,clay,19.325943170105827
2066,mine,brine,18.405660162005546
2066,mine,spod,18.405660162005546
2066,mine,clay,18.405660162005546
2067,mine,brine,17.529200154290997
2067,mine,spod,17.529200154290997
2067,mine,clay,17.529200154290997
2068,mine,brine,16.694476337419996
2068,mine,spod,16.694476337419996
2068,mine,clay,16.694476337419996
2069,mine,brine,15.899501273733332
2069,mine,spod,15.899501273733332
2069,mine,clay,15.899501273733332
2070,mine,brine,15.142382165460312
2070,mine,spod,15.142382165460312
2070,mine,clay,15.142382165460312
2071,mine,brine,14.421316348057442
2071,mine,spod,14.421316348057442
2071,mine,clay,14.421316348057442
2072,mine,brine,13.734586998149943
2072,mine,spod,13.734586998149943
2072,mine,clay,13.734586998149943
2073,mine,brine,13.080559045857088
2073,mine,spod,13.080559045857088
2073,mine,clay,13.080559045857088
2074,mine,brine,12.457675281768656
2074,mine,spod,12.457675281768656
2074,mine,clay,12.457675281768656
2075,mine,brine,11.864452649303482
2075,mine,spod,11.864452649303482
2075,mine,clay,11.864452649303482
2076,mine,brine,11.299478713622365
2076,mine,spod,11.299478713622365
2076,mine,clay,11.299478713622365
2077,mine,brine,10.761408298687966
2077,mine,spod,10.761408298687966
2077,mine,clay,10.761408298687966
2078,mine,brine,10.248960284464728
2078,mine,spod,10.248960284464728
2078,mine,clay,10.248960284464728
2079,mine,brine,9.760914556633075
2079,mine,spod,9.760914556633075
2079,mine,clay,9.760914556633075
2080,mine,brine,9.29610910155531
2080,mine,spod,9.29610910155531
2080,mine,clay,9.29610910155531
2081,mine,brine,8.853437239576484
2081,mine,spod,8.853437239576484
2081,mine,clay,8.853437239576484
2082,mine,brine,8.431844990072841
2082,mine,spod,8.431844990072841
2082,mine,clay,8.431844990072841
2083,mine,brine,8.030328561974137
2083,mine,spod,8.030328561974137
2083,mine,clay,8.030328561974137
2084,mine,brine,7.64793196378489
2084,mine,spod,7.64793196378489
2084,mine,clay,7.64793196378489
2085,mine,brine,7.283744727414184
2085,mine,spod,7.283744727414184
2085,mine,clay,7.283744727414184
2086,mine,brine,6.936899740394458
2086,mine,spod,6.936899740394458
2086,mine,clay,6.936899740394458
2087,mine,brine,6.606571181328055
2087,mine,spod,6.606571181328055
2087,mine,clay,6.606571181328055
2088,mine,brine,6.291972553645767
2088,mine,spod,6.291972553645767
2088,mine,clay,6.291972553645767
2089,mine,brine,5.992354812995969
2089,mine,spod,5.992354812995969
2089,mine,clay,5.992354812995969
2090,mine,brine,5.707004583805684
2090,mine,spod,5.707004583805684
2090,mine,clay,5.707004583805684
2091,mine,brine,5.435242460767319
2091,mine,spod,5.435242460767319
2091,mine,clay,5.435242460767319
2092,mine,brine,5.17642139120697
2092,mine,spod,5.17642139120697
2092,mine,clay,5.17642139120697
2093,mine,brine,4.929925134482829
2093,mine,spod,4.929925134482829
2093,mine,clay,4.929925134482829
2094,mine,brine,4.695166794745551
2094,mine,spod,4.695166794745551
2094,mine,clay,4.695166794745551
2095,mine,brine,4.4715874235671915
2095,mine,spod,4.4715874235671915
2095,mine,clay,4.4715874235671915
2096,mine,brine,4.258654689111611
2096,mine,spod,4.258654689111611
2096,mine,clay,4.258654689111611
2097,mine,brine,4.055861608677724
2097,mine,spod,4.055861608677724
2097,mine,clay,4.055861608677724
2098,mine,brine,3.862725341597833
2098,mine,spod,3.862725341597833
2098,mine,clay,3.862725341597833
2099,mine,brine,3.678786039616984
2099,mine,spod,3.678786039616984
2099,mine,clay,3.678786039616984
2100,mine,brine,3.5036057520161745
2100,mine,spod,3.5036057520161745
2100,mine,clay,3.5036057520161745
