Year,Stage,Technology,Demand
2020,pack,bev_nmc,1.59005
2021,pack,bev_nmc,3.5525
2022,pack,bev_nmc,5.6175
2023,pack,bev_nmc,6.941864879
2024,pack,bev_nmc,8.515849736
2025,pack,bev_nmc,9.772284701
2026,pack,bev_nmc,10.80910782
2027,pack,bev_nmc,11.94295159
2028,pack,bev_nmc,13.18042614
2029,pack,bev_nmc,14.52814357
2030,pack,bev_nmc,15.52898205
2031,pack,bev_nmc,16.90318889
2032,pack,bev_nmc,18.37191286
2033,pack,bev_nmc,19.93726381
2034,pack,bev_nmc,21.60070287
2035,pack,bev_nmc,23.36295349
2036,pack,bev_nmc,25.22392026
2037,pack,bev_nmc,27.18261927
2038,pack,bev_nmc,29.23712416
2039,pack,bev_nmc,31.38453151
2040,pack,bev_nmc,32.99430446
2041,pack,bev_nmc,35.27161192
2042,pack,bev_nmc,37.62579722
2043,pack,bev_nmc,40.05031221
2044,pack,bev_nmc,42.53784777
2045,pack,bev_nmc,45.08044857
2046,pack,bev_nmc,47.66964761
2047,pack,bev_nmc,50.29661569
2048,pack,bev_nmc,52.95232056
2049,pack,bev_nmc,55.62768963
2050,pack,bev_nmc,58.31377031
2051,pack,bev_nmc,61.00188208
2052,pack,bev_nmc,63.68375534
2053,pack,bev_nmc,66.35165261
2054,pack,bev_nmc,68.99846921
2055,pack,bev_nmc,71.61781125
2056,pack,bev_nmc,74.20405037
2057,pack,bev_nmc,76.75235555
2058,pack,bev_nmc,79.25870334
2059,pack,bev_nmc,81.71986861
2060,pack,bev_nmc,84.13339846
2061,pack,bev_nmc,86.49757215
2062,pack,bev_nmc,88.81135035
2063,pack,bev_nmc,91.07431641
2064,pack,bev_nmc,93.28661277
2065,pack,bev_nmc,95.44887479
2066,pack,bev_nmc,97.5621644
2067,pack,bev_nmc,99.62790511
2068,pack,bev_nmc,101.6478201
2069,pack,bev_nmc,103.6238741
2070,pack,bev_nmc,105.5582202
2071,pack,bev_nmc,107.4531512
2072,pack,bev_nmc,109.3110574
2073,pack,bev_nmc,111.134388
2074,pack,bev_nmc,112.9256194
2075,pack,bev_nmc,114.6872271
2076,pack,bev_nmc,116.421663
2077,pack,bev_nmc,118.1313358
2078,pack,bev_nmc,119.8185964
2079,pack,bev_nmc,121.4857257
2080,pack,bev_nmc,123.1349254
2081,pack,bev_nmc,124.7683119
2082,pack,bev_nmc,126.3879116
2083,pack,bev_nmc,127.9956584
2084,pack,bev_nmc,129.5933929
2085,pack,bev_nmc,131.1828622
2086,pack,bev_nmc,132.7657216
2087,pack,bev_nmc,134.3435361
2088,pack,bev_nmc,135.9177835
2089,pack,bev_nmc,137.4898572
2090,pack,bev_nmc,139.0610698
2091,pack,bev_nmc,140.6326569
2092,pack,bev_nmc,142.2057806
2093,pack,bev_nmc,143.7815337
2094,pack,bev_nmc,145.3609434
2095,pack,bev_nmc,146.9449753
2096,pack,bev_nmc,148.5345372
2097,pack,bev_nmc,150.1304829
2098,pack,bev_nmc,151.7336153
2099,pack,bev_nmc,153.3446904
2100,pack,bev_nmc,154.9644204
2020,pack,phev_nmc,0.68145
2021,pack,phev_nmc,1.375122
2022,pack,phev_nmc,1.989036
2023,pack,phev_nmc,2.972317636
2024,pack,phev_nmc,3.625917796
2025,pack,phev_nmc,4.133678593
2026,pack,phev_nmc,4.537833015
2027,pack,phev_nmc,4.971029004
2028,pack,phev_nmc,5.433649452
2029,pack,phev_nmc,5.925823942
2030,pack,phev_nmc,6.26049091
2031,pack,phev_nmc,6.728480017
2032,pack,phev_nmc,7.213603281
2033,pack,phev_nmc,7.714272189
2034,pack,phev_nmc,8.228695945
2035,pack,phev_nmc,8.754913717
2036,pack,phev_nmc,9.290832975
2037,pack,phev_nmc,9.834272392
2038,pack,phev_nmc,10.38300747
2039,pack,phev_nmc,10.93481694
2040,pack,phev_nmc,11.27341742
2041,pack,phev_nmc,11.81466745
2042,pack,phev_nmc,12.35283982
2043,pack,phev_nmc,12.88617206
2044,pack,phev_nmc,13.41308184
2045,pack,phev_nmc,13.93218413
2046,pack,phev_nmc,14.44230116
2047,pack,phev_nmc,14.94246597
2048,pack,phev_nmc,15.43191982
2049,pack,phev_nmc,15.91010452
2050,pack,phev_nmc,16.37665065
2051,pack,phev_nmc,16.83136259
2052,pack,phev_nmc,17.27420138
2053,pack,phev_nmc,17.7052664
2054,pack,phev_nmc,18.1247765
2055,pack,phev_nmc,18.53305137
2056,pack,phev_nmc,18.93049364
2057,pack,phev_nmc,19.31757206
2058,pack,phev_nmc,19.69480615
2059,pack,phev_nmc,20.06275232
2060,pack,phev_nmc,26.04976215
2061,pack,phev_nmc,24.78742006
2062,pack,phev_nmc,23.58649179
2063,pack,phev_nmc,22.44750415
2064,pack,phev_nmc,21.370426
2065,pack,phev_nmc,20.35473436
2066,pack,phev_nmc,19.39948084
2067,pack,phev_nmc,18.50335658
2068,pack,phev_nmc,17.66475421
2069,pack,phev_nmc,16.88182593
2070,pack,phev_nmc,16.15253688
2071,pack,phev_nmc,15.47471338
2072,pack,phev_nmc,14.84608591
2073,pack,phev_nmc,14.26432674
2074,pack,phev_nmc,13.72708249
2075,pack,phev_nmc,13.23200173
2076,pack,phev_nmc,12.77675817
2077,pack,phev_nmc,12.35906956
2078,pack,phev_nmc,11.976713
2079,pack,phev_nmc,11.62753683
2080,pack,phev_nmc,11.30946972
2081,pack,phev_nmc,11.02052717
2082,pack,phev_nmc,10.75881588
2083,pack,phev_nmc,10.52253632
2084,pack,phev_nmc,10.30998379
2085,pack,phev_nmc,10.11954823
2086,pack,phev_nmc,9.949712986
2087,pack,phev_nmc,9.799052836
2088,pack,phev_nmc,9.666231348
2089,pack,phev_nmc,9.549997787
2090,pack,phev_nmc,9.449183674
2091,pack,phev_nmc,9.362699113
2092,pack,phev_nmc,9.289528977
2093,pack,phev_nmc,9.228729017
2094,pack,phev_nmc,9.179421975
2095,pack,phev_nmc,9.140793718
2096,pack,phev_nmc,9.11208946
2097,pack,phev_nmc,9.092610084
2098,pack,phev_nmc,9.081708589
2099,pack,phev_nmc,9.078786679
2100,pack,phev_nmc,9.083291506
2020,pack,bev_lfp,0.68145
2021,pack,bev_lfp,1.5225
2022,pack,bev_lfp,2.4075
2023,pack,bev_lfp,2.975084948
2024,pack,bev_lfp,3.649649887
2025,pack,bev_lfp,4.188122015
2026,pack,bev_lfp,4.63247478
2027,pack,bev_lfp,5.118407823
2028,pack,bev_lfp,5.648754061
2029,pack,bev_lfp,6.226347244
2030,pack,bev_lfp,6.655278022
2031,pack,bev_lfp,7.244223808
2032,pack,bev_lfp,7.873676938
2033,pack,bev_lfp,8.544541633
2034,pack,bev_lfp,9.257444087
2035,pack,bev_lfp,10.01269435
2036,pack,bev_lfp,10.81025154
2037,pack,bev_lfp,11.64969397
2038,pack,bev_lfp,12.53019607
2039,pack,bev_lfp,13.45051351
2040,pack,bev_lfp,14.1404162
2041,pack,bev_lfp,15.11640511
2042,pack,bev_lfp,16.12534167
2043,pack,bev_lfp,17.16441952
2044,pack,bev_lfp,18.23050619
2045,pack,bev_lfp,19.32019225
2046,pack,bev_lfp,20.42984898
2047,pack,bev_lfp,21.55569244
2048,pack,bev_lfp,22.69385167
2049,pack,bev_lfp,23.84043841
2050,pack,bev_lfp,24.99161585
2051,pack,bev_lfp,26.14366375
2052,pack,bev_lfp,27.293038
2053,pack,bev_lfp,28.43642255
2054,pack,bev_lfp,29.57077252
2055,pack,bev_lfp,30.69334768
2056,pack,bev_lfp,31.80173587
2057,pack,bev_lfp,32.89386666
2058,pack,bev_lfp,33.96801572
2059,pack,bev_lfp,35.02280083
2060,pack,bev_lfp,36.05717077
2061,pack,bev_lfp,37.07038806
2062,pack,bev_lfp,38.06200729
2063,pack,bev_lfp,39.03184989
2064,pack,bev_lfp,39.9799769
2065,pack,bev_lfp,40.90666063
2066,pack,bev_lfp,41.81235617
2067,pack,bev_lfp,42.69767362
2068,pack,bev_lfp,43.56335147
2069,pack,bev_lfp,44.41023177
2070,pack,bev_lfp,45.23923722
2071,pack,bev_lfp,46.05135053
