Year,Stage,Input,Output,Cost
2020,pack,GWh_nmc,bev_nmc,2315.2500000000005
2020,pack,GWh_nmc,phev_nmc,2315.2500000000005
2020,pack,GWh_nmc,bev_lfp,2315.2500000000005
2020,pack,GWh_nmc,phev_lfp,2315.2500000000005
2020,pack,GWh_lfp,bev_nmc,2315.2500000000005
2020,pack,GWh_lfp,phev_nmc,2315.2500000000005
2020,pack,GWh_lfp,bev_lfp,2315.2500000000005
2020,pack,GWh_lfp,phev_lfp,2315.2500000000005
2021,pack,GWh_nmc,bev_nmc,2205
2021,pack,GWh_nmc,phev_nmc,2205
2021,pack,GWh_nmc,bev_lfp,2205
2021,pack,GWh_nmc,phev_lfp,2205
2021,pack,GWh_lfp,bev_nmc,2205
2021,pack,GWh_lfp,phev_nmc,2205
2021,pack,GWh_lfp,bev_lfp,2205
2021,pack,GWh_lfp,phev_lfp,2205
2022,pack,GWh_nmc,bev_nmc,2100
2022,pack,GWh_nmc,phev_nmc,2100
2022,pack,GWh_nmc,bev_lfp,2100
2022,pack,GWh_nmc,phev_lfp,2100
2022,pack,GWh_lfp,bev_nmc,2100
2022,pack,GWh_lfp,phev_nmc,2100
2022,pack,GWh_lfp,bev_lfp,2100
2022,pack,GWh_lfp,phev_lfp,2100
2023,pack,GWh_nmc,bev_nmc,2000
2023,pack,GWh_nmc,phev_nmc,2000
2023,pack,GWh_nmc,bev_lfp,2000
2023,pack,GWh_nmc,phev_lfp,2000
2023,pack,GWh_lfp,bev_nmc,2000
2023,pack,GWh_lfp,phev_nmc,2000
2023,pack,GWh_lfp,bev_lfp,2000
2023,pack,GWh_lfp,phev_lfp,2000
2024,pack,GWh_nmc,bev_nmc,1904.7619047619046
2024,pack,GWh_nmc,phev_nmc,1904.7619047619046
2024,pack,GWh_nmc,bev_lfp,1904.7619047619046
2024,pack,GWh_nmc,phev_lfp,1904.7619047619046
2024,pack,GWh_lfp,bev_nmc,1904.7619047619046
2024,pack,GWh_lfp,phev_nmc,1904.7619047619046
2024,pack,GWh_lfp,bev_lfp,1904.7619047619046
2024,pack,GWh_lfp,phev_lfp,1904.7619047619046
2025,pack,GWh_nmc,bev_nmc,1814.0589569160998
2025,pack,GWh_nmc,phev_nmc,1814.0589569160998
2025,pack,GWh_nmc,bev_lfp,1814.0589569160998
2025,pack,GWh_nmc,phev_lfp,1814.0589569160998
2025,pack,GWh_lfp,bev_nmc,1814.0589569160998
2025,pack,GWh_lfp,phev_nmc,1814.0589569160998
2025,pack,GWh_lfp,bev_lfp,1814.0589569160998
2025,pack,GWh_lfp,phev_lfp,1814.0589569160998
2026,pack,GWh_nmc,bev_nmc,1727.675197062952
2026,pack,GWh_nmc,phev_nmc,1727.675197062952
2026,pack,GWh_nmc,bev_lfp,1727.675197062952
2026,pack,GWh_nmc,phev_lfp,1727.675197062952
2026,pack,GWh_lfp,bev_nmc,1727.675197062952
2026,pack,GWh_lfp,phev_nmc,1727.675197062952
2026,pack,GWh_lfp,bev_lfp,1727.675197062952
2026,pack,GWh_lfp,phev_lfp,1727.675197062952
2027,pack,GWh_nmc,bev_nmc,1645.404949583764
2027,pack,GWh_nmc,phev_nmc,1645.404949583764
2027,pack,GWh_nmc,bev_lfp,1645.404949583764
2027,pack,GWh_nmc,phev_lfp,1645.404949583764
2027,pack,GWh_lfp,bev_nmc,1645.404949583764
2027,pack,GWh_lfp,phev_nmc,1645.404949583764
2027,pack,GWh_lfp,bev_lfp,1645.404949583764
2027,pack,GWh_lfp,phev_lfp,1645.404949583764
2028,pack,GWh_nmc,bev_nmc,1567.052332936918
2028,pack,GWh_nmc,phev_nmc,1567.052332936918
2028,pack,GWh_nmc,bev_lfp,1567.052332936918
2028,pack,GWh_nmc,phev_lfp,1567.052332936918
2028,pack,GWh_lfp,bev_nmc,1567.052332936918
2028,pack,GWh_lfp,phev_nmc,1567.052332936918
2028,pack,GWh_lfp,bev_lfp,1567.052332936918
