Year,Stage,Input,Output,CO2
2020,pack,GWh_nmc,bev_nmc,3130.993642165972
2020,pack,GWh_lfp,bev_lfp,3038
2020,pack,GWh_nmc,phev_nmc,857.2678232978569
2020,pack,GWh_lfp,phev_lfp,735
2021,pack,GWh_nmc,bev_nmc,3099.6837057443117
2021,pack,GWh_lfp,bev_lfp,3038
2021,pack,GWh_nmc,phev_nmc,814.404432132964
2021,pack,GWh_lfp,phev_lfp,735
2022,pack,GWh_nmc,bev_nmc,3068.686868686869
2022,pack,GWh_lfp,bev_lfp,3038
2022,pack,GWh_nmc,phev_nmc,773.6842105263158
2022,pack,GWh_lfp,phev_lfp,735
2023,pack,GWh_nmc,bev_nmc,3038
2023,pack,GWh_lfp,bev_lfp,3038
2023,pack,GWh_nmc,phev_nmc,735
2023,pack,GWh_lfp,phev_lfp,735
2024,pack,GWh_nmc,bev_nmc,3007.62
2024,pack,GWh_lfp,bev_lfp,3038
2024,pack,GWh_nmc,phev_nmc,698.25
2024,pack,GWh_lfp,phev_lfp,735
2025,pack,GWh_nmc,bev_nmc,2977.5438
2025,pack,GWh_lfp,bev_lfp,3038
2025,pack,GWh_nmc,phev_nmc,663.3375
2025,pack,GWh_lfp,phev_lfp,735
2026,pack,GWh_nmc,bev_nmc,2947.768362
2026,pack,GWh_lfp,bev_lfp,3038
2026,pack,GWh_nmc,phev_nmc,630.170625
2026,pack,GWh_lfp,phev_lfp,735
2027,pack,GWh_nmc,bev_nmc,2918.29067838
2027,pack,GWh_lfp,bev_lfp,3038
2027,pack,GWh_nmc,phev_nmc,598.6620937499999
2027,pack,GWh_lfp,phev_lfp,735
2028,pack,GWh_nmc,bev_nmc,2889.1077715961997
2028,pack,GWh_lfp,bev_lfp,3038
2028,pack,GWh_nmc,phev_nmc,568.7289890625
2028,pack,GWh_lfp,phev_lfp,735
2029,pack,GWh_nmc,bev_nmc,2860.2166938802375
2029,pack,GWh_lfp,bev_lfp,3038
2029,pack,GWh_nmc,phev_nmc,540.2925396093749
2029,pack,GWh_lfp,phev_lfp,735
2030,pack,GWh_nmc,bev_nmc,2831.6145269414355
2030,pack,GWh_lfp,bev_lfp,3038
2030,pack,GWh_nmc,phev_nmc,513.2779126289062
2030,pack,GWh_lfp,phev_lfp,735
2031,pack,GWh_nmc,bev_nmc,2803.2983816720207
2031,pack,GWh_lfp,bev_lfp,3038
2031,pack,GWh_nmc,phev_nmc,487.6140169974609
