Year,Stage,Input,Output,Cost
2020,pack,GWh_nmc,bev_nmc,2025.2952325411873
2020,pack,GWh_lfp,bev_lfp,2025.2952325411873
2020,pack,GWh_nmc,phev_nmc,20.252952325411872
2020,pack,GWh_lfp,phev_lfp,20.252952325411872
2021,pack,GWh_nmc,bev_nmc,1832.4099722991696
2021,pack,GWh_lfp,bev_lfp,1832.4099722991696
2021,pack,GWh_nmc,phev_nmc,18.324099722991694
2021,pack,GWh_lfp,phev_lfp,18.324099722991694
2022,pack,GWh_nmc,bev_nmc,1657.8947368421054
2022,pack,GWh_lfp,bev_lfp,1657.8947368421054
2022,pack,GWh_nmc,phev_nmc,16.578947368421055
2022,pack,GWh_lfp,phev_lfp,16.578947368421055
2023,pack,GWh_nmc,bev_nmc,1500
2023,pack,GWh_lfp,bev_lfp,1500
2023,pack,GWh_nmc,phev_nmc,15
2023,pack,GWh_lfp,phev_lfp,15
2024,pack,GWh_nmc,bev_nmc,1357.142857142857
2024,pack,GWh_lfp,bev_lfp,1357.142857142857
2024,pack,GWh_nmc,phev_nmc,13.571428571428571
2024,pack,GWh_lfp,phev_lfp,13.571428571428571
2025,pack,GWh_nmc,bev_nmc,1292.517006802721
2025,pack,GWh_lfp,bev_lfp,1292.517006802721
2025,pack,GWh_nmc,phev_nmc,12.92517006802721
2025,pack,GWh_lfp,phev_lfp,12.92517006802721
2026,pack,GWh_nmc,bev_nmc,1230.9685779073534
2026,pack,GWh_lfp,bev_lfp,1230.9685779073534
2026,pack,GWh_nmc,phev_nmc,12.309685779073533
2026,pack,GWh_lfp,phev_lfp,12.309685779073533
2027,pack,GWh_nmc,bev_nmc,1172.3510265784319
2027,pack,GWh_lfp,bev_lfp,1172.3510265784319
2027,pack,GWh_nmc,phev_nmc,11.723510265784318
2027,pack,GWh_lfp,phev_lfp,11.723510265784318
2028,pack,GWh_nmc,bev_nmc,1116.524787217554
2028,pack,GWh_lfp,bev_lfp,1116.524787217554
2028,pack,GWh_nmc,phev_nmc,11.16524787217554
2028,pack,GWh_lfp,phev_lfp,11.16524787217554
2029,pack,GWh_nmc,bev_nmc,1063.3569402071944
2029,pack,GWh_lfp,bev_lfp,1063.3569402071944
2029,pack,GWh_nmc,phev_nmc,10.633569402071943
2029,pack,GWh_lfp,phev_lfp,10.633569402071943
2030,pack,GWh_nmc,bev_nmc,1012.720895435423
2030,pack,GWh_lfp,bev_lfp,1012.720895435423
2030,pack,GWh_nmc,phev_nmc,10.12720895435423
2030,pack,GWh_lfp,phev_lfp,10.12720895435423
2031,pack,GWh_nmc,bev_nmc,964.4960908908793
2031,pack,GWh_lfp,bev_lfp,964.4960908908793
2031,pack,GWh_nmc,phev_nmc,9.644960908908793
2031,pack,GWh_lfp,phev_lfp,9.644960908908793
2032,pack,GWh_nmc,bev_nmc,918.5677056103611
2032,pack,GWh_lfp,bev_lfp,918.5677056103611
2032,pack,GWh_nmc,phev_nmc,9.18567705610361
2032,pack,GWh_lfp,phev_lfp,9.18567705610361
2033,pack,GWh_nmc,bev_nmc,874.826386295582
2033,pack,GWh_lfp,bev_lfp,874.826386295582
2033,pack,GWh_nmc,phev_nmc,8.74826386295582
2033,pack,GWh_lfp,phev_lfp,8.74826386295582
2034,pack,GWh_nmc,bev_nmc,833.1679869481733
2034,pack,GWh_lfp,bev_lfp,833.1679869481733
2034,pack,GWh_nmc,phev_nmc,8.331679869481732
2034,pack,GWh_lfp,phev_lfp,8.331679869481732
2035,pack,GWh_nmc,bev_nmc,793.4933209030223
2035,pack,GWh_lfp,bev_lfp,793.4933209030223
2035,pack,GWh_nmc,phev_nmc,7.934933209030223
2035,pack,GWh_lfp,phev_lfp,7.934933209030223
2036,pack,GWh_nmc,bev_nmc,755.7079246695449
2036,pack,GWh_lfp,bev_lfp,755.7079246695449
2036,pack,GWh_nmc,phev_nmc,7.557079246695449
2036,pack,GWh_lfp,phev_lfp,7.557079246695449
2037,pack,GWh_nmc,bev_nmc,719.7218330186143
2037,pack,GWh_lfp,bev_lfp,719.7218330186143
2037,pack,GWh_nmc,phev_nmc,7.197218330186144
2037,pack,GWh_lfp,phev_lfp,7.197218330186144
2038,pack,GWh_nmc,bev_nmc,685.4493647796326
2038,pack,GWh_lfp,bev_lfp,685.4493647796326
2038,pack,GWh_nmc,phev_nmc,6.854493647796325
