Year,Stage,Technology,Demand
2020,proc,lce,45.33939429
2021,proc,lce,73.49354568
2022,proc,lce,111.3772252
2023,proc,lce,145.1675567
2024,proc,lce,167.7407651
2025,proc,lce,188.3539945
2026,proc,lce,207.9710174
2027,proc,lce,229.5056889
2028,proc,lce,253.1230987
2029,proc,lce,278.9992784
2030,proc,lce,256.0265441
2031,proc,lce,278.3704846
2032,proc,lce,302.1965178
2033,proc,lce,327.5305641
2034,proc,lce,354.3880641
2035,proc,lce,382.7727591
2036,proc,lce,412.6756108
2037,proc,lce,444.0739115
2038,proc,lce,476.9306394
2039,proc,lce,511.1941068
2040,proc,lce,536.6064453
2041,proc,lce,572.7828754
2042,proc,lce,610.1029672
2043,proc,lce,648.46195
2044,proc,lce,687.7442766
2045,proc,lce,727.8254099
2046,proc,lce,768.5738793
2047,proc,lce,809.8535397
2048,proc,lce,851.5259527
2049,proc,lce,893.4528026
2050,proc,lce,935.4982623
2051,proc,lce,977.5312236
2052,proc,lce,1019.42732
2053,proc,lce,1061.070682
2054,proc,lce,1102.355379
2055,proc,lce,1143.186525
2056,proc,lce,1183.481035
2057,proc,lce,1223.168042
2058,proc,lce,1262.188994
2059,proc,lce,1300.497466
2060,proc,lce,1358.511825
2061,proc,lce,1389.438321
2062,proc,lce,1419.83098
2063,proc,lce,1449.68546
2064,proc,lce,1479.003786
2065,proc,lce,1507.793602
2066,proc,lce,1536.067413
2067,proc,lce,1563.841847
2068,proc,lce,1591.136947
2069,proc,lce,1617.975512
2070,proc,lce,1644.382487
2071,proc,lce,1670.38442
2072,proc,lce,1696.008963
2073,proc,lce,1721.284452
2074,proc,lce,1746.239534
2075,proc,lce,1770.90285
2076,proc,lce,1795.302774
2077,proc,lce,1819.467198
2078,proc,lce,1843.423358
2079,proc,lce,1867.197696
2080,proc,lce,1890.815759
2081,proc,lce,1914.302127
2082,proc,lce,1937.680358
2083,proc,lce,1960.972964
2084,proc,lce,1984.201398
2085,proc,lce,2007.386054
2086,proc,lce,2030.546284
2087,proc,lce,2053.700419
2088,proc,lce,2076.865802
2089,proc,lce,2100.058817
2090,proc,lce,2123.294937
2091,proc,lce,2146.58876
2092,proc,lce,2169.954054
2093,proc,lce,2193.403803
2094,proc,lce,2216.950251
2095,proc,lce,2240.604943
2096,proc,lce,2264.378773
2097,proc,lce,2288.282024
2098,proc,lce,2312.324409
2099,proc,lce,2336.515108
2100,proc,lce,2360.86281
2020,proc,loh,47.78918811
2021,proc,loh,105.7999445
2022,proc,loh,166.0778321
2023,proc,loh,208.6205446
2024,proc,loh,255.7887705
2025,proc,loh,293.3487742
2026,proc,loh,324.2458082
2027,proc,loh,357.9762035
2028,proc,loh,394.7224873
2029,proc,loh,434.665571
2030,proc,loh,464.1248825
2031,proc,loh,504.6299747
2032,proc,loh,547.8218042
2033,proc,loh,593.7473597
2034,proc,loh,642.4346318
2035,proc,loh,693.8904029
2036,proc,loh,748.0982881
2037,proc,loh,805.0171233
2038,proc,loh,864.5797949
2039,proc,loh,926.6926036
2040,proc,loh,972.7600872
2041,proc,loh,1038.340715
2042,proc,loh,1105.994572
2043,proc,loh,1175.53173
2044,proc,loh,1246.742726
2045,proc,loh,1319.401799
2046,proc,loh,1393.270618
2047,proc,loh,1468.102381
2048,proc,loh,1543.646125
2049,proc,loh,1619.651113
2050,proc,loh,1695.871116
2051,proc,loh,1772.068462
2052,proc,loh,1848.0177
2053,proc,loh,1923.50878
2054,proc,loh,1998.349673
2055,proc,loh,2072.368369
2056,proc,loh,2145.414251
2057,proc,loh,2217.358851
2058,proc,loh,2288.096028
2059,proc,loh,2357.541621
2060,proc,loh,2462.710042
2061,proc,loh,2518.773589
2062,proc,loh,2573.869398
2063,proc,loh,2627.989594
2064,proc,loh,2681.137851
2065,proc,loh,2733.328026
2066,proc,loh,2784.582787
2067,proc,loh,2834.932277
2068,proc,loh,2884.41283
2069,proc,loh,2933.065776
2070,proc,loh,2980.936338
2071,proc,loh,3028.072637
2072,proc,loh,3074.524805
2073,proc,loh,3120.344209
2074,proc,loh,3165.582777
2075,proc,loh,3210.292432
2076,proc,loh,3254.524611
2077,proc,loh,3298.329877
2078,proc,loh,3341.7576
2079,proc,loh,3384.855716
2080,proc,loh,3427.670538
2081,proc,loh,3470.246621
2082,proc,loh,3512.626675
2083,proc,loh,3554.851508
2084,proc,loh,3596.96001
2085,proc,loh,3638.989151
2086,proc,loh,3680.974013
2087,proc,loh,3722.947826
2088,proc,loh,3764.942028
2089,proc,loh,3806.986323
2090,proc,loh,3849.108758
2091,proc,loh,3891.335797
2092,proc,loh,3933.692399
2093,proc,loh,3976.202101
2094,proc,loh,4018.887097
2095,proc,loh,4061.768319
2096,proc,loh,4104.865515
2097,proc,loh,4148.197326
2098,proc,loh,4191.781357
2099,proc,loh,4235.634253
2100,proc,loh,4279.771763
