Year,Stage,Input,Output,Cost
2020,proc,spod,loh,13.074
2021,proc,spod,loh,12.45142857
2022,proc,spod,loh,11.8585034
2023,proc,spod,loh,11.29381276
2024,proc,spod,loh,10.75601216
2020,proc,spod,lce,13.074
2021,proc,spod,lce,12.45142857
2022,proc,spod,lce,11.8585034
2023,proc,spod,lce,11.29381276
2024,proc,spod,lce,10.75601216
2020,proc,brine,lce,14.853
2021,proc,brine,lce,12.45142857
2022,proc,brine,lce,11.8585034
2023,proc,brine,lce,11.29381276
2024,proc,brine,lce,10.75601216
2020,proc,brine,loh,23.48
2021,proc,brine,loh,22.36190476
2022,proc,brine,loh,21.29705215
2023,proc,brine,loh,20.28290681
2024,proc,brine,loh,19.31705411
2020,proc,clay,lce,9.316
2021,proc,clay,lce,8.872380952
2022,proc,clay,lce,8.449886621
2023,proc,clay,lce,8.047511068
2024,proc,clay,lce,7.664296255
2020,proc,clay,loh,17.944
2021,proc,clay,loh,17.08952381
2022,proc,clay,loh,16.27573696
2023,proc,clay,loh,15.50070187
2024,proc,clay,loh,14.76257321
