Year,Stage,Input,Output,CO2
2020,proc,brine,loh,0.010306101521283646
2020,proc,brine,lce,0.010306101521283646
2020,proc,spod,loh,0.010306101521283646
2020,proc,spod,lce,0.010306101521283646
2020,proc,clay,loh,0.010306101521283646
2020,proc,clay,lce,0.010306101521283646
2021,proc,brine,loh,0.01020304050607081
2021,proc,brine,lce,0.01020304050607081
2021,proc,spod,loh,0.01020304050607081
2021,proc,spod,lce,0.01020304050607081
2021,proc,clay,loh,0.01020304050607081
2021,proc,clay,lce,0.01020304050607081
2022,proc,brine,loh,0.010101010101010102
2022,proc,brine,lce,0.010101010101010102
2022,proc,spod,loh,0.010101010101010102
2022,proc,spod,lce,0.010101010101010102
2022,proc,clay,loh,0.010101010101010102
2022,proc,clay,lce,0.010101010101010102
2023,proc,brine,loh,0.01
2023,proc,brine,lce,0.01
2023,proc,spod,loh,0.01
2023,proc,spod,lce,0.01
2023,proc,clay,loh,0.01
2023,proc,clay,lce,0.01
2024,proc,brine,loh,0.0099
2024,proc,brine,lce,0.0099
2024,proc,spod,loh,0.0099
2024,proc,spod,lce,0.0099
2024,proc,clay,loh,0.0099
2024,proc,clay,lce,0.0099
2025,proc,brine,loh,0.009801
2025,proc,brine,lce,0.009801
2025,proc,spod,loh,0.009801
2025,proc,spod,lce,0.009801
2025,proc,clay,loh,0.009801
2025,proc,clay,lce,0.009801
2026,proc,brine,loh,0.00970299
2026,proc,brine,lce,0.00970299
2026,proc,spod,loh,0.00970299
2026,proc,spod,lce,0.00970299
2026,proc,clay,loh,0.00970299
2026,proc,clay,lce,0.00970299
2027,proc,brine,loh,0.0096059601
2027,proc,brine,lce,0.0096059601
2027,proc,spod,loh,0.0096059601
2027,proc,spod,lce,0.0096059601
2027,proc,clay,loh,0.0096059601
2027,proc,clay,lce,0.0096059601
2028,proc,brine,loh,0.009509900499
2028,proc,brine,lce,0.009509900499
2028,proc,spod,loh,0.009509900499
2028,proc,spod,lce,0.009509900499
2028,proc,clay,loh,0.009509900499
2028,proc,clay,lce,0.009509900499
2029,proc,brine,loh,0.009414801494009998
2029,proc,brine,lce,0.009414801494009998
2029,proc,spod,loh,0.009414801494009998
2029,proc,spod,lce,0.009414801494009998
2029,proc,clay,loh,0.009414801494009998
2029,proc,clay,lce,0.009414801494009998
2030,proc,brine,loh,0.0093206534790699
2030,proc,brine,lce,0.0093206534790699
2030,proc,spod,loh,0.0093206534790699
2030,proc,spod,lce,0.0093206534790699
2030,proc,clay,loh,0.0093206534790699
2030,proc,clay,lce,0.0093206534790699
2031,proc,brine,loh,0.0092274469442792
2031,proc,brine,lce,0.0092274469442792
2031,proc,spod,loh,0.0092274469442792
2031,proc,spod,lce,0.0092274469442792
2031,proc,clay,loh,0.0092274469442792
2031,proc,clay,lce,0.0092274469442792
2032,proc,brine,loh,0.009135172474836407
2032,proc,brine,lce,0.009135172474836407
2032,proc,spod,loh,0.009135172474836407
2032,proc,spod,lce,0.009135172474836407
2032,proc,clay,loh,0.009135172474836407
2032,proc,clay,lce,0.009135172474836407
2033,proc,brine,loh,0.009043820750088043
2033,proc,brine,lce,0.009043820750088043
2033,proc,spod,loh,0.009043820750088043
2033,proc,spod,lce,0.009043820750088043
2033,proc,clay,loh,0.009043820750088043
2033,proc,clay,lce,0.009043820750088043
2034,proc,brine,loh,0.008953382542587164
2034,proc,brine,lce,0.008953382542587164
2034,proc,spod,loh,0.008953382542587164
2034,proc,spod,lce,0.008953382542587164
2034,proc,clay,loh,0.008953382542587164
2034,proc,clay,lce,0.008953382542587164
2035,proc,brine,loh,0.008863848717161291
2035,proc,brine,lce,0.008863848717161291
2035,proc,spod,loh,0.008863848717161291
2035,proc,spod,lce,0.008863848717161291
2035,proc,clay,loh,0.008863848717161291
2035,proc,clay,lce,0.008863848717161291
2036,proc,brine,loh,0.008775210229989677
2036,proc,brine,lce,0.008775210229989677
2036,proc,spod,loh,0.008775210229989677
2036,proc,spod,lce,0.008775210229989677
2036,proc,clay,loh,0.008775210229989677
2036,proc,clay,lce,0.008775210229989677
2037,proc,brine,loh,0.008687458127689781
2037,proc,brine,lce,0.008687458127689781
2037,proc,spod,loh,0.008687458127689781
2037,proc,spod,lce,0.008687458127689781
2037,proc,clay,loh,0.008687458127689781
2037,proc,clay,lce,0.008687458127689781
2038,proc,brine,loh,0.008600583546412884
2038,proc,brine,lce,0.008600583546412884
2038,proc,spod,loh,0.008600583546412884
2038,proc,spod,lce,0.008600583546412884
2038,proc,clay,loh,0.008600583546412884
2038,proc,clay,lce,0.008600583546412884
2039,proc,brine,loh,0.008514577710948754
2039,proc,brine,lce,0.008514577710948754
2039,proc,spod,loh,0.008514577710948754
2039,proc,spod,lce,0.008514577710948754
2039,proc,clay,loh,0.008514577710948754
2039,proc,clay,lce,0.008514577710948754
2040,proc,brine,loh,0.008429431933839267
2040,proc,brine,lce,0.008429431933839267
2040,proc,spod,loh,0.008429431933839267
2040,proc,spod,lce,0.008429431933839267
2040,proc,clay,loh,0.008429431933839267
2040,proc,clay,lce,0.008429431933839267
2041,proc,brine,loh,0.008345137614500875
2041,proc,brine,lce,0.008345137614500875
2041,proc,spod,loh,0.008345137614500875
2041,proc,spod,lce,0.008345137614500875
2041,proc,clay,loh,0.008345137614500875
2041,proc,clay,lce,0.008345137614500875
2042,proc,brine,loh,0.008261686238355864
2042,proc,brine,lce,0.008261686238355864
2042,proc,spod,loh,0.008261686238355864
2042,proc,spod,lce,0.008261686238355864
2042,proc,clay,loh,0.008261686238355864
2042,proc,clay,lce,0.008261686238355864
2043,proc,brine,loh,0.008179069375972306
2043,proc,brine,lce,0.008179069375972306
2043,proc,spod,loh,0.008179069375972306
2043,proc,spod,lce,0.008179069375972306
2043,proc,clay,loh,0.008179069375972306
2043,proc,clay,lce,0.008179069375972306
2044,proc,brine,loh,0.008097278682212583
2044,proc,brine,lce,0.008097278682212583
2044,proc,spod,loh,0.008097278682212583
2044,proc,spod,lce,0.008097278682212583
2044,proc,clay,loh,0.008097278682212583
2044,proc,clay,lce,0.008097278682212583
2045,proc,brine,loh,0.008016305895390456
2045,proc,brine,lce,0.008016305895390456
2045,proc,spod,loh,0.008016305895390456
2045,proc,spod,lce,0.008016305895390456
2045,proc,clay,loh,0.008016305895390456
2045,proc,clay,lce,0.008016305895390456
2046,proc,brine,loh,0.007936142836436552
2046,proc,brine,lce,0.007936142836436552
2046,proc,spod,loh,0.007936142836436552
2046,proc,spod,lce,0.007936142836436552
2046,proc,clay,loh,0.007936142836436552
2046,proc,clay,lce,0.007936142836436552
2047,proc,brine,loh,0.007856781408072187
2047,proc,brine,lce,0.007856781408072187
2047,proc,spod,loh,0.007856781408072187
2047,proc,spod,lce,0.007856781408072187
2047,proc,clay,loh,0.007856781408072187
2047,proc,clay,lce,0.007856781408072187
2048,proc,brine,loh,0.0077782135939914645
2048,proc,brine,lce,0.0077782135939914645
2048,proc,spod,loh,0.0077782135939914645
2048,proc,spod,lce,0.0077782135939914645
2048,proc,clay,loh,0.0077782135939914645
2048,proc,clay,lce,0.0077782135939914645
2049,proc,brine,loh,0.00770043145805155
2049,proc,brine,lce,0.00770043145805155
2049,proc,spod,loh,0.00770043145805155
2049,proc,spod,lce,0.00770043145805155
2049,proc,clay,loh,0.00770043145805155
2049,proc,clay,lce,0.00770043145805155
2050,proc,brine,loh,0.007623427143471035
2050,proc,brine,lce,0.007623427143471035
2050,proc,spod,loh,0.007623427143471035
2050,proc,spod,lce,0.007623427143471035
2050,proc,clay,loh,0.007623427143471035
2050,proc,clay,lce,0.007623427143471035
2051,proc,brine,loh,0.007547192872036324
2051,proc,brine,lce,0.007547192872036324
2051,proc,spod,loh,0.007547192872036324
2051,proc,spod,lce,0.007547192872036324
2051,proc,clay,loh,0.007547192872036324
2051,proc,clay,lce,0.007547192872036324
2052,proc,brine,loh,0.0074717209433159595
2052,proc,brine,lce,0.0074717209433159595
2052,proc,spod,loh,0.0074717209433159595
2052,proc,spod,lce,0.0074717209433159595
2052,proc,clay,loh,0.0074717209433159595
2052,proc,clay,lce,0.0074717209433159595
2053,proc,brine,loh,0.007397003733882801
2053,proc,brine,lce,0.007397003733882801
2053,proc,spod,loh,0.007397003733882801
2053,proc,spod,lce,0.007397003733882801
2053,proc,clay,loh,0.007397003733882801
2053,proc,clay,lce,0.007397003733882801
2054,proc,brine,loh,0.007323033696543972
2054,proc,brine,lce,0.007323033696543972
2054,proc,spod,loh,0.007323033696543972
2054,proc,spod,lce,0.007323033696543972
2054,proc,clay,loh,0.007323033696543972
2054,proc,clay,lce,0.007323033696543972
2055,proc,brine,loh,0.007249803359578533
2055,proc,brine,lce,0.007249803359578533
2055,proc,spod,loh,0.007249803359578533
2055,proc,spod,lce,0.007249803359578533
2055,proc,clay,loh,0.007249803359578533
2055,proc,clay,lce,0.007249803359578533
2056,proc,brine,loh,0.007177305325982747
2056,proc,brine,lce,0.007177305325982747
2056,proc,spod,loh,0.007177305325982747
2056,proc,spod,lce,0.007177305325982747
2056,proc,clay,loh,0.007177305325982747
2056,proc,clay,lce,0.007177305325982747
2057,proc,brine,loh,0.00710553227272292
2057,proc,brine,lce,0.00710553227272292
2057,proc,spod,loh,0.00710553227272292
2057,proc,spod,lce,0.00710553227272292
2057,proc,clay,loh,0.00710553227272292
2057,proc,clay,lce,0.00710553227272292
2058,proc,brine,loh,0.007034476949995691
2058,proc,brine,lce,0.007034476949995691
2058,proc,spod,loh,0.007034476949995691
2058,proc,spod,lce,0.007034476949995691
2058,proc,clay,loh,0.007034476949995691
2058,proc,clay,lce,0.007034476949995691
2059,proc,brine,loh,0.006964132180495733
2059,proc,brine,lce,0.006964132180495733
2059,proc,spod,loh,0.006964132180495733
2059,proc,spod,lce,0.006964132180495733
2059,proc,clay,loh,0.006964132180495733
2059,proc,clay,lce,0.006964132180495733
2060,proc,brine,loh,0.006894490858690776
2060,proc,brine,lce,0.006894490858690776
2060,proc,spod,loh,0.006894490858690776
2060,proc,spod,lce,0.006894490858690776
2060,proc,clay,loh,0.006894490858690776
2060,proc,clay,lce,0.006894490858690776
2061,proc,brine,loh,0.0068255459501038685
2061,proc,brine,lce,0.0068255459501038685
2061,proc,spod,loh,0.0068255459501038685
2061,proc,spod,lce,0.0068255459501038685
2061,proc,clay,loh,0.0068255459501038685
2061,proc,clay,lce,0.0068255459501038685
2062,proc,brine,loh,0.00675729049060283
2062,proc,brine,lce,0.00675729049060283
2062,proc,spod,loh,0.00675729049060283
2062,proc,spod,lce,0.00675729049060283
2062,proc,clay,loh,0.00675729049060283
2062,proc,clay,lce,0.00675729049060283
2063,proc,brine,loh,0.0066897175856968005
2063,proc,brine,lce,0.0066897175856968005
2063,proc,spod,loh,0.0066897175856968005
2063,proc,spod,lce,0.0066897175856968005
2063,proc,clay,loh,0.0066897175856968005
2063,proc,clay,lce,0.0066897175856968005
2064,proc,brine,loh,0.006622820409839833
2064,proc,brine,lce,0.006622820409839833
2064,proc,spod,loh,0.006622820409839833
2064,proc,spod,lce,0.006622820409839833
2064,proc,clay,loh,0.006622820409839833
2064,proc,clay,lce,0.006622820409839833
2065,proc,brine,loh,0.006556592205741434
2065,proc,brine,lce,0.006556592205741434
2065,proc,spod,loh,0.006556592205741434
2065,proc,spod,lce,0.006556592205741434
2065,proc,clay,loh,0.006556592205741434
2065,proc,clay,lce,0.006556592205741434
2066,proc,brine,loh,0.006491026283684019
2066,proc,brine,lce,0.006491026283684019
2066,proc,spod,loh,0.006491026283684019
2066,proc,spod,lce,0.006491026283684019
2066,proc,clay,loh,0.006491026283684019
2066,proc,clay,lce,0.006491026283684019
2067,proc,brine,loh,0.006426116020847181
2067,proc,brine,lce,0.006426116020847181
2067,proc,spod,loh,0.006426116020847181
2067,proc,spod,lce,0.006426116020847181
2067,proc,clay,loh,0.006426116020847181
2067,proc,clay,lce,0.006426116020847181
2068,proc,brine,loh,0.006361854860638707
2068,proc,brine,lce,0.006361854860638707
2068,proc,spod,loh,0.006361854860638707
2068,proc,spod,lce,0.006361854860638707
2068,proc,clay,loh,0.006361854860638707
2068,proc,clay,lce,0.006361854860638707
2069,proc,brine,loh,0.006298236312032321
2069,proc,brine,lce,0.006298236312032321
2069,proc,spod,loh,0.006298236312032321
2069,proc,spod,lce,0.006298236312032321
2069,proc,clay,loh,0.006298236312032321
2069,proc,clay,lce,0.006298236312032321
2070,proc,brine,loh,0.006235253948911997
2070,proc,brine,lce,0.006235253948911997
2070,proc,spod,loh,0.006235253948911997
2070,proc,spod,lce,0.006235253948911997
2070,proc,clay,loh,0.006235253948911997
2070,proc,clay,lce,0.006235253948911997
2071,proc,brine,loh,0.006172901409422877
2071,proc,brine,lce,0.006172901409422877
2071,proc,spod,loh,0.006172901409422877
2071,proc,spod,lce,0.006172901409422877
2071,proc,clay,loh,0.006172901409422877
2071,proc,clay,lce,0.006172901409422877
2072,proc,brine,loh,0.006111172395328648
2072,proc,brine,lce,0.006111172395328648
2072,proc,spod,loh,0.006111172395328648
2072,proc,spod,lce,0.006111172395328648
2072,proc,clay,loh,0.006111172395328648
2072,proc,clay,lce,0.006111172395328648
2073,proc,brine,loh,0.006050060671375361
2073,proc,brine,lce,0.006050060671375361
2073,proc,spod,loh,0.006050060671375361
2073,proc,spod,lce,0.006050060671375361
2073,proc,clay,loh,0.006050060671375361
2073,proc,clay,lce,0.006050060671375361
2074,proc,brine,loh,0.005989560064661607
2074,proc,brine,lce,0.005989560064661607
2074,proc,spod,loh,0.005989560064661607
2074,proc,spod,lce,0.005989560064661607
2074,proc,clay,loh,0.005989560064661607
2074,proc,clay,lce,0.005989560064661607
2075,proc,brine,loh,0.0059296644640149925
2075,proc,brine,lce,0.0059296644640149925
2075,proc,spod,loh,0.0059296644640149925
2075,proc,spod,lce,0.0059296644640149925
2075,proc,clay,loh,0.0059296644640149925
2075,proc,clay,lce,0.0059296644640149925
2076,proc,brine,loh,0.005870367819374842
2076,proc,brine,lce,0.005870367819374842
2076,proc,spod,loh,0.005870367819374842
2076,proc,spod,lce,0.005870367819374842
2076,proc,clay,loh,0.005870367819374842
2076,proc,clay,lce,0.005870367819374842
2077,proc,brine,loh,0.005811664141181093
2077,proc,brine,lce,0.005811664141181093
2077,proc,spod,loh,0.005811664141181093
2077,proc,spod,lce,0.005811664141181093
2077,proc,clay,loh,0.005811664141181093
2077,proc,clay,lce,0.005811664141181093
2078,proc,brine,loh,0.005753547499769283
2078,proc,brine,lce,0.005753547499769283
2078,proc,spod,loh,0.005753547499769283
2078,proc,spod,lce,0.005753547499769283
2078,proc,clay,loh,0.005753547499769283
2078,proc,clay,lce,0.005753547499769283
2079,proc,brine,loh,0.00569601202477159
2079,proc,brine,lce,0.00569601202477159
2079,proc,spod,loh,0.00569601202477159
2079,proc,spod,lce,0.00569601202477159
2079,proc,clay,loh,0.00569601202477159
2079,proc,clay,lce,0.00569601202477159
2080,proc,brine,loh,0.005639051904523873
2080,proc,brine,lce,0.005639051904523873
2080,proc,spod,loh,0.005639051904523873
2080,proc,spod,lce,0.005639051904523873
2080,proc,clay,loh,0.005639051904523873
2080,proc,clay,lce,0.005639051904523873
2081,proc,brine,loh,0.005582661385478634
2081,proc,brine,lce,0.005582661385478634
2081,proc,spod,loh,0.005582661385478634
2081,proc,spod,lce,0.005582661385478634
2081,proc,clay,loh,0.005582661385478634
2081,proc,clay,lce,0.005582661385478634
2082,proc,brine,loh,0.005526834771623849
2082,proc,brine,lce,0.005526834771623849
2082,proc,spod,loh,0.005526834771623849
2082,proc,spod,lce,0.005526834771623849
2082,proc,clay,loh,0.005526834771623849
2082,proc,clay,lce,0.005526834771623849
2083,proc,brine,loh,0.005471566423907609
2083,proc,brine,lce,0.005471566423907609
2083,proc,spod,loh,0.005471566423907609
2083,proc,spod,lce,0.005471566423907609
2083,proc,clay,loh,0.005471566423907609
2083,proc,clay,lce,0.005471566423907609
2084,proc,brine,loh,0.005416850759668532
2084,proc,brine,lce,0.005416850759668532
2084,proc,spod,loh,0.005416850759668532
2084,proc,spod,lce,0.005416850759668532
2084,proc,clay,loh,0.005416850759668532
2084,proc,clay,lce,0.005416850759668532
2085,proc,brine,loh,0.005362682252071849
2085,proc,brine,lce,0.005362682252071849
2085,proc,spod,loh,0.005362682252071849
2085,proc,spod,lce,0.005362682252071849
2085,proc,clay,loh,0.005362682252071849
2085,proc,clay,lce,0.005362682252071849
2086,proc,brine,loh,0.00530905542955113
2086,proc,brine,lce,0.00530905542955113
2086,proc,spod,loh,0.00530905542955113
2086,proc,spod,lce,0.00530905542955113
2086,proc,clay,loh,0.00530905542955113
2086,proc,clay,lce,0.00530905542955113
2087,proc,brine,loh,0.005255964875255618
2087,proc,brine,lce,0.005255964875255618
2087,proc,spod,loh,0.005255964875255618
2087,proc,spod,lce,0.005255964875255618
2087,proc,clay,loh,0.005255964875255618
2087,proc,clay,lce,0.005255964875255618
2088,proc,brine,loh,0.0052034052265030615
2088,proc,brine,lce,0.0052034052265030615
2088,proc,spod,loh,0.0052034052265030615
2088,proc,spod,lce,0.0052034052265030615
2088,proc,clay,loh,0.0052034052265030615
2088,proc,clay,lce,0.0052034052265030615
2089,proc,brine,loh,0.005151371174238031
2089,proc,brine,lce,0.005151371174238031
2089,proc,spod,loh,0.005151371174238031
2089,proc,spod,lce,0.005151371174238031
2089,proc,clay,loh,0.005151371174238031
2089,proc,clay,lce,0.005151371174238031
2090,proc,brine,loh,0.0050998574624956505
2090,proc,brine,lce,0.0050998574624956505
2090,proc,spod,loh,0.0050998574624956505
2090,proc,spod,lce,0.0050998574624956505
2090,proc,clay,loh,0.0050998574624956505
2090,proc,clay,lce,0.0050998574624956505
2091,proc,brine,loh,0.005048858887870694
2091,proc,brine,lce,0.005048858887870694
2091,proc,spod,loh,0.005048858887870694
2091,proc,spod,lce,0.005048858887870694
2091,proc,clay,loh,0.005048858887870694
2091,proc,clay,lce,0.005048858887870694
2092,proc,brine,loh,0.004998370298991987
2092,proc,brine,lce,0.004998370298991987
2092,proc,spod,loh,0.004998370298991987
2092,proc,spod,lce,0.004998370298991987
2092,proc,clay,loh,0.004998370298991987
2092,proc,clay,lce,0.004998370298991987
2093,proc,brine,loh,0.004948386596002067
2093,proc,brine,lce,0.004948386596002067
2093,proc,spod,loh,0.004948386596002067
2093,proc,spod,lce,0.004948386596002067
2093,proc,clay,loh,0.004948386596002067
2093,proc,clay,lce,0.004948386596002067
2094,proc,brine,loh,0.004898902730042046
2094,proc,brine,lce,0.004898902730042046
2094,proc,spod,loh,0.004898902730042046
2094,proc,spod,lce,0.004898902730042046
2094,proc,clay,loh,0.004898902730042046
2094,proc,clay,lce,0.004898902730042046
2095,proc,brine,loh,0.004849913702741625
2095,proc,brine,lce,0.004849913702741625
2095,proc,spod,loh,0.004849913702741625
2095,proc,spod,lce,0.004849913702741625
2095,proc,clay,loh,0.004849913702741625
2095,proc,clay,lce,0.004849913702741625
2096,proc,brine,loh,0.0048014145657142085
2096,proc,brine,lce,0.0048014145657142085
2096,proc,spod,loh,0.0048014145657142085
2096,proc,spod,lce,0.0048014145657142085
2096,proc,clay,loh,0.0048014145657142085
2096,proc,clay,lce,0.0048014145657142085
2097,proc,brine,loh,0.004753400420057067
2097,proc,brine,lce,0.004753400420057067
2097,proc,spod,loh,0.004753400420057067
2097,proc,spod,lce,0.004753400420057067
2097,proc,clay,loh,0.004753400420057067
2097,proc,clay,lce,0.004753400420057067
2098,proc,brine,loh,0.004705866415856496
2098,proc,brine,lce,0.004705866415856496
2098,proc,spod,loh,0.004705866415856496
2098,proc,spod,lce,0.004705866415856496
2098,proc,clay,loh,0.004705866415856496
2098,proc,clay,lce,0.004705866415856496
2099,proc,brine,loh,0.004658807751697931
2099,proc,brine,lce,0.004658807751697931
2099,proc,spod,loh,0.004658807751697931
2099,proc,spod,lce,0.004658807751697931
2099,proc,clay,loh,0.004658807751697931
2099,proc,clay,lce,0.004658807751697931
2100,proc,brine,loh,0.004612219674180951
2100,proc,brine,lce,0.004612219674180951
2100,proc,spod,loh,0.004612219674180951
2100,proc,spod,lce,0.004612219674180951
2100,proc,clay,loh,0.004612219674180951
2100,proc,clay,lce,0.004612219674180951
