Year,Stage,Input,Output,Cost
2020,proc,brine,loh,578.8125000000001
2020,proc,brine,lce,578.8125000000001
2020,proc,spod,loh,578.8125000000001
2020,proc,spod,lce,578.8125000000001
2020,proc,clay,loh,578.8125000000001
2020,proc,clay,lce,578.8125000000001
2021,proc,brine,loh,551.25
2021,proc,brine,lce,551.25
2021,proc,spod,loh,551.25
2021,proc,spod,lce,551.25
2021,proc,clay,loh,551.25
2021,proc,clay,lce,551.25
2022,proc,brine,loh,525
2022,proc,brine,lce,525
2022,proc,spod,loh,525
2022,proc,spod,lce,525
2022,proc,clay,loh,525
2022,proc,clay,lce,525
2023,proc,brine,loh,500
2023,proc,brine,lce,500
2023,proc,spod,loh,500
2023,proc,spod,lce,500
2023,proc,clay,loh,500
2023,proc,clay,lce,500
2024,proc,brine,loh,476.19047619047615
2024,proc,brine,lce,476.19047619047615
2024,proc,spod,loh,476.19047619047615
2024,proc,spod,lce,476.19047619047615
2024,proc,clay,loh,476.19047619047615
2024,proc,clay,lce,476.19047619047615
2025,proc,brine,loh,453.51473922902494
2025,proc,brine,lce,453.51473922902494
2025,proc,spod,loh,453.51473922902494
2025,proc,spod,lce,453.51473922902494
2025,proc,clay,loh,453.51473922902494
2025,proc,clay,lce,453.51473922902494
2026,proc,brine,loh,431.918799265738
2026,proc,brine,lce,431.918799265738
2026,proc,spod,loh,431.918799265738
2026,proc,spod,lce,431.918799265738
2026,proc,clay,loh,431.918799265738
2026,proc,clay,lce,431.918799265738
2027,proc,brine,loh,411.351237395941
2027,proc,brine,lce,411.351237395941
2027,proc,spod,loh,411.351237395941
2027,proc,spod,lce,411.351237395941
2027,proc,clay,loh,411.351237395941
2027,proc,clay,lce,411.351237395941
2028,proc,brine,loh,391.7630832342295
2028,proc,brine,lce,391.7630832342295
2028,proc,spod,loh,391.7630832342295
2028,proc,spod,lce,391.7630832342295
2028,proc,clay,loh,391.7630832342295
2028,proc,clay,lce,391.7630832342295
2029,proc,brine,loh,373.10769831831385
2029,proc,brine,lce,373.10769831831385
2029,proc,spod,loh,373.10769831831385
2029,proc,spod,lce,373.10769831831385
2029,proc,clay,loh,373.10769831831385
2029,proc,clay,lce,373.10769831831385
2030,proc,brine,loh,355.3406650650607
2030,proc,brine,lce,355.3406650650607
2030,proc,spod,loh,355.3406650650607
2030,proc,spod,lce,355.3406650650607
2030,proc,clay,loh,355.3406650650607
2030,proc,clay,lce,355.3406650650607
2031,proc,brine,loh,338.4196810143436
2031,proc,brine,lce,338.4196810143436
2031,proc,spod,loh,338.4196810143436
2031,proc,spod,lce,338.4196810143436
2031,proc,clay,loh,338.4196810143436
2031,proc,clay,lce,338.4196810143436
2032,proc,brine,loh,322.30445810889864
2032,proc,brine,lce,322.30445810889864
2032,proc,spod,loh,322.30445810889864
2032,proc,spod,lce,322.30445810889864
2032,proc,clay,loh,322.30445810889864
2032,proc,clay,lce,322.30445810889864
2033,proc,brine,loh,306.95662677037967
2033,proc,brine,lce,306.95662677037967
2033,proc,spod,loh,306.95662677037967
2033,proc,spod,lce,306.95662677037967
2033,proc,clay,loh,306.95662677037967
2033,proc,clay,lce,306.95662677037967
2034,proc,brine,loh,292.3396445432187
2034,proc,brine,lce,292.3396445432187
2034,proc,spod,loh,292.3396445432187
2034,proc,spod,lce,292.3396445432187
2034,proc,clay,loh,292.3396445432187
2034,proc,clay,lce,292.3396445432187
2035,proc,brine,loh,278.41870908877974
2035,proc,brine,lce,278.41870908877974
2035,proc,spod,loh,278.41870908877974
2035,proc,spod,lce,278.41870908877974
2035,proc,clay,loh,278.41870908877974
2035,proc,clay,lce,278.41870908877974
2036,proc,brine,loh,265.16067532264736
2036,proc,brine,lce,265.16067532264736
2036,proc,spod,loh,265.16067532264736
2036,proc,spod,lce,265.16067532264736
2036,proc,clay,loh,265.16067532264736
2036,proc,clay,lce,265.16067532264736
2037,proc,brine,loh,252.53397649775943
2037,proc,brine,lce,252.53397649775943
2037,proc,spod,loh,252.53397649775943
2037,proc,spod,lce,252.53397649775943
2037,proc,clay,loh,252.53397649775943
2037,proc,clay,lce,252.53397649775943
2038,proc,brine,loh,240.5085490454851
2038,proc,brine,lce,240.5085490454851
2038,proc,spod,loh,240.5085490454851
2038,proc,spod,lce,240.5085490454851
2038,proc,clay,loh,240.5085490454851
2038,proc,clay,lce,240.5085490454851
2039,proc,brine,loh,229.0557609957001
2039,proc,brine,lce,229.0557609957001
2039,proc,spod,loh,229.0557609957001
2039,proc,spod,lce,229.0557609957001
2039,proc,clay,loh,229.0557609957001
2039,proc,clay,lce,229.0557609957001
2040,proc,brine,loh,218.14834380542865
2040,proc,brine,lce,218.14834380542865
2040,proc,spod,loh,218.14834380542865
2040,proc,spod,lce,218.14834380542865
2040,proc,clay,loh,218.14834380542865
2040,proc,clay,lce,218.14834380542865
2041,proc,brine,loh,207.76032743374157
2041,proc,brine,lce,207.76032743374157
2041,proc,spod,loh,207.76032743374157
2041,proc,spod,lce,207.76032743374157
2041,proc,clay,loh,207.76032743374157
2041,proc,clay,lce,207.76032743374157
2042,proc,brine,loh,197.8669785083253
2042,proc,brine,lce,197.8669785083253
2042,proc,spod,loh,197.8669785083253
2042,proc,spod,lce,197.8669785083253
2042,proc,clay,loh,197.8669785083253
2042,proc,clay,lce,197.8669785083253
2043,proc,brine,loh,188.4447414365003
2043,proc,brine,lce,188.4447414365003
2043,proc,spod,loh,188.4447414365003
2043,proc,spod,lce,188.4447414365003
2043,proc,clay,loh,188.4447414365003
2043,proc,clay,lce,188.4447414365003
2044,proc,brine,loh,179.4711823204765
2044,proc,brine,lce,179.4711823204765
2044,proc,spod,loh,179.4711823204765
2044,proc,spod,lce,179.4711823204765
2044,proc,clay,loh,179.4711823204765
2044,proc,clay,lce,179.4711823204765
2045,proc,brine,loh,170.92493554331094
2045,proc,brine,lce,170.92493554331094
2045,proc,spod,loh,170.92493554331094
2045,proc,spod,lce,170.92493554331094
2045,proc,clay,loh,170.92493554331094
2045,proc,clay,lce,170.92493554331094
2046,proc,brine,loh,162.78565289839133
2046,proc,brine,lce,162.78565289839133
2046,proc,spod,loh,162.78565289839133
2046,proc,spod,lce,162.78565289839133
2046,proc,clay,loh,162.78565289839133
2046,proc,clay,lce,162.78565289839133
2047,proc,brine,loh,155.0339551413251
2047,proc,brine,lce,155.0339551413251
2047,proc,spod,loh,155.0339551413251
2047,proc,spod,lce,155.0339551413251
2047,proc,clay,loh,155.0339551413251
2047,proc,clay,lce,155.0339551413251
2048,proc,brine,loh,147.65138584888106
2048,proc,brine,lce,147.65138584888106
