Year,Stage,Input,Output,CO2
2020,proc,brine,lce,2.501095515565754
2020,proc,brine,loh,7.716323492490753
2020,proc,spod,lce,7.503286546697262
2020,proc,spod,loh,19.290808731226882
2020,proc,clay,lce,5.002191031131508
2020,proc,clay,loh,13.503566111858817
2021,proc,brine,lce,2.4760845604100963
2021,proc,brine,loh,7.6391602575658455
2021,proc,spod,lce,7.428253681230288
2021,proc,spod,loh,19.097900643914613
2021,proc,clay,lce,4.952169120820193
2021,proc,clay,loh,13.368530450740229
2022,proc,brine,lce,2.451323714805995
2022,proc,brine,loh,7.562768654990187
2022,proc,spod,lce,7.353971144417986
2022,proc,spod,loh,18.906921637475467
2022,proc,clay,lce,4.90264742961199
2022,proc,clay,loh,13.234845146232827
2023,proc,brine,lce,2.426810477657935
2023,proc,brine,loh,7.4871409684402845
2023,proc,spod,lce,7.280431432973805
2023,proc,spod,loh,18.717852421100712
2023,proc,clay,lce,4.85362095531587
2023,proc,clay,loh,13.102496694770497
2024,proc,brine,lce,2.4025423728813555
2024,proc,brine,loh,7.412269558755882
2024,proc,spod,lce,7.2076271186440675
2024,proc,spod,loh,18.530673896889706
2024,proc,clay,lce,4.805084745762711
2024,proc,clay,loh,12.971471727822792
2025,proc,brine,lce,2.378516949152542
2025,proc,brine,loh,7.338146863168323
2025,proc,spod,lce,7.135550847457626
2025,proc,spod,loh,18.34536715792081
2025,proc,clay,lce,4.757033898305084
2025,proc,clay,loh,12.841757010544564
2026,proc,brine,lce,2.3547317796610168
2026,proc,brine,loh,7.264765394536639
2026,proc,spod,lce,7.064195338983049
2026,proc,spod,loh,18.1619134863416
2026,proc,clay,lce,4.7094635593220335
2026,proc,clay,loh,12.713339440439118
2027,proc,brine,lce,2.3311844618644066
2027,proc,brine,loh,7.192117740591272
2027,proc,spod,lce,6.993553385593219
2027,proc,spod,loh,17.980294351478182
2027,proc,clay,lce,4.662368923728813
2027,proc,clay,loh,12.586206046034727
2028,proc,brine,lce,2.307872617245762
2028,proc,brine,loh,7.12019656318536
2028,proc,spod,lce,6.923617851737287
2028,proc,spod,loh,17.8004914079634
2028,proc,clay,lce,4.615745234491524
2028,proc,clay,loh,12.46034398557438
2029,proc,brine,lce,2.2847938910733046
2029,proc,brine,loh,7.048994597553506
2029,proc,spod,lce,6.854381673219914
2029,proc,spod,loh,17.622486493883766
2029,proc,clay,lce,4.569587782146609
2029,proc,clay,loh,12.335740545718636
2030,proc,brine,lce,2.2619459521625718
2030,proc,brine,loh,6.978504651577971
2030,proc,spod,lce,6.785837856487715
2030,proc,spod,loh,17.446261628944928
2030,proc,clay,lce,4.5238919043251435
2030,proc,clay,loh,12.21238314026145
2031,proc,brine,lce,2.239326492640946
2031,proc,brine,loh,6.908719605062191
2031,proc,spod,lce,6.717979477922837
2031,proc,spod,loh,17.271799012655478
2031,proc,clay,lce,4.478652985281892
2031,proc,clay,loh,12.090259308858833
2032,proc,brine,lce,2.216933227714536
2032,proc,brine,loh,6.8396324090115685
2032,proc,spod,lce,6.6507996831436085
2032,proc,spod,loh,17.099081022528924
2032,proc,clay,lce,4.433866455429072
2032,proc,clay,loh,11.969356715770244
2033,proc,brine,lce,2.194763895437391
2033,proc,brine,loh,6.771236084921453
2033,proc,spod,lce,6.584291686312173
2033,proc,spod,loh,16.928090212303633
2033,proc,clay,lce,4.389527790874782
2033,proc,clay,loh,11.849663148612542
2034,proc,brine,lce,2.172816256483017
2034,proc,brine,loh,6.703523724072238
2034,proc,spod,lce,6.518448769449051
2034,proc,spod,loh,16.7588093101806
2034,proc,clay,lce,4.345632512966034
2034,proc,clay,loh,11.731166517126418
2035,proc,brine,lce,2.1510880939181867
2035,proc,brine,loh,6.636488486831516
2035,proc,spod,lce,6.453264281754561
2035,proc,spod,loh,16.591221217078793
2035,proc,clay,lce,4.302176187836373
2035,proc,clay,loh,11.613854851955153
2036,proc,brine,lce,2.129577212979005
2036,proc,brine,loh,6.570123601963201
2036,proc,spod,lce,6.388731638937014
2036,proc,spod,loh,16.425309004908
2036,proc,clay,lce,4.25915442595801
2036,proc,clay,loh,11.4977163034356
2037,proc,brine,lce,2.1082814408492148
2037,proc,brine,loh,6.504422365943569
2037,proc,spod,lce,6.324844322547644
2037,proc,spod,loh,16.26105591485892
2037,proc,clay,lce,4.2165628816984295
2037,proc,clay,loh,11.382739140401245
2038,proc,brine,lce,2.0871986264407227
2038,proc,brine,loh,6.439378142284133
2038,proc,spod,lce,6.261595879322168
2038,proc,spod,loh,16.098445355710332
2038,proc,clay,lce,4.1743972528814455
2038,proc,clay,loh,11.268911748997233
2039,proc,brine,lce,2.066326640176315
2039,proc,brine,loh,6.3749843608612915
2039,proc,spod,lce,6.198979920528946
2039,proc,spod,loh,15.93746090215323
2039,proc,clay,lce,4.13265328035263
2039,proc,clay,loh,11.15622263150726
2040,proc,brine,lce,2.045663373774552
2040,proc,brine,loh,6.311234517252679
2040,proc,spod,lce,6.136990121323657
2040,proc,spod,loh,15.778086293131697
2040,proc,clay,lce,4.091326747549104
2040,proc,clay,loh,11.044660405192188
2041,proc,brine,lce,2.025206740036807
2041,proc,brine,loh,6.248122172080151
2041,proc,spod,lce,6.07562022011042
2041,proc,spod,loh,15.62030543020038
2041,proc,clay,lce,4.050413480073614
2041,proc,clay,loh,10.934213801140265
2042,proc,brine,lce,2.0049546726364382
2042,proc,brine,loh,6.18564095035935
2042,proc,spod,lce,6.014864017909315
2042,proc,spod,loh,15.464102375898374
2042,proc,clay,lce,4.0099093452728765
2042,proc,clay,loh,10.824871663128862
2043,proc,brine,lce,1.9849051259100743
2043,proc,brine,loh,6.123784540855757
2043,proc,spod,lce,5.954715377730222
2043,proc,spod,loh,15.309461352139392
2043,proc,clay,lce,3.9698102518201486
2043,proc,clay,loh,10.716622946497575
2044,proc,brine,lce,1.9650560746509733
2044,proc,brine,loh,6.062546695447199
2044,proc,spod,lce,5.89516822395292
2044,proc,spod,loh,15.156366738617999
2044,proc,clay,lce,3.9301121493019466
2044,proc,clay,loh,10.609456717032598
2045,proc,brine,lce,1.9454055139044635
2045,proc,brine,loh,6.001921228492726
2045,proc,spod,lce,5.836216541713391
2045,proc,spod,loh,15.004803071231818
2045,proc,clay,lce,3.890811027808927
2045,proc,clay,loh,10.503362149862271
2046,proc,brine,lce,1.925951458765419
2046,proc,brine,loh,5.9419020162078
2046,proc,spod,lce,5.777854376296257
2046,proc,spod,loh,14.8547550405195
2046,proc,clay,lce,3.851902917530838
2046,proc,clay,loh,10.398328528363649
2047,proc,brine,lce,1.9066919441777648
2047,proc,brine,loh,5.882482996045721
2047,proc,spod,lce,5.720075832533294
2047,proc,spod,loh,14.706207490114304
2047,proc,clay,lce,3.8133838883555295
2047,proc,clay,loh,10.294345243080011
2048,proc,brine,lce,1.887625024735987
2048,proc,brine,loh,5.823658166085264
2048,proc,spod,lce,5.662875074207961
2048,proc,spod,loh,14.55914541521316
2048,proc,clay,lce,3.775250049471974
2048,proc,clay,loh,10.191401790649211
2049,proc,brine,lce,1.868748774488627
2049,proc,brine,loh,5.765421584424411
2049,proc,spod,lce,5.606246323465881
2049,proc,spod,loh,14.413553961061028
2049,proc,clay,lce,3.737497548977254
2049,proc,clay,loh,10.08948777274272
