Year,Stage,Input,Output,Cost
2020,proc,brine,lce,33.160833940807706
2020,proc,brine,loh,37.670491325266084
2020,proc,spod,lce,40.505904650823744
2020,proc,spod,loh,33.160833940807706
2020,proc,clay,lce,23.628444379647185
2020,proc,clay,loh,57.38336492200031
2021,proc,brine,lce,30.0026592797784
2021,proc,brine,loh,34.08282548476455
2021,proc,spod,lce,36.64819944598339
2021,proc,spod,loh,30.0026592797784
2021,proc,clay,lce,21.378116343490312
2021,proc,clay,loh,51.91828254847647
2022,proc,brine,lce,27.14526315789474
2022,proc,brine,loh,30.83684210526316
2022,proc,spod,lce,33.15789473684211
2022,proc,spod,loh,27.14526315789474
2022,proc,clay,lce,19.342105263157897
2022,proc,clay,loh,46.97368421052632
2023,proc,brine,lce,24.56
2023,proc,brine,loh,27.9
2023,proc,spod,lce,30
2023,proc,spod,loh,24.56
2023,proc,clay,lce,17.5
2023,proc,clay,loh,42.5
2024,proc,brine,lce,22.220952380952376
2024,proc,brine,loh,25.24285714285714
2024,proc,spod,lce,27.142857142857142
2024,proc,spod,loh,22.220952380952376
2024,proc,clay,lce,15.833333333333332
2024,proc,clay,loh,38.45238095238095
2025,proc,brine,lce,21.162811791383216
2025,proc,brine,loh,24.04081632653061
2025,proc,spod,lce,25.85034013605442
2025,proc,spod,loh,21.162811791383216
2025,proc,clay,lce,15.079365079365079
2025,proc,clay,loh,36.621315192743765
2026,proc,brine,lce,20.155058848936395
2026,proc,brine,loh,22.896015549076772
2026,proc,spod,lce,24.619371558147066
2026,proc,spod,loh,20.155058848936395
2026,proc,clay,lce,14.361300075585788
2026,proc,clay,loh,34.87744304070834
2027,proc,brine,lce,19.195294141844187
2027,proc,brine,loh,21.80572909435883
2027,proc,spod,lce,23.447020531568636
2027,proc,spod,loh,19.195294141844187
2027,proc,clay,lce,13.677428643415038
2027,proc,clay,loh,33.21661241972223
2028,proc,brine,lce,18.28123251604208
2028,proc,brine,loh,20.767361042246502
2028,proc,spod,lce,22.33049574435108
2028,proc,spod,loh,18.28123251604208
2028,proc,clay,lce,13.02612251753813
2028,proc,clay,loh,31.634868971164032
2029,proc,brine,lce,17.410697634325796
2029,proc,brine,loh,19.778439087853815
2029,proc,spod,lce,21.267138804143887
2029,proc,spod,loh,17.410697634325796
2029,proc,clay,lce,12.405830969083935
2029,proc,clay,loh,30.12844663920384
2030,proc,brine,lce,16.58161679459599
2030,proc,brine,loh,18.836608655098868
2030,proc,spod,lce,20.25441790870846
2030,proc,spod,loh,16.58161679459599
2030,proc,clay,lce,11.815077113413269
2030,proc,clay,loh,28.693758704003653
2031,proc,brine,lce,15.792015994853328
2031,proc,brine,loh,17.939627290570353
2031,proc,spod,lce,19.289921817817586
2031,proc,spod,loh,15.792015994853328
2031,proc,clay,lce,11.252454393726925
2031,proc,clay,loh,27.327389241908246
2032,proc,brine,lce,15.040015233193644
2032,proc,brine,loh,17.085359324352716
2032,proc,spod,lce,18.37135411220722
2032,proc,spod,loh,15.040015233193644
2032,proc,clay,lce,10.71662323212088
2032,proc,clay,loh,26.026084992293566
2033,proc,brine,lce,14.323824031612995
