Year,Stage,Input,Output,Cost
2020,proc,brine,loh,57.88125000000001
2020,proc,brine,lce,57.88125000000001
2020,proc,spod,loh,57.88125000000001
2020,proc,spod,lce,57.88125000000001
2020,proc,clay,loh,57.88125000000001
2020,proc,clay,lce,57.88125000000001
2021,proc,brine,loh,55.125
2021,proc,brine,lce,55.125
2021,proc,spod,loh,55.125
2021,proc,spod,lce,55.125
2021,proc,clay,loh,55.125
2021,proc,clay,lce,55.125
2022,proc,brine,loh,52.5
2022,proc,brine,lce,52.5
2022,proc,spod,loh,52.5
2022,proc,spod,lce,52.5
2022,proc,clay,loh,52.5
2022,proc,clay,lce,52.5
2023,proc,brine,loh,50
2023,proc,brine,lce,50
2023,proc,spod,loh,50
2023,proc,spod,lce,50
2023,proc,clay,loh,50
2023,proc,clay,lce,50
2024,proc,brine,loh,47.61904761904762
2024,proc,brine,lce,47.61904761904762
2024,proc,spod,loh,47.61904761904762
2024,proc,spod,lce,47.61904761904762
2024,proc,clay,loh,47.61904761904762
2024,proc,clay,lce,47.61904761904762
2025,proc,brine,loh,45.35147392290249
2025,proc,brine,lce,45.35147392290249
2025,proc,spod,loh,45.35147392290249
2025,proc,spod,lce,45.35147392290249
2025,proc,clay,loh,45.35147392290249
2025,proc,clay,lce,45.35147392290249
2026,proc,brine,loh,43.1918799265738
2026,proc,brine,lce,43.1918799265738
2026,proc,spod,loh,43.1918799265738
2026,proc,spod,lce,43.1918799265738
2026,proc,clay,loh,43.1918799265738
2026,proc,clay,lce,43.1918799265738
2027,proc,brine,loh,41.1351237395941
2027,proc,brine,lce,41.1351237395941
2027,proc,spod,loh,41.1351237395941
2027,proc,spod,lce,41.1351237395941
2027,proc,clay,loh,41.1351237395941
2027,proc,clay,lce,41.1351237395941
2028,proc,brine,loh,39.176308323422944
2028,proc,brine,lce,39.176308323422944
2028,proc,spod,loh,39.176308323422944
2028,proc,spod,lce,39.176308323422944
2028,proc,clay,loh,39.176308323422944
2028,proc,clay,lce,39.176308323422944
2029,proc,brine,loh,37.31076983183139
2029,proc,brine,lce,37.31076983183139
2029,proc,spod,loh,37.31076983183139
2029,proc,spod,lce,37.31076983183139
2029,proc,clay,loh,37.31076983183139
2029,proc,clay,lce,37.31076983183139
2030,proc,brine,loh,35.53406650650607
2030,proc,brine,lce,35.53406650650607
2030,proc,spod,loh,35.53406650650607
2030,proc,spod,lce,35.53406650650607
2030,proc,clay,loh,35.53406650650607
2030,proc,clay,lce,35.53406650650607
2031,proc,brine,loh,33.84196810143436
2031,proc,brine,lce,33.84196810143436
2031,proc,spod,loh,33.84196810143436
2031,proc,spod,lce,33.84196810143436
2031,proc,clay,loh,33.84196810143436
2031,proc,clay,lce,33.84196810143436
2032,proc,brine,loh,32.23044581088986
2032,proc,brine,lce,32.23044581088986
2032,proc,spod,loh,32.23044581088986
2032,proc,spod,lce,32.23044581088986
2032,proc,clay,loh,32.23044581088986
2032,proc,clay,lce,32.23044581088986
2033,proc,brine,loh,30.695662677037966
2033,proc,brine,lce,30.695662677037966
2033,proc,spod,loh,30.695662677037966
2033,proc,spod,lce,30.695662677037966
2033,proc,clay,loh,30.695662677037966
2033,proc,clay,lce,30.695662677037966
2034,proc,brine,loh,29.23396445432187
2034,proc,brine,lce,29.23396445432187
2034,proc,spod,loh,29.23396445432187
2034,proc,spod,lce,29.23396445432187
2034,proc,clay,loh,29.23396445432187
2034,proc,clay,lce,29.23396445432187
2035,proc,brine,loh,27.841870908877976
2035,proc,brine,lce,27.841870908877976
2035,proc,spod,loh,27.841870908877976
2035,proc,spod,lce,27.841870908877976
2035,proc,clay,loh,27.841870908877976
2035,proc,clay,lce,27.841870908877976
2036,proc,brine,loh,26.516067532264735
2036,proc,brine,lce,26.516067532264735
2036,proc,spod,loh,26.516067532264735
2036,proc,spod,lce,26.516067532264735
2036,proc,clay,loh,26.516067532264735
2036,proc,clay,lce,26.516067532264735
2037,proc,brine,loh,25.25339764977594
2037,proc,brine,lce,25.25339764977594
2037,proc,spod,loh,25.25339764977594
2037,proc,spod,lce,25.25339764977594
2037,proc,clay,loh,25.25339764977594
2037,proc,clay,lce,25.25339764977594
2038,proc,brine,loh,24.05085490454851
2038,proc,brine,lce,24.05085490454851
2038,proc,spod,loh,24.05085490454851
2038,proc,spod,lce,24.05085490454851
2038,proc,clay,loh,24.05085490454851
2038,proc,clay,lce,24.05085490454851
2039,proc,brine,loh,22.905576099570013
2039,proc,brine,lce,22.905576099570013
2039,proc,spod,loh,22.905576099570013
2039,proc,spod,lce,22.905576099570013
2039,proc,clay,loh,22.905576099570013
2039,proc,clay,lce,22.905576099570013
2040,proc,brine,loh,21.814834380542866
2040,proc,brine,lce,21.814834380542866
2040,proc,spod,loh,21.814834380542866
2040,proc,spod,lce,21.814834380542866
2040,proc,clay,loh,21.814834380542866
2040,proc,clay,lce,21.814834380542866
2041,proc,brine,loh,20.776032743374156
2041,proc,brine,lce,20.776032743374156
2041,proc,spod,loh,20.776032743374156
2041,proc,spod,lce,20.776032743374156
2041,proc,clay,loh,20.776032743374156
2041,proc,clay,lce,20.776032743374156
2042,proc,brine,loh,19.78669785083253
2042,proc,brine,lce,19.78669785083253
2042,proc,spod,loh,19.78669785083253
2042,proc,spod,lce,19.78669785083253
2042,proc,clay,loh,19.78669785083253
2042,proc,clay,lce,19.78669785083253
2043,proc,brine,loh,18.84447414365003
2043,proc,brine,lce,18.84447414365003
2043,proc,spod,loh,18.84447414365003
2043,proc,spod,lce,18.84447414365003
2043,proc,clay,loh,18.84447414365003
2043,proc,clay,lce,18.84447414365003
2044,proc,brine,loh,17.947118232047647
2044,proc,brine,lce,17.947118232047647
2044,proc,spod,loh,17.947118232047647
2044,proc,spod,lce,17.947118232047647
2044,proc,clay,loh,17.947118232047647
2044,proc,clay,lce,17.947118232047647
2045,proc,brine,loh,17.092493554331096
2045,proc,brine,lce,17.092493554331096
2045,proc,spod,loh,17.092493554331096
2045,proc,spod,lce,17.092493554331096
2045,proc,clay,loh,17.092493554331096
2045,proc,clay,lce,17.092493554331096
2046,proc,brine,loh,16.278565289839133
2046,proc,brine,lce,16.278565289839133
2046,proc,spod,loh,16.278565289839133
2046,proc,spod,lce,16.278565289839133
2046,proc,clay,loh,16.278565289839133
2046,proc,clay,lce,16.278565289839133
2047,proc,brine,loh,15.50339551413251
2047,proc,brine,lce,15.50339551413251
2047,proc,spod,loh,15.50339551413251
2047,proc,spod,lce,15.50339551413251
2047,proc,clay,loh,15.50339551413251
2047,proc,clay,lce,15.50339551413251
2048,proc,brine,loh,14.765138584888104
