Year,Stage,Technology,Demand
2020,rec,loh,0
2021,rec,loh,0
2022,rec,loh,0
2023,rec,loh,0
2024,rec,loh,25.41935703
2025,rec,loh,33.45723954
2026,rec,loh,42.1808966
2027,rec,loh,51.65475581
2028,rec,loh,61.94678775
2029,rec,loh,73.12835125
2030,rec,loh,84.85824719
2031,rec,loh,97.45139902
2032,rec,loh,110.9625112
2033,rec,loh,125.4460566
2034,rec,loh,140.9557139
2035,rec,loh,157.5437546
2036,rec,loh,175.2603906
2037,rec,loh,194.1530925
2038,rec,loh,214.2658936
2039,rec,loh,235.6386949
2040,rec,loh,257.7523367
2041,rec,loh,281.169988
2042,rec,loh,305.9147255
2043,rec,loh,332.0032357
2044,rec,loh,359.4454204
2045,rec,loh,388.2441117
2046,rec,loh,418.3949069
2047,rec,loh,449.8861312
2048,rec,loh,482.698931
2049,rec,loh,516.8074964
2050,rec,loh,552.179405
2051,rec,loh,588.7760767
2052,rec,loh,626.5533254
2053,rec,loh,665.4619891
2054,rec,loh,705.4486196
2055,rec,loh,746.4562121
2056,rec,loh,788.4249532
2057,rec,loh,831.2929702
2058,rec,loh,874.9970619
2059,rec,loh,919.4733987
2060,rec,loh,965.770498
2061,rec,loh,1012.360591
2062,rec,loh,1059.205855
2063,rec,loh,1106.269367
2064,rec,loh,1153.515422
2065,rec,loh,1200.9098
2066,rec,loh,1248.419989
2067,rec,loh,1296.015358
2068,rec,loh,1343.667282
2069,rec,loh,1391.349237
2070,rec,loh,1439.03685
2071,rec,loh,1486.707924
2072,rec,loh,1534.34243
2073,rec,loh,1581.922483
2074,rec,loh,1629.432292
2075,rec,loh,1676.858096
2076,rec,loh,1724.188092
2077,rec,loh,1771.412345
2078,rec,loh,1818.522703
2079,rec,loh,1865.512693
2080,rec,loh,1912.377429
2081,rec,loh,1959.113505
2082,rec,loh,2005.7189
2083,rec,loh,2052.192878
2084,rec,loh,2098.535892
2085,rec,loh,2144.74949
2086,rec,loh,2190.836225
2087,rec,loh,2236.799573
2088,rec,loh,2282.643847
2089,rec,loh,2328.374121
2090,rec,loh,2373.99616
2091,rec,loh,2419.516349
2092,rec,loh,2464.941631
2093,rec,loh,2510.279445
2094,rec,loh,2555.537675
2095,rec,loh,2600.724594
2096,rec,loh,2645.848822
2097,rec,loh,2690.919277
2098,rec,loh,2735.945139
2099,rec,loh,2780.935813
2100,rec,loh,2825.900891
2020,rec,lce,0
2021,rec,lce,0
2022,rec,lce,0
2023,rec,lce,0
2024,rec,lce,12.72376849
2025,rec,lce,16.74716515
2026,rec,lce,21.11382922
2027,rec,lce,25.85601019
2028,rec,lce,31.00773105
2029,rec,lce,36.60471075
2030,rec,lce,42.47616061
2031,rec,lce,48.77971692
2032,rec,lce,55.54276222
2033,rec,lce,62.79256319
2034,rec,lce,70.55598884
2035,rec,lce,78.85920394
2036,rec,lce,87.7273423
2037,rec,lce,97.18416553
2038,rec,lce,107.2517146
2039,rec,lce,117.9499622
2040,rec,lce,129.0190407
2041,rec,lce,140.7408468
2042,rec,lce,153.1269316
2043,rec,lce,166.1856476
2044,rec,lce,179.9219512
2045,rec,lce,194.33726
2046,rec,lce,209.4293702
2047,rec,lce,225.1924379
2048,rec,lce,241.617026
2049,rec,lce,258.6902152
2050,rec,lce,276.3957761
2051,rec,lce,294.7143976
2052,rec,lce,313.6239619
2053,rec,lce,333.0998608
2054,rec,lce,353.1153407
2055,rec,lce,373.6418675
2056,rec,lce,394.6495014
2057,rec,lce,416.1072717
2058,rec,lce,437.9835428
2059,rec,lce,460.2463644
2060,rec,lce,483.4205766
2061,rec,lce,506.7414479
2062,rec,lce,530.1900464
2063,rec,lce,553.7478898
2064,rec,lce,577.3971056
2065,rec,lce,601.1205654
2066,rec,lce,624.9019952
2067,rec,lce,648.7260617
2068,rec,lce,672.5784373
2069,rec,lce,696.4458448
2070,rec,lce,720.3160846
2071,rec,lce,744.1780456
2072,rec,lce,768.0217026
2073,rec,lce,791.838103
2074,rec,lce,815.6193421
2075,rec,lce,839.3585324
2076,rec,lce,863.0497652
2077,rec,lce,886.6880684
2078,rec,lce,910.2693606
2079,rec,lce,933.7904024
2080,rec,lce,957.2487472
2081,rec,lce,980.6426909
2082,rec,lce,1003.971222
2083,rec,lce,1027.233972
2084,rec,lce,1050.431167
2085,rec,lce,1073.563582
2086,rec,lce,1096.632495
2087,rec,lce,1119.639647
2088,rec,lce,1142.587195
2089,rec,lce,1165.477681
2090,rec,lce,1188.313989
2091,rec,lce,1211.099315
2092,rec,lce,1233.837135
2093,rec,lce,1256.531173
2094,rec,lce,1279.185375
2095,rec,lce,1301.803881
2096,rec,lce,1324.391008
2097,rec,lce,1346.951218
2098,rec,lce,1369.489107
2099,rec,lce,1392.009382
2100,rec,lce,1414.516845
