Year,Stage,Input,Output,Cost
2020,rec,bev_nmc,loh,578.8125000000001
2020,rec,bev_nmc,lce,578.8125000000001
2020,rec,phev_nmc,loh,578.8125000000001
2020,rec,phev_nmc,lce,578.8125000000001
2020,rec,bev_lfp,loh,578.8125000000001
2020,rec,bev_lfp,lce,578.8125000000001
2020,rec,phev_lfp,loh,578.8125000000001
2020,rec,phev_lfp,lce,578.8125000000001
2021,rec,bev_nmc,loh,551.25
2021,rec,bev_nmc,lce,551.25
2021,rec,phev_nmc,loh,551.25
2021,rec,phev_nmc,lce,551.25
2021,rec,bev_lfp,loh,551.25
2021,rec,bev_lfp,lce,551.25
2021,rec,phev_lfp,loh,551.25
2021,rec,phev_lfp,lce,551.25
2022,rec,bev_nmc,loh,525
2022,rec,bev_nmc,lce,525
2022,rec,phev_nmc,loh,525
2022,rec,phev_nmc,lce,525
2022,rec,bev_lfp,loh,525
2022,rec,bev_lfp,lce,525
2022,rec,phev_lfp,loh,525
2022,rec,phev_lfp,lce,525
2023,rec,bev_nmc,loh,500
2023,rec,bev_nmc,lce,500
2023,rec,phev_nmc,loh,500
2023,rec,phev_nmc,lce,500
2023,rec,bev_lfp,loh,500
2023,rec,bev_lfp,lce,500
2023,rec,phev_lfp,loh,500
2023,rec,phev_lfp,lce,500
2024,rec,bev_nmc,loh,476.19047619047615
2024,rec,bev_nmc,lce,476.19047619047615
2024,rec,phev_nmc,loh,476.19047619047615
2024,rec,phev_nmc,lce,476.19047619047615
2024,rec,bev_lfp,loh,476.19047619047615
2024,rec,bev_lfp,lce,476.19047619047615
2024,rec,phev_lfp,loh,476.19047619047615
2024,rec,phev_lfp,lce,476.19047619047615
2025,rec,bev_nmc,loh,453.51473922902494
2025,rec,bev_nmc,lce,453.51473922902494
2025,rec,phev_nmc,loh,453.51473922902494
2025,rec,phev_nmc,lce,453.51473922902494
2025,rec,bev_lfp,loh,453.51473922902494
2025,rec,bev_lfp,lce,453.51473922902494
2025,rec,phev_lfp,loh,453.51473922902494
2025,rec,phev_lfp,lce,453.51473922902494
2026,rec,bev_nmc,loh,431.918799265738
2026,rec,bev_nmc,lce,431.918799265738
2026,rec,phev_nmc,loh,431.918799265738
2026,rec,phev_nmc,lce,431.918799265738
2026,rec,bev_lfp,loh,431.918799265738
2026,rec,bev_lfp,lce,431.918799265738
2026,rec,phev_lfp,loh,431.918799265738
2026,rec,phev_lfp,lce,431.918799265738
2027,rec,bev_nmc,loh,411.351237395941
2027,rec,bev_nmc,lce,411.351237395941
2027,rec,phev_nmc,loh,411.351237395941
2027,rec,phev_nmc,lce,411.351237395941
2027,rec,bev_lfp,loh,411.351237395941
2027,rec,bev_lfp,lce,411.351237395941
2027,rec,phev_lfp,loh,411.351237395941
2027,rec,phev_lfp,lce,411.351237395941
2028,rec,bev_nmc,loh,391.7630832342295
2028,rec,bev_nmc,lce,391.7630832342295
2028,rec,phev_nmc,loh,391.7630832342295
2028,rec,phev_nmc,lce,391.7630832342295
2028,rec,bev_lfp,loh,391.7630832342295
2028,rec,bev_lfp,lce,391.7630832342295
2028,rec,phev_lfp,loh,391.7630832342295
2028,rec,phev_lfp,lce,391.7630832342295
2029,rec,bev_nmc,loh,373.10769831831385
2029,rec,bev_nmc,lce,373.10769831831385
2029,rec,phev_nmc,loh,373.10769831831385
2029,rec,phev_nmc,lce,373.10769831831385
2029,rec,bev_lfp,loh,373.10769831831385
2029,rec,bev_lfp,lce,373.10769831831385
2029,rec,phev_lfp,loh,373.10769831831385
2029,rec,phev_lfp,lce,373.10769831831385
2030,rec,bev_nmc,loh,355.3406650650607
2030,rec,bev_nmc,lce,355.3406650650607
2030,rec,phev_nmc,loh,355.3406650650607
2030,rec,phev_nmc,lce,355.3406650650607
2030,rec,bev_lfp,loh,355.3406650650607
2030,rec,bev_lfp,lce,355.3406650650607
2030,rec,phev_lfp,loh,355.3406650650607
2030,rec,phev_lfp,lce,355.3406650650607
2031,rec,bev_nmc,loh,338.4196810143436
2031,rec,bev_nmc,lce,338.4196810143436
2031,rec,phev_nmc,loh,338.4196810143436
2031,rec,phev_nmc,lce,338.4196810143436
2031,rec,bev_lfp,loh,338.4196810143436
2031,rec,bev_lfp,lce,338.4196810143436
2031,rec,phev_lfp,loh,338.4196810143436
2031,rec,phev_lfp,lce,338.4196810143436
2032,rec,bev_nmc,loh,322.30445810889864
2032,rec,bev_nmc,lce,322.30445810889864
2032,rec,phev_nmc,loh,322.30445810889864
2032,rec,phev_nmc,lce,322.30445810889864
2032,rec,bev_lfp,loh,322.30445810889864
2032,rec,bev_lfp,lce,322.30445810889864
2032,rec,phev_lfp,loh,322.30445810889864
2032,rec,phev_lfp,lce,322.30445810889864
2033,rec,bev_nmc,loh,306.95662677037967
2033,rec,bev_nmc,lce,306.95662677037967
2033,rec,phev_nmc,loh,306.95662677037967
2033,rec,phev_nmc,lce,306.95662677037967
2033,rec,bev_lfp,loh,306.95662677037967
2033,rec,bev_lfp,lce,306.95662677037967
2033,rec,phev_lfp,loh,306.95662677037967
2033,rec,phev_lfp,lce,306.95662677037967
2034,rec,bev_nmc,loh,292.3396445432187
2034,rec,bev_nmc,lce,292.3396445432187
2034,rec,phev_nmc,loh,292.3396445432187
2034,rec,phev_nmc,lce,292.3396445432187
2034,rec,bev_lfp,loh,292.3396445432187
2034,rec,bev_lfp,lce,292.3396445432187
2034,rec,phev_lfp,loh,292.3396445432187
2034,rec,phev_lfp,lce,292.3396445432187
2035,rec,bev_nmc,loh,278.41870908877974
2035,rec,bev_nmc,lce,278.41870908877974
2035,rec,phev_nmc,loh,278.41870908877974
2035,rec,phev_nmc,lce,278.41870908877974
2035,rec,bev_lfp,loh,278.41870908877974
2035,rec,bev_lfp,lce,278.41870908877974
2035,rec,phev_lfp,loh,278.41870908877974
2035,rec,phev_lfp,lce,278.41870908877974
2036,rec,bev_nmc,loh,265.16067532264736
2036,rec,bev_nmc,lce,265.16067532264736
2036,rec,phev_nmc,loh,265.16067532264736
2036,rec,phev_nmc,lce,265.16067532264736
2036,rec,bev_lfp,loh,265.16067532264736
2036,rec,bev_lfp,lce,265.16067532264736
2036,rec,phev_lfp,loh,265.16067532264736
2036,rec,phev_lfp,lce,265.16067532264736
2037,rec,bev_nmc,loh,252.53397649775943
2037,rec,bev_nmc,lce,252.53397649775943
2037,rec,phev_nmc,loh,252.53397649775943
2037,rec,phev_nmc,lce,252.53397649775943
2037,rec,bev_lfp,loh,252.53397649775943
2037,rec,bev_lfp,lce,252.53397649775943
2037,rec,phev_lfp,loh,252.53397649775943
2037,rec,phev_lfp,lce,252.53397649775943
2038,rec,bev_nmc,loh,240.5085490454851
2038,rec,bev_nmc,lce,240.5085490454851
2038,rec,phev_nmc,loh,240.5085490454851
2038,rec,phev_nmc,lce,240.5085490454851
2038,rec,bev_lfp,loh,240.5085490454851
2038,rec,bev_lfp,lce,240.5085490454851
2038,rec,phev_lfp,loh,240.5085490454851
2038,rec,phev_lfp,lce,240.5085490454851
2039,rec,bev_nmc,loh,229.0557609957001
2039,rec,bev_nmc,lce,229.0557609957001
2039,rec,phev_nmc,loh,229.0557609957001
2039,rec,phev_nmc,lce,229.0557609957001
2039,rec,bev_lfp,loh,229.0557609957001
2039,rec,bev_lfp,lce,229.0557609957001
2039,rec,phev_lfp,loh,229.0557609957001
2039,rec,phev_lfp,lce,229.0557609957001
2040,rec,bev_nmc,loh,218.14834380542865
2040,rec,bev_nmc,lce,218.14834380542865
2040,rec,phev_nmc,loh,218.14834380542865
2040,rec,phev_nmc,lce,218.14834380542865
2040,rec,bev_lfp,loh,218.14834380542865
2040,rec,bev_lfp,lce,218.14834380542865
2040,rec,phev_lfp,loh,218.14834380542865
2040,rec,phev_lfp,lce,218.14834380542865
2041,rec,bev_nmc,loh,207.76032743374157
2041,rec,bev_nmc,lce,207.76032743374157
2041,rec,phev_nmc,loh,207.76032743374157
2041,rec,phev_nmc,lce,207.76032743374157
2041,rec,bev_lfp,loh,207.76032743374157
2041,rec,bev_lfp,lce,207.76032743374157
2041,rec,phev_lfp,loh,207.76032743374157
2041,rec,phev_lfp,lce,207.76032743374157
2042,rec,bev_nmc,loh,197.8669785083253
2042,rec,bev_nmc,lce,197.8669785083253
2042,rec,phev_nmc,loh,197.8669785083253
2042,rec,phev_nmc,lce,197.8669785083253
2042,rec,bev_lfp,loh,197.8669785083253
2042,rec,bev_lfp,lce,197.8669785083253
2042,rec,phev_lfp,loh,197.8669785083253
2042,rec,phev_lfp,lce,197.8669785083253
2043,rec,bev_nmc,loh,188.4447414365003
2043,rec,bev_nmc,lce,188.4447414365003
2043,rec,phev_nmc,loh,188.4447414365003
2043,rec,phev_nmc,lce,188.4447414365003
2043,rec,bev_lfp,loh,188.4447414365003
2043,rec,bev_lfp,lce,188.4447414365003
2043,rec,phev_lfp,loh,188.4447414365003
2043,rec,phev_lfp,lce,188.4447414365003
2044,rec,bev_nmc,loh,179.4711823204765
2044,rec,bev_nmc,lce,179.4711823204765
2044,rec,phev_nmc,loh,179.4711823204765
2044,rec,phev_nmc,lce,179.4711823204765
2044,rec,bev_lfp,loh,179.4711823204765
2044,rec,bev_lfp,lce,179.4711823204765
2044,rec,phev_lfp,loh,179.4711823204765
2044,rec,phev_lfp,lce,179.4711823204765
2045,rec,bev_nmc,loh,170.92493554331094
2045,rec,bev_nmc,lce,170.92493554331094
2045,rec,phev_nmc,loh,170.92493554331094
2045,rec,phev_nmc,lce,170.92493554331094
2045,rec,bev_lfp,loh,170.92493554331094
2045,rec,bev_lfp,lce,170.92493554331094
2045,rec,phev_lfp,loh,170.92493554331094
2045,rec,phev_lfp,lce,170.92493554331094
2046,rec,bev_nmc,loh,162.78565289839133
2046,rec,bev_nmc,lce,162.78565289839133
2046,rec,phev_nmc,loh,162.78565289839133
2046,rec,phev_nmc,lce,162.78565289839133
2046,rec,bev_lfp,loh,162.78565289839133
2046,rec,bev_lfp,lce,162.78565289839133
2046,rec,phev_lfp,loh,162.78565289839133
2046,rec,phev_lfp,lce,162.78565289839133
2047,rec,bev_nmc,loh,155.0339551413251
2047,rec,bev_nmc,lce,155.0339551413251
2047,rec,phev_nmc,loh,155.0339551413251
2047,rec,phev_nmc,lce,155.0339551413251
2047,rec,bev_lfp,loh,155.0339551413251
2047,rec,bev_lfp,lce,155.0339551413251
2047,rec,phev_lfp,loh,155.0339551413251
2047,rec,phev_lfp,lce,155.0339551413251
2048,rec,bev_nmc,loh,147.65138584888106
2048,rec,bev_nmc,lce,147.65138584888106
2048,rec,phev_nmc,loh,147.65138584888106
2048,rec,phev_nmc,lce,147.65138584888106
2048,rec,bev_lfp,loh,147.65138584888106
2048,rec,bev_lfp,lce,147.65138584888106
2048,rec,phev_lfp,loh,147.65138584888106
2048,rec,phev_lfp,lce,147.65138584888106
