Year,Variable,Stage,Input,Output,CO2
2020,rec_prod_CO2_lce,rec,bev_lfp,lce,1.7052225492951805
2020,rec_prod_CO2_lce,rec,phev_lfp,lce,1.7052225492951805
2020,rec_prod_CO2_loh,rec,bev_nmc,loh,1.991631789702746
2020,rec_prod_CO2_loh,rec,phev_nmc,loh,1.991631789702746
2021,rec_prod_CO2_lce,rec,bev_lfp,lce,1.6199614218304215
2021,rec_prod_CO2_lce,rec,phev_lfp,lce,1.6199614218304215
2021,rec_prod_CO2_loh,rec,bev_nmc,loh,1.8920502002176085
2021,rec_prod_CO2_loh,rec,phev_nmc,loh,1.8920502002176085
2022,rec_prod_CO2_lce,rec,bev_lfp,lce,1.5389633507389002
2022,rec_prod_CO2_lce,rec,phev_lfp,lce,1.5389633507389002
2022,rec_prod_CO2_loh,rec,bev_nmc,loh,1.797447690206728
2022,rec_prod_CO2_loh,rec,phev_nmc,loh,1.797447690206728
2023,rec_prod_CO2_lce,rec,bev_lfp,lce,1.4620151832019552
2023,rec_prod_CO2_lce,rec,phev_lfp,lce,1.4620151832019552
2023,rec_prod_CO2_loh,rec,bev_nmc,loh,1.7075753056963916
2023,rec_prod_CO2_loh,rec,phev_nmc,loh,1.7075753056963916
2024,rec_prod_CO2_lce,rec,bev_lfp,lce,1.3889144240418574
2024,rec_prod_CO2_lce,rec,phev_lfp,lce,1.3889144240418574
2024,rec_prod_CO2_loh,rec,bev_nmc,loh,1.622196540411572
2024,rec_prod_CO2_loh,rec,phev_nmc,loh,1.622196540411572
2025,rec_prod_CO2_lce,rec,bev_lfp,lce,1.3194687028397645
2025,rec_prod_CO2_lce,rec,phev_lfp,lce,1.3194687028397645
2025,rec_prod_CO2_loh,rec,bev_nmc,loh,1.5410867133909933
2025,rec_prod_CO2_loh,rec,phev_nmc,loh,1.5410867133909933
2026,rec_prod_CO2_lce,rec,bev_lfp,lce,1.2534952676977762
2026,rec_prod_CO2_lce,rec,phev_lfp,lce,1.2534952676977762
2026,rec_prod_CO2_loh,rec,bev_nmc,loh,1.4640323777214435
2026,rec_prod_CO2_loh,rec,phev_nmc,loh,1.4640323777214435
2027,rec_prod_CO2_lce,rec,bev_lfp,lce,1.1908205043128874
2027,rec_prod_CO2_lce,rec,phev_lfp,lce,1.1908205043128874
2027,rec_prod_CO2_loh,rec,bev_nmc,loh,1.3908307588353714
2027,rec_prod_CO2_loh,rec,phev_nmc,loh,1.3908307588353714
2028,rec_prod_CO2_lce,rec,bev_lfp,lce,1.1312794790972431
2028,rec_prod_CO2_lce,rec,phev_lfp,lce,1.1312794790972431
2028,rec_prod_CO2_loh,rec,bev_nmc,loh,1.321289220893603
2028,rec_prod_CO2_loh,rec,phev_nmc,loh,1.321289220893603
2029,rec_prod_CO2_lce,rec,bev_lfp,lce,1.074715505142381
2029,rec_prod_CO2_lce,rec,phev_lfp,lce,1.074715505142381
2029,rec_prod_CO2_loh,rec,bev_nmc,loh,1.2552247598489228
2029,rec_prod_CO2_loh,rec,phev_nmc,loh,1.2552247598489228
2030,rec_prod_CO2_lce,rec,bev_lfp,lce,1.0209797298852619
2030,rec_prod_CO2_lce,rec,phev_lfp,lce,1.0209797298852619
2030,rec_prod_CO2_loh,rec,bev_nmc,loh,1.1924635218564765
2030,rec_prod_CO2_loh,rec,phev_nmc,loh,1.1924635218564765
2031,rec_prod_CO2_lce,rec,bev_lfp,lce,0.9699307433909988
2031,rec_prod_CO2_lce,rec,phev_lfp,lce,0.9699307433909988
2031,rec_prod_CO2_loh,rec,bev_nmc,loh,1.132840345763653
2031,rec_prod_CO2_loh,rec,phev_nmc,loh,1.132840345763653
2032,rec_prod_CO2_lce,rec,bev_lfp,lce,0.9214342062214488
2032,rec_prod_CO2_lce,rec,phev_lfp,lce,0.9214342062214488
2032,rec_prod_CO2_loh,rec,bev_nmc,loh,1.0761983284754701
2032,rec_prod_CO2_loh,rec,phev_nmc,loh,1.0761983284754701
2033,rec_prod_CO2_lce,rec,bev_lfp,lce,0.8753624959103764
2033,rec_prod_CO2_lce,rec,phev_lfp,lce,0.8753624959103764
2033,rec_prod_CO2_loh,rec,bev_nmc,loh,1.0223884120516966
2033,rec_prod_CO2_loh,rec,phev_nmc,loh,1.0223884120516966
2034,rec_prod_CO2_lce,rec,bev_lfp,lce,0.8315943711148576
2034,rec_prod_CO2_lce,rec,phev_lfp,lce,0.8315943711148576
2034,rec_prod_CO2_loh,rec,bev_nmc,loh,0.9712689914491117
2034,rec_prod_CO2_loh,rec,phev_nmc,loh,0.9712689914491117
2035,rec_prod_CO2_lce,rec,bev_lfp,lce,0.7900146525591146
2035,rec_prod_CO2_lce,rec,phev_lfp,lce,0.7900146525591146
