Year,Variable,Stage,Input,Output,Cost
2020,rec_prod_cost_lce,rec,bev_lfp,lce,10.801574573553
2020,rec_prod_cost_lce,rec,phev_lfp,lce,10.801574573553
2020,rec_prod_cost_loh,rec,bev_nmc,loh,10.801574573553
2020,rec_prod_cost_loh,rec,phev_nmc,loh,10.801574573553
2021,rec_prod_cost_lce,rec,bev_lfp,lce,9.77285318559557
2021,rec_prod_cost_lce,rec,phev_lfp,lce,9.77285318559557
2021,rec_prod_cost_loh,rec,bev_nmc,loh,9.77285318559557
2021,rec_prod_cost_loh,rec,phev_nmc,loh,9.77285318559557
2022,rec_prod_cost_lce,rec,bev_lfp,lce,8.842105263157896
2022,rec_prod_cost_lce,rec,phev_lfp,lce,8.842105263157896
2022,rec_prod_cost_loh,rec,bev_nmc,loh,8.842105263157896
2022,rec_prod_cost_loh,rec,phev_nmc,loh,8.842105263157896
2023,rec_prod_cost_lce,rec,bev_lfp,lce,8
2023,rec_prod_cost_lce,rec,phev_lfp,lce,8
2023,rec_prod_cost_loh,rec,bev_nmc,loh,8
2023,rec_prod_cost_loh,rec,phev_nmc,loh,8
2024,rec_prod_cost_lce,rec,bev_lfp,lce,7.238095238095237
2024,rec_prod_cost_lce,rec,phev_lfp,lce,7.238095238095237
2024,rec_prod_cost_loh,rec,bev_nmc,loh,7.238095238095237
2024,rec_prod_cost_loh,rec,phev_nmc,loh,7.238095238095237
2025,rec_prod_cost_lce,rec,bev_lfp,lce,6.8934240362811785
2025,rec_prod_cost_lce,rec,phev_lfp,lce,6.8934240362811785
2025,rec_prod_cost_loh,rec,bev_nmc,loh,6.8934240362811785
2025,rec_prod_cost_loh,rec,phev_nmc,loh,6.8934240362811785
2026,rec_prod_cost_lce,rec,bev_lfp,lce,6.565165748839217
2026,rec_prod_cost_lce,rec,phev_lfp,lce,6.565165748839217
2026,rec_prod_cost_loh,rec,bev_nmc,loh,6.565165748839217
2026,rec_prod_cost_loh,rec,phev_nmc,loh,6.565165748839217
2027,rec_prod_cost_lce,rec,bev_lfp,lce,6.2525388084183025
