Year,Stage,Input,Output,CO2
2020,rec,bev_nmc,loh,0.1
2020,rec,bev_nmc,lce,0.1
2020,rec,phev_nmc,loh,0.1
2020,rec,phev_nmc,lce,0.1
2020,rec,bev_lfp,loh,0.1
2020,rec,bev_lfp,lce,0.1
2020,rec,phev_lfp,loh,0.1
2020,rec,phev_lfp,lce,0.1
2021,rec,bev_nmc,loh,0.1
2021,rec,bev_nmc,lce,0.1
2021,rec,phev_nmc,loh,0.1
2021,rec,phev_nmc,lce,0.1
2021,rec,bev_lfp,loh,0.1
2021,rec,bev_lfp,lce,0.1
2021,rec,phev_lfp,loh,0.1
2021,rec,phev_lfp,lce,0.1
2022,rec,bev_nmc,loh,0.1
2022,rec,bev_nmc,lce,0.1
2022,rec,phev_nmc,loh,0.1
2022,rec,phev_nmc,lce,0.1
2022,rec,bev_lfp,loh,0.1
2022,rec,bev_lfp,lce,0.1
2022,rec,phev_lfp,loh,0.1
2022,rec,phev_lfp,lce,0.1
2023,rec,bev_nmc,loh,0.1
2023,rec,bev_nmc,lce,0.1
2023,rec,phev_nmc,loh,0.1
2023,rec,phev_nmc,lce,0.1
2023,rec,bev_lfp,loh,0.1
2023,rec,bev_lfp,lce,0.1
2023,rec,phev_lfp,loh,0.1
2023,rec,phev_lfp,lce,0.1
2024,rec,bev_nmc,loh,0.1
2024,rec,bev_nmc,lce,0.1
2024,rec,phev_nmc,loh,0.1
2024,rec,phev_nmc,lce,0.1
2024,rec,bev_lfp,loh,0.1
2024,rec,bev_lfp,lce,0.1
2024,rec,phev_lfp,loh,0.1
2024,rec,phev_lfp,lce,0.1
2025,rec,bev_nmc,loh,0.1
2025,rec,bev_nmc,lce,0.1
2025,rec,phev_nmc,loh,0.1
2025,rec,phev_nmc,lce,0.1
2025,rec,bev_lfp,loh,0.1
2025,rec,bev_lfp,lce,0.1
2025,rec,phev_lfp,loh,0.1
2025,rec,phev_lfp,lce,0.1
2026,rec,bev_nmc,loh,0.1
2026,rec,bev_nmc,lce,0.1
2026,rec,phev_nmc,loh,0.1
2026,rec,phev_nmc,lce,0.1
2026,rec,bev_lfp,loh,0.1
2026,rec,bev_lfp,lce,0.1
2026,rec,phev_lfp,loh,0.1
2026,rec,phev_lfp,lce,0.1
2027,rec,bev_nmc,loh,0.1
2027,rec,bev_nmc,lce,0.1
2027,rec,phev_nmc,loh,0.1
2027,rec,phev_nmc,lce,0.1
2027,rec,bev_lfp,loh,0.1
2027,rec,bev_lfp,lce,0.1
2027,rec,phev_lfp,loh,0.1
2027,rec,phev_lfp,lce,0.1
2028,rec,bev_nmc,loh,0.1
2028,rec,bev_nmc,lce,0.1
2028,rec,phev_nmc,loh,0.1
2028,rec,phev_nmc,lce,0.1
2028,rec,bev_lfp,loh,0.1
2028,rec,bev_lfp,lce,0.1
2028,rec,phev_lfp,loh,0.1
2028,rec,phev_lfp,lce,0.1
2029,rec,bev_nmc,loh,0.1
2029,rec,bev_nmc,lce,0.1
2029,rec,phev_nmc,loh,0.1
2029,rec,phev_nmc,lce,0.1
2029,rec,bev_lfp,loh,0.1
2029,rec,bev_lfp,lce,0.1
2029,rec,phev_lfp,loh,0.1
2029,rec,phev_lfp,lce,0.1
2030,rec,bev_nmc,loh,0.1
2030,rec,bev_nmc,lce,0.1
2030,rec,phev_nmc,loh,0.1
2030,rec,phev_nmc,lce,0.1
2030,rec,bev_lfp,loh,0.1
2030,rec,bev_lfp,lce,0.1
2030,rec,phev_lfp,loh,0.1
2030,rec,phev_lfp,lce,0.1
2031,rec,bev_nmc,loh,0.1
2031,rec,bev_nmc,lce,0.1
2031,rec,phev_nmc,loh,0.1
2031,rec,phev_nmc,lce,0.1
2031,rec,bev_lfp,loh,0.1
2031,rec,bev_lfp,lce,0.1
2031,rec,phev_lfp,loh,0.1
2031,rec,phev_lfp,lce,0.1
2032,rec,bev_nmc,loh,0.1
2032,rec,bev_nmc,lce,0.1
2032,rec,phev_nmc,loh,0.1
2032,rec,phev_nmc,lce,0.1
2032,rec,bev_lfp,loh,0.1
2032,rec,bev_lfp,lce,0.1
2032,rec,phev_lfp,loh,0.1
2032,rec,phev_lfp,lce,0.1
2033,rec,bev_nmc,loh,0.1
2033,rec,bev_nmc,lce,0.1
2033,rec,phev_nmc,loh,0.1
2033,rec,phev_nmc,lce,0.1
2033,rec,bev_lfp,loh,0.1
2033,rec,bev_lfp,lce,0.1
2033,rec,phev_lfp,loh,0.1
2033,rec,phev_lfp,lce,0.1
2034,rec,bev_nmc,loh,0.1
2034,rec,bev_nmc,lce,0.1
2034,rec,phev_nmc,loh,0.1
2034,rec,phev_nmc,lce,0.1
2034,rec,bev_lfp,loh,0.1
2034,rec,bev_lfp,lce,0.1
2034,rec,phev_lfp,loh,0.1
2034,rec,phev_lfp,lce,0.1
2035,rec,bev_nmc,loh,0.1
2035,rec,bev_nmc,lce,0.1
2035,rec,phev_nmc,loh,0.1
2035,rec,phev_nmc,lce,0.1
2035,rec,bev_lfp,loh,0.1
2035,rec,bev_lfp,lce,0.1
2035,rec,phev_lfp,loh,0.1
2035,rec,phev_lfp,lce,0.1
2036,rec,bev_nmc,loh,0.1
2036,rec,bev_nmc,lce,0.1
2036,rec,phev_nmc,loh,0.1
2036,rec,phev_nmc,lce,0.1
2036,rec,bev_lfp,loh,0.1
2036,rec,bev_lfp,lce,0.1
2036,rec,phev_lfp,loh,0.1
2036,rec,phev_lfp,lce,0.1
2037,rec,bev_nmc,loh,0.1
2037,rec,bev_nmc,lce,0.1
2037,rec,phev_nmc,loh,0.1
2037,rec,phev_nmc,lce,0.1
2037,rec,bev_lfp,loh,0.1
2037,rec,bev_lfp,lce,0.1
2037,rec,phev_lfp,loh,0.1
2037,rec,phev_lfp,lce,0.1
2038,rec,bev_nmc,loh,0.1
2038,rec,bev_nmc,lce,0.1
2038,rec,phev_nmc,loh,0.1
2038,rec,phev_nmc,lce,0.1
2038,rec,bev_lfp,loh,0.1
2038,rec,bev_lfp,lce,0.1
2038,rec,phev_lfp,loh,0.1
2038,rec,phev_lfp,lce,0.1
2039,rec,bev_nmc,loh,0.1
2039,rec,bev_nmc,lce,0.1
2039,rec,phev_nmc,loh,0.1
2039,rec,phev_nmc,lce,0.1
2039,rec,bev_lfp,loh,0.1
2039,rec,bev_lfp,lce,0.1
2039,rec,phev_lfp,loh,0.1
2039,rec,phev_lfp,lce,0.1
2040,rec,bev_nmc,loh,0.1
2040,rec,bev_nmc,lce,0.1
2040,rec,phev_nmc,loh,0.1
2040,rec,phev_nmc,lce,0.1
2040,rec,bev_lfp,loh,0.1
2040,rec,bev_lfp,lce,0.1
2040,rec,phev_lfp,loh,0.1
2040,rec,phev_lfp,lce,0.1
2041,rec,bev_nmc,loh,0.1
2041,rec,bev_nmc,lce,0.1
2041,rec,phev_nmc,loh,0.1
2041,rec,phev_nmc,lce,0.1
2041,rec,bev_lfp,loh,0.1
2041,rec,bev_lfp,lce,0.1
2041,rec,phev_lfp,loh,0.1
2041,rec,phev_lfp,lce,0.1
2042,rec,bev_nmc,loh,0.1
2042,rec,bev_nmc,lce,0.1
2042,rec,phev_nmc,loh,0.1
2042,rec,phev_nmc,lce,0.1
2042,rec,bev_lfp,loh,0.1
2042,rec,bev_lfp,lce,0.1
2042,rec,phev_lfp,loh,0.1
2042,rec,phev_lfp,lce,0.1
2043,rec,bev_nmc,loh,0.1
2043,rec,bev_nmc,lce,0.1
2043,rec,phev_nmc,loh,0.1
2043,rec,phev_nmc,lce,0.1
2043,rec,bev_lfp,loh,0.1
2043,rec,bev_lfp,lce,0.1
2043,rec,phev_lfp,loh,0.1
2043,rec,phev_lfp,lce,0.1
2044,rec,bev_nmc,loh,0.1
2044,rec,bev_nmc,lce,0.1
2044,rec,phev_nmc,loh,0.1
2044,rec,phev_nmc,lce,0.1
2044,rec,bev_lfp,loh,0.1
2044,rec,bev_lfp,lce,0.1
2044,rec,phev_lfp,loh,0.1
2044,rec,phev_lfp,lce,0.1
2045,rec,bev_nmc,loh,0.1
2045,rec,bev_nmc,lce,0.1
2045,rec,phev_nmc,loh,0.1
2045,rec,phev_nmc,lce,0.1
2045,rec,bev_lfp,loh,0.1
2045,rec,bev_lfp,lce,0.1
2045,rec,phev_lfp,loh,0.1
2045,rec,phev_lfp,lce,0.1
2046,rec,bev_nmc,loh,0.1
2046,rec,bev_nmc,lce,0.1
2046,rec,phev_nmc,loh,0.1
2046,rec,phev_nmc,lce,0.1
2046,rec,bev_lfp,loh,0.1
2046,rec,bev_lfp,lce,0.1
2046,rec,phev_lfp,loh,0.1
2046,rec,phev_lfp,lce,0.1
2047,rec,bev_nmc,loh,0.1
2047,rec,bev_nmc,lce,0.1
2047,rec,phev_nmc,loh,0.1
2047,rec,phev_nmc,lce,0.1
2047,rec,bev_lfp,loh,0.1
2047,rec,bev_lfp,lce,0.1
2047,rec,phev_lfp,loh,0.1
2047,rec,phev_lfp,lce,0.1
2048,rec,bev_nmc,loh,0.1
2048,rec,bev_nmc,lce,0.1
2048,rec,phev_nmc,loh,0.1
2048,rec,phev_nmc,lce,0.1
2048,rec,bev_lfp,loh,0.1
2048,rec,bev_lfp,lce,0.1
2048,rec,phev_lfp,loh,0.1
2048,rec,phev_lfp,lce,0.1
2049,rec,bev_nmc,loh,0.1
2049,rec,bev_nmc,lce,0.1
2049,rec,phev_nmc,loh,0.1
2049,rec,phev_nmc,lce,0.1
2049,rec,bev_lfp,loh,0.1
2049,rec,bev_lfp,lce,0.1
2049,rec,phev_lfp,loh,0.1
2049,rec,phev_lfp,lce,0.1
2050,rec,bev_nmc,loh,0.1
2050,rec,bev_nmc,lce,0.1
2050,rec,phev_nmc,loh,0.1
2050,rec,phev_nmc,lce,0.1
2050,rec,bev_lfp,loh,0.1
2050,rec,bev_lfp,lce,0.1
2050,rec,phev_lfp,loh,0.1
2050,rec,phev_lfp,lce,0.1
2051,rec,bev_nmc,loh,0.1
2051,rec,bev_nmc,lce,0.1
2051,rec,phev_nmc,loh,0.1
2051,rec,phev_nmc,lce,0.1
2051,rec,bev_lfp,loh,0.1
2051,rec,bev_lfp,lce,0.1
2051,rec,phev_lfp,loh,0.1
2051,rec,phev_lfp,lce,0.1
2052,rec,bev_nmc,loh,0.1
2052,rec,bev_nmc,lce,0.1
2052,rec,phev_nmc,loh,0.1
2052,rec,phev_nmc,lce,0.1
2052,rec,bev_lfp,loh,0.1
2052,rec,bev_lfp,lce,0.1
2052,rec,phev_lfp,loh,0.1
2052,rec,phev_lfp,lce,0.1
2053,rec,bev_nmc,loh,0.1
2053,rec,bev_nmc,lce,0.1
2053,rec,phev_nmc,loh,0.1
2053,rec,phev_nmc,lce,0.1
2053,rec,bev_lfp,loh,0.1
2053,rec,bev_lfp,lce,0.1
2053,rec,phev_lfp,loh,0.1
2053,rec,phev_lfp,lce,0.1
2054,rec,bev_nmc,loh,0.1
2054,rec,bev_nmc,lce,0.1
2054,rec,phev_nmc,loh,0.1
2054,rec,phev_nmc,lce,0.1
2054,rec,bev_lfp,loh,0.1
2054,rec,bev_lfp,lce,0.1
2054,rec,phev_lfp,loh,0.1
2054,rec,phev_lfp,lce,0.1
2055,rec,bev_nmc,loh,0.1
2055,rec,bev_nmc,lce,0.1
2055,rec,phev_nmc,loh,0.1
2055,rec,phev_nmc,lce,0.1
2055,rec,bev_lfp,loh,0.1
2055,rec,bev_lfp,lce,0.1
2055,rec,phev_lfp,loh,0.1
2055,rec,phev_lfp,lce,0.1
2056,rec,bev_nmc,loh,0.1
2056,rec,bev_nmc,lce,0.1
2056,rec,phev_nmc,loh,0.1
2056,rec,phev_nmc,lce,0.1
2056,rec,bev_lfp,loh,0.1
2056,rec,bev_lfp,lce,0.1
2056,rec,phev_lfp,loh,0.1
2056,rec,phev_lfp,lce,0.1
2057,rec,bev_nmc,loh,0.1
2057,rec,bev_nmc,lce,0.1
2057,rec,phev_nmc,loh,0.1
2057,rec,phev_nmc,lce,0.1
2057,rec,bev_lfp,loh,0.1
2057,rec,bev_lfp,lce,0.1
2057,rec,phev_lfp,loh,0.1
2057,rec,phev_lfp,lce,0.1
2058,rec,bev_nmc,loh,0.1
2058,rec,bev_nmc,lce,0.1
2058,rec,phev_nmc,loh,0.1
2058,rec,phev_nmc,lce,0.1
2058,rec,bev_lfp,loh,0.1
2058,rec,bev_lfp,lce,0.1
2058,rec,phev_lfp,loh,0.1
2058,rec,phev_lfp,lce,0.1
2059,rec,bev_nmc,loh,0.1
2059,rec,bev_nmc,lce,0.1
2059,rec,phev_nmc,loh,0.1
2059,rec,phev_nmc,lce,0.1
2059,rec,bev_lfp,loh,0.1
2059,rec,bev_lfp,lce,0.1
2059,rec,phev_lfp,loh,0.1
2059,rec,phev_lfp,lce,0.1
2060,rec,bev_nmc,loh,0.1
2060,rec,bev_nmc,lce,0.1
2060,rec,phev_nmc,loh,0.1
2060,rec,phev_nmc,lce,0.1
2060,rec,bev_lfp,loh,0.1
2060,rec,bev_lfp,lce,0.1
2060,rec,phev_lfp,loh,0.1
2060,rec,phev_lfp,lce,0.1
2061,rec,bev_nmc,loh,0.1
2061,rec,bev_nmc,lce,0.1
2061,rec,phev_nmc,loh,0.1
2061,rec,phev_nmc,lce,0.1
2061,rec,bev_lfp,loh,0.1
2061,rec,bev_lfp,lce,0.1
2061,rec,phev_lfp,loh,0.1
2061,rec,phev_lfp,lce,0.1
2062,rec,bev_nmc,loh,0.1
2062,rec,bev_nmc,lce,0.1
2062,rec,phev_nmc,loh,0.1
2062,rec,phev_nmc,lce,0.1
2062,rec,bev_lfp,loh,0.1
2062,rec,bev_lfp,lce,0.1
2062,rec,phev_lfp,loh,0.1
2062,rec,phev_lfp,lce,0.1
2063,rec,bev_nmc,loh,0.1
2063,rec,bev_nmc,lce,0.1
2063,rec,phev_nmc,loh,0.1
2063,rec,phev_nmc,lce,0.1
2063,rec,bev_lfp,loh,0.1
2063,rec,bev_lfp,lce,0.1
2063,rec,phev_lfp,loh,0.1
