Year,Stage,Demand
2020,mine,18.341389
2021,mine,40.6057942
2022,mine,63.7403196
2023,mine,80.06812238
2024,mine,98.17118739
2025,mine,112.5866371
2026,mine,124.4448532
2027,mine,137.3905074
2028,mine,151.4936531
2029,mine,166.8237239
2030,mine,178.1301451
2031,mine,193.6759136
2032,mine,210.2528461
2033,mine,227.8789769
2034,mine,246.5650486
2035,mine,266.3136643
2036,mine,287.1185357
2037,mine,308.9638639
2038,mine,331.8238908
2039,mine,355.6626551
2040,mine,373.3432575
2041,mine,398.5129631
2042,mine,424.4783699
2043,mine,451.1665838
2044,mine,478.497213
2045,mine,506.383611
2046,mine,534.7343071
2047,mine,563.4545788
2048,mine,592.4481076
2049,mine,621.6186605
2050,mine,650.8717361
2051,mine,680.1161159
2052,mine,709.2652721
2053,mine,738.2385886
2054,mine,766.9623645
2055,mine,795.3705829
2056,mine,823.4054375
2057,mine,851.0176225
2058,mine,878.1664007
2059,mine,904.819472
2060,mine,945.1828887
2061,mine,966.6999591
2062,mine,987.8456137
2063,mine,1008.61683
2064,mine,1029.015019
2065,mine,1049.045497
2066,mine,1068.716965
2067,mine,1088.040993
2068,mine,1107.031524
2069,mine,1125.704421
2070,mine,1144.077042
2071,mine,1162.167853
2072,mine,1179.996097
2073,mine,1197.581487
2074,mine,1214.943953
2075,mine,1232.103424
2076,mine,1249.079641
2077,mine,1265.892008
2078,mine,1282.559476
2079,mine,1299.100442
2080,mine,1315.53268
2081,mine,1331.87329
2082,mine,1348.138665
2083,mine,1364.344466
2084,mine,1380.50562
2085,mine,1396.636315
2086,mine,1412.750016
2087,mine,1428.859477
2088,mine,1444.976762
2089,mine,1461.113273
2090,mine,1477.279774
2091,mine,1493.486422
2092,mine,1509.742796
2093,mine,1526.05793
2094,mine,1542.440341
2095,mine,1558.898063
2096,mine,1575.438675
2097,mine,1592.069332
2098,mine,1608.796791
2099,mine,1625.627439
2100,mine,1642.567322
