Year,Region,Stage,Technology,Cost
2020,LTRI,mine,brine,200
2021,LTRI,mine,brine,190.4761905
2022,LTRI,mine,brine,181.4058957
2023,LTRI,mine,brine,172.7675197
2024,LTRI,mine,brine,164.540495
2025,LTRI,mine,brine,156.7052333
2026,LTRI,mine,brine,149.2430793
2027,LTRI,mine,brine,142.136266
2028,LTRI,mine,brine,135.3678724
2029,LTRI,mine,brine,128.9217832
2030,LTRI,mine,brine,122.7826507
2031,LTRI,mine,brine,116.9358578
2032,LTRI,mine,brine,111.3674836
2033,LTRI,mine,brine,106.0642701
2034,LTRI,mine,brine,101.0135906
2035,LTRI,mine,brine,96.20341962
2036,LTRI,mine,brine,91.6223044
2037,LTRI,mine,brine,87.25933752
2038,LTRI,mine,brine,83.10413097
2039,LTRI,mine,brine,79.1467914
2040,LTRI,mine,brine,75.37789657
2041,LTRI,mine,brine,71.78847293
2042,LTRI,mine,brine,68.36997422
2043,LTRI,mine,brine,65.11426116
2044,LTRI,mine,brine,62.01358206
2045,LTRI,mine,brine,59.06055434
2046,LTRI,mine,brine,56.24814699
2047,LTRI,mine,brine,53.5696638
2048,LTRI,mine,brine,51.01872743
2049,LTRI,mine,brine,48.58926422
2050,LTRI,mine,brine,46.27548973
2051,LTRI,mine,brine,44.07189498
2052,LTRI,mine,brine,41.97323332
2053,LTRI,mine,brine,39.97450792
2054,LTRI,mine,brine,38.07095992
2055,LTRI,mine,brine,36.25805707
2056,LTRI,mine,brine,34.53148292
2057,LTRI,mine,brine,32.88712659
2058,LTRI,mine,brine,31.32107295
2059,LTRI,mine,brine,29.82959328
2060,LTRI,mine,brine,28.40913646
2061,LTRI,mine,brine,27.05632044
2062,LTRI,mine,brine,25.76792423
2063,LTRI,mine,brine,24.54088022
2064,LTRI,mine,brine,23.37226687
2065,LTRI,mine,brine,22.25930178
2066,LTRI,mine,brine,21.19933503
2067,LTRI,mine,brine,20.18984289
2068,LTRI,mine,brine,19.2284218
2069,LTRI,mine,brine,18.31278266
2070,LTRI,mine,brine,17.44074539
2071,LTRI,mine,brine,16.61023371
2072,LTRI,mine,brine,15.8192702
2073,LTRI,mine,brine,15.06597162
2074,LTRI,mine,brine,14.3485444
2075,LTRI,mine,brine,13.66528038
2076,LTRI,mine,brine,13.01455274
2077,LTRI,mine,brine,12.39481214
2078,LTRI,mine,brine,11.80458299
2079,LTRI,mine,brine,11.24245999
2080,LTRI,mine,brine,10.70710475
2081,LTRI,mine,brine,10.19724262
2082,LTRI,mine,brine,9.711659637
2083,LTRI,mine,brine,9.249199654
2084,LTRI,mine,brine,8.808761575
2085,LTRI,mine,brine,8.389296738
2086,LTRI,mine,brine,7.989806417
2087,LTRI,mine,brine,7.609339445
2088,LTRI,mine,brine,7.246989948
2089,LTRI,mine,brine,6.901895188
2090,LTRI,mine,brine,6.573233513
2091,LTRI,mine,brine,6.260222393
2092,LTRI,mine,brine,5.962116565
2093,LTRI,mine,brine,5.678206252
2094,LTRI,mine,brine,5.407815478
2095,LTRI,mine,brine,5.150300455
2096,LTRI,mine,brine,4.905048053
2097,LTRI,mine,brine,4.671474336
2098,LTRI,mine,brine,4.449023177
2099,LTRI,mine,brine,4.237164931
2100,LTRI,mine,brine,4.035395172
2020,LTRI,mine,spod,200
2021,LTRI,mine,spod,190.4761905
2022,LTRI,mine,spod,181.4058957
2023,LTRI,mine,spod,172.7675197
2024,LTRI,mine,spod,164.540495
2025,LTRI,mine,spod,156.7052333
2026,LTRI,mine,spod,149.2430793
2027,LTRI,mine,spod,142.136266
2028,LTRI,mine,spod,135.3678724
2029,LTRI,mine,spod,128.9217832
2030,LTRI,mine,spod,122.7826507
2031,LTRI,mine,spod,116.9358578
2032,LTRI,mine,spod,111.3674836
2033,LTRI,mine,spod,106.0642701
2034,LTRI,mine,spod,101.0135906
2035,LTRI,mine,spod,96.20341962
2036,LTRI,mine,spod,91.6223044
2037,LTRI,mine,spod,87.25933752
2038,LTRI,mine,spod,83.10413097
2039,LTRI,mine,spod,79.1467914
2040,LTRI,mine,spod,75.37789657
2041,LTRI,mine,spod,71.78847293
2042,LTRI,mine,spod,68.36997422
2043,LTRI,mine,spod,65.11426116
2044,LTRI,mine,spod,62.01358206
2045,LTRI,mine,spod,59.06055434
2046,LTRI,mine,spod,56.24814699
2047,LTRI,mine,spod,53.5696638
2048,LTRI,mine,spod,51.01872743
2049,LTRI,mine,spod,48.58926422
2050,LTRI,mine,spod,46.27548973
2051,LTRI,mine,spod,44.07189498
2052,LTRI,mine,spod,41.97323332
2053,LTRI,mine,spod,39.97450792
2054,LTRI,mine,spod,38.07095992
2055,LTRI,mine,spod,36.25805707
2056,LTRI,mine,spod,34.53148292
2057,LTRI,mine,spod,32.88712659
2058,LTRI,mine,spod,31.32107295
2059,LTRI,mine,spod,29.82959328
2060,LTRI,mine,spod,28.40913646
2061,LTRI,mine,spod,27.05632044
2062,LTRI,mine,spod,25.76792423
2063,LTRI,mine,spod,24.54088022
2064,LTRI,mine,spod,23.37226687
2065,LTRI,mine,spod,22.25930178
2066,LTRI,mine,spod,21.19933503
2067,LTRI,mine,spod,20.18984289
2068,LTRI,mine,spod,19.2284218
2069,LTRI,mine,spod,18.31278266
2070,LTRI,mine,spod,17.44074539
2071,LTRI,mine,spod,16.61023371
2072,LTRI,mine,spod,15.8192702
2073,LTRI,mine,spod,15.06597162
2074,LTRI,mine,spod,14.3485444
2075,LTRI,mine,spod,13.66528038
2076,LTRI,mine,spod,13.01455274
2077,LTRI,mine,spod,12.39481214
2078,LTRI,mine,spod,11.80458299
2079,LTRI,mine,spod,11.24245999
2080,LTRI,mine,spod,10.70710475
2081,LTRI,mine,spod,10.19724262
2082,LTRI,mine,spod,9.711659637
2083,LTRI,mine,spod,9.249199654
2084,LTRI,mine,spod,8.808761575
2085,LTRI,mine,spod,8.389296738
2086,LTRI,mine,spod,7.989806417
2087,LTRI,mine,spod,7.609339445
2088,LTRI,mine,spod,7.246989948
2089,LTRI,mine,spod,6.901895188
2090,LTRI,mine,spod,6.573233513
2091,LTRI,mine,spod,6.260222393
2092,LTRI,mine,spod,5.962116565
2093,LTRI,mine,spod,5.678206252
2094,LTRI,mine,spod,5.407815478
2095,LTRI,mine,spod,5.150300455
2096,LTRI,mine,spod,4.905048053
2097,LTRI,mine,spod,4.671474336
2098,LTRI,mine,spod,4.449023177
2099,LTRI,mine,spod,4.237164931
2100,LTRI,mine,spod,4.035395172
2020,LTRI,mine,clay,200
2021,LTRI,mine,clay,190.4761905
2022,LTRI,mine,clay,181.4058957
2023,LTRI,mine,clay,172.7675197
2024,LTRI,mine,clay,164.540495
2025,LTRI,mine,clay,156.7052333
2026,LTRI,mine,clay,149.2430793
2027,LTRI,mine,clay,142.136266
2028,LTRI,mine,clay,135.3678724
2029,LTRI,mine,clay,128.9217832
2030,LTRI,mine,clay,122.7826507
2031,LTRI,mine,clay,116.9358578
2032,LTRI,mine,clay,111.3674836
2033,LTRI,mine,clay,106.0642701
2034,LTRI,mine,clay,101.0135906
2035,LTRI,mine,clay,96.20341962
2036,LTRI,mine,clay,91.6223044
2037,LTRI,mine,clay,87.25933752
2038,LTRI,mine,clay,83.10413097
2039,LTRI,mine,clay,79.1467914
2040,LTRI,mine,clay,75.37789657
2041,LTRI,mine,clay,71.78847293
2042,LTRI,mine,clay,68.36997422
2043,LTRI,mine,clay,65.11426116
2044,LTRI,mine,clay,62.01358206
2045,LTRI,mine,clay,59.06055434
2046,LTRI,mine,clay,56.24814699
2047,LTRI,mine,clay,53.5696638
2048,LTRI,mine,clay,51.01872743
2049,LTRI,mine,clay,48.58926422
2050,LTRI,mine,clay,46.27548973
2051,LTRI,mine,clay,44.07189498
2052,LTRI,mine,clay,41.97323332
2053,LTRI,mine,clay,39.97450792
2054,LTRI,mine,clay,38.07095992
2055,LTRI,mine,clay,36.25805707
2056,LTRI,mine,clay,34.53148292
2057,LTRI,mine,clay,32.88712659
2058,LTRI,mine,clay,31.32107295
2059,LTRI,mine,clay,29.82959328
2060,LTRI,mine,clay,28.40913646
2061,LTRI,mine,clay,27.05632044
2062,LTRI,mine,clay,25.76792423
2063,LTRI,mine,clay,24.54088022
2064,LTRI,mine,clay,23.37226687
2065,LTRI,mine,clay,22.25930178
2066,LTRI,mine,clay,21.19933503
2067,LTRI,mine,clay,20.18984289
2068,LTRI,mine,clay,19.2284218
2069,LTRI,mine,clay,18.31278266
2070,LTRI,mine,clay,17.44074539
2071,LTRI,mine,clay,16.61023371
2072,LTRI,mine,clay,15.8192702
2073,LTRI,mine,clay,15.06597162
2074,LTRI,mine,clay,14.3485444
2075,LTRI,mine,clay,13.66528038
2076,LTRI,mine,clay,13.01455274
2077,LTRI,mine,clay,12.39481214
2078,LTRI,mine,clay,11.80458299
2079,LTRI,mine,clay,11.24245999
2080,LTRI,mine,clay,10.70710475
2081,LTRI,mine,clay,10.19724262
2082,LTRI,mine,clay,9.711659637
2083,LTRI,mine,clay,9.249199654
2084,LTRI,mine,clay,8.808761575
2085,LTRI,mine,clay,8.389296738
